year,plusieurs_DET âges_NOUN,plusieurs_DET ages_NOUN,plusieurs_DET pages_NOUN
1800,7.231578535993322e-08,0.0,3.3013728018005395e-07
1801,2.8574191901498125e-08,0.0,2.9288546166128526e-07
1802,6.265952379180817e-08,0.0,1.6783801015662903e-07
1803,6.826187615160961e-08,0.0,2.0478562023917846e-07
1804,4.943701981119375e-08,0.0,1.7797326279378467e-07
1805,1.7057265822018053e-08,0.0,2.8997353451742924e-07
1806,1.52728468094665e-07,0.0,2.881669081133964e-07
1807,3.131650672116848e-08,0.0,2.334503257372944e-07
1808,4.985362878073829e-08,0.0,2.4926813413372884e-07
1809,1.581321384946932e-08,0.0,3.727400326170027e-07
1810,5.616304221689461e-08,0.0,3.229374923030548e-07
1811,1.7549536934780008e-08,2.5070767684098882e-09,1.9304490939120456e-07
1812,8.801787032552966e-08,0.0,3.0939614248381986e-07
1813,4.888760685162197e-08,0.0,2.473137783454149e-07
1814,2.8320094713762956e-08,0.0,2.3285410755136127e-07
1815,5.3944472000466703e-08,0.0,2.6163067445850174e-07
1816,1.622322720606917e-08,0.0,2.4334842230189224e-07
1817,3.7364962679475866e-08,6.227493631882908e-09,1.8059732109776405e-07
1818,7.271917934481564e-08,0.0,2.169654287342837e-07
1819,6.521161566297451e-08,0.0,2.9293470316105186e-07
1820,1.6613073583471305e-08,0.0,3.037819134021902e-07
1821,4.437669787193954e-08,0.0,3.1063687355725733e-07
1822,2.606660132187244e-08,0.0,2.1454818011079624e-07
1823,3.854247765389118e-08,0.0,2.8462137890983286e-07
1824,2.189489300974401e-08,0.0,3.3684451672399973e-07
1825,3.78634048558979e-08,0.0,3.988865842075029e-07
1826,4.844391554570393e-08,0.0,2.765707112217797e-07
1827,5.8068820862899884e-08,0.0,2.2951009626126506e-07
1828,1.9261833017480967e-08,9.172301251858528e-10,3.9899509296503766e-07
1829,3.600733933240008e-08,0.0,3.926514708929574e-07
1830,1.0436836106464398e-07,0.0,3.172798059836168e-07
1831,5.76874619184764e-08,0.0,3.8510279054548846e-07
1832,6.494385473843067e-08,1.3529969367098715e-09,3.179542886755371e-07
1833,1.2510318470049242e-07,1.1583628500844156e-09,2.698985426263789e-07
1834,1.1668163368838691e-07,9.334530925997342e-10,3.5377873075503885e-07
1835,9.680752555141225e-08,7.563087933704082e-10,2.601702320248478e-07
1836,5.040562456315456e-08,1.3441500135158435e-09,2.513560541927973e-07
