year,ménages_NOUN heureux_ADJ
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,2.4718509461507665e-09
1805,1.9900143755080535e-08
1806,0.0
1807,8.540865792383556e-09
1808,0.0
1809,4.518061036407062e-09
1810,1.8721014072298203e-08
1811,1.2535384286138651e-08
1812,8.001624962616916e-08
1813,0.0
1814,3.1466771410748606e-09
1815,2.697223555614414e-09
1816,6.952811659743929e-09
1817,1.556873407970727e-09
1818,1.5497530370112145e-08
1819,1.035105001712111e-09
1820,4.746592452420373e-09
1821,1.3806083387635226e-08
1822,0.0
1823,1.680056804787e-08
1824,3.3684450784221553e-09
1825,8.805443485471187e-09
1826,6.1655889282974385e-09
1827,3.6869092223668076e-09
1828,7.337841001486822e-09
1829,1.0287811491593857e-08
1830,1.982998831806526e-08
1831,3.1182412207897414e-09
1832,1.6235963684607668e-08
1833,4.6334514003376626e-09
1834,2.14694217959277e-08
1835,3.025235173481633e-09
1836,2.016224964762614e-09
1837,1.3915781860163179e-09
1838,1.8936485712828244e-09
1839,5.5931801412612e-09
1840,1.5924221719032516e-08
1841,1.0272877659645019e-08
1842,6.708265054555795e-10
1843,2.3627644285539873e-09
1844,6.5862733600319245e-09
1845,1.2834524554250493e-08
1846,8.196302303531411e-09
1847,2.6966118227278457e-09
1848,7.24069959545659e-09
1849,1.6758829879393033e-09
1850,1.3577992064028876e-09
1851,6.449438760824933e-09
1852,6.510545436100301e-10
1853,5.3747388761848924e-09
1854,1.454786069388092e-08
1855,4.776243400783642e-09
1856,3.6240324075009767e-09
1857,4.393358121745905e-09
1858,3.9149408159744326e-09
1859,6.110608019582742e-09
1860,6.865775947773045e-09
1861,3.772770984511453e-09
1862,1.3553959066214816e-09
1863,4.495158911765884e-09
1864,7.1920918109924514e-09
1865,8.001635798393636e-09
1866,5.352174259343201e-09
1867,3.88224918879132e-09
1868,8.397785578040384e-09
1869,3.906815315701806e-09
1870,7.454262984651905e-09
1871,6.37270636261178e-09
1872,1.2094678591978436e-09
1873,1.7958012854535355e-09
1874,4.779687312606029e-09
1875,5.721527251978387e-09
1876,1.269663130187837e-08
1877,7.421779191219002e-09
1878,1.0870359612447089e-08
1879,2.993569392373274e-08
1880,8.984985200299889e-09
1881,1.1156012114099667e-08
1882,3.9932310791357395e-09
1883,9.479008689083912e-09
1884,1.7164412113856997e-08
1885,9.023890079618013e-09
1886,5.808117542471791e-09
1887,1.4363633837888301e-08
1888,3.1703073499755874e-09
1889,1.6915869593958632e-08
1890,5.898947996740844e-09
1891,1.2748440081367107e-09
1892,8.775916882086676e-09
1893,1.1085149687062312e-08
1894,1.2603078580752936e-09
1895,7.22233739480771e-09
1896,3.5382172747233653e-09
1897,8.740070001067579e-09
1898,1.2448381103702388e-08
1899,6.633094074004475e-09
1900,5.19105292084987e-09
1901,6.147612696683069e-09
1902,8.347482705062248e-09
1903,3.7801539676252105e-09
1904,8.061937784020756e-09
