year,aviez_VERB osé_VERB,aviez_VERB posé_VERB
1800,2.2009151834367913e-08,6.288328968651058e-09
1801,0.0,0.0
1802,0.0,2.2378401354217203e-09
1803,1.1702034896643454e-08,5.851017448321727e-09
1804,0.0,2.4718509461507665e-09
1805,0.0,2.842877711017877e-09
1806,0.0,2.881669125542885e-09
1807,5.693910232196231e-09,0.0
1808,0.0,0.0
1809,0.0,2.25903047379461e-08
1810,0.0,2.3401267590372754e-09
1811,0.0,5.0141535368197765e-09
1812,1.3336041604361526e-08,0.0
1813,5.751483289628823e-09,8.627225156487839e-09
1814,2.5173417128598885e-08,0.0
1815,5.394447111228828e-09,4.045835311217161e-08
1816,6.952811659743929e-09,6.952811659743929e-09
1817,0.0,2.80237220096069e-08
1818,1.1921177378582115e-09,5.960588467246453e-09
1819,2.4842520929269085e-08,3.1053151161586356e-09
1820,8.306536791735653e-09,0.0
1821,3.94459531705138e-09,5.9168927535324656e-09
1822,2.0051231786055723e-09,5.012807946513931e-09
1823,3.9530747564242574e-09,9.882686891060644e-10
1824,5.894778887238772e-09,8.421112696055388e-10
1825,0.0,4.4027217427355936e-09
1826,1.145037931138404e-08,3.5231937367541377e-09
1827,6.452091305675367e-09,1.2904182611350734e-08
1828,9.172301251858528e-10,1.7427371545863934e-08
1829,5.143905745796928e-09,4.286587973467704e-09
1830,1.0436835840010872e-09,2.0873671680021744e-09
1831,1.091384405071949e-08,1.7150327380477393e-08
1832,0.0,3.6530916958099624e-08
1833,3.4750886612755494e-09,8.108539617524002e-09
1834,1.8669062740173104e-08,1.120143711119681e-08
1835,3.025235173481633e-09,9.075705520444899e-09
1836,1.1425274948351216e-08,1.747394939854985e-08
1837,6.957890930081589e-10,1.948209416013924e-08
1838,0.0,5.680945491803868e-09
1839,3.4957374772659477e-09,1.2584655095793096e-08
1840,7.0066574764382494e-09,4.458782232319436e-09
1841,0.0,8.988767952189392e-09
1842,4.024959032733477e-09,1.475818312002275e-08
1843,8.269675610961258e-09,1.2404512972352677e-08
1844,5.488561161115513e-09,2.7442805805577564e-09
1845,4.464182357111213e-09,1.7298706467272496e-08
1846,8.196302303531411e-09,7.025401593807601e-09
1847,2.6966118227278457e-09,1.0786447290911383e-09
1848,2.413566457803995e-09,1.528592186161859e-08
1849,5.865590679832167e-09,2.76520690789539e-08
1850,4.752297222410107e-09,1.4935791270431764e-08
1851,3.8696632564949596e-09,2.579775504329973e-09
1852,3.906327261660181e-09,1.0416872697760482e-08
1853,6.569124799682413e-09,4.180352064508952e-09
1854,8.832629738719788e-09,5.195664343204953e-09
1855,4.2455496895854594e-09,2.653468555990912e-09
1856,3.1063134287023786e-09,2.5885946719483854e-09
1857,4.881508974818871e-09,2.4407544874094356e-09
1858,6.361778659424999e-09,1.468102750479261e-09
1859,1.5276520048956854e-09,7.638259802433822e-09
