year,certains_DET artisans_NOUN,certains_DET partisans_NOUN
1800,1.2576657937302116e-08,0.0
1801,4.7623651688866175e-09,4.7623651688866175e-09
1802,2.6854081625060644e-08,2.2378401354217203e-09
1803,1.950339223455444e-09,0.0
1804,0.0,0.0
1805,0.0,2.842877711017877e-09
1806,0.0,0.0
1807,0.0,2.8469551160981155e-09
1808,1.5862517965814504e-08,0.0
1809,1.581321384946932e-08,0.0
1810,0.0,0.0
1811,2.5070767684098882e-08,0.0
1812,0.0,1.3336041604361526e-08
1813,1.1502966579257645e-08,4.3136125782439194e-08
1814,3.1466772298927026e-08,3.1466771410748606e-09
1815,2.697223555614414e-09,8.091670444798638e-09
1816,1.622322720606917e-08,2.0858434979231788e-08
1817,1.556873407970727e-09,0.0
1818,5.9605886892910576e-09,8.344824387052086e-09
1819,5.175524897538253e-09,1.8631890696951814e-08
1820,1.7799721696576398e-08,1.898636980968149e-08
1821,7.88919063410276e-09,1.97229765852569e-09
1822,1.2030739071633434e-08,1.1028177482330648e-08
1823,5.929612023614084e-09,4.941343334508019e-09
1824,5.894778887238772e-09,1.6000115010683658e-08
1825,4.402721520690989e-09,5.283265824829186e-09
1826,5.284790383086602e-09,1.7615968683770689e-09
1827,6.452091305675367e-09,1.0139000472531023e-08
1828,1.9261832129302547e-08,1.0089531432555532e-08
1829,1.3717081692732336e-08,7.715858174606183e-09
1830,8.349468894053302e-09,1.5655253093882493e-08
1831,6.236482441579483e-09,6.236482219534878e-09
1832,2.1647950987357945e-08,1.2176972319366541e-08
1833,6.950177322551099e-09,6.950177322551099e-09
1834,5.600718555598405e-09,1.9602515166639023e-08
1835,3.932805725526123e-08,2.647080776796429e-08
1836,1.1425275281418124e-08,1.6129800772812786e-08
1837,1.3915782193230086e-08,9.74104708006962e-09
1838,1.1361890983607736e-08,1.8936485712828244e-09
1839,2.09744255297295e-09,1.11863602825224e-08
1840,3.821813088222825e-09,2.293087852933695e-08
1841,2.8892468417751616e-08,3.531301828729738e-08
1842,8.049918065466954e-09,2.4820580257767233e-08
1843,2.539971705184385e-08,2.5990408991649616e-08
1844,2.7442805805577564e-09,2.6893950177964143e-08
1845,9.486387453350176e-09,2.287893430263921e-08
1846,1.8734404250153602e-08,2.751615646445771e-08
1847,9.707802561820245e-09,3.235934276091257e-08
1848,2.4135665133151463e-09,3.942158599556933e-08
1849,6.703531951757213e-09,3.5193542968769975e-08
1850,1.0862393651223101e-08,2.4440386603430397e-08
1851,9.674158363282004e-09,1.6123596680017727e-08
1852,2.6042181744401205e-09,2.408901877970493e-08
1853,5.971931837933653e-10,1.791579506971175e-08
1854,7.27393034694046e-09,2.7537021551893304e-08
1855,7.429711956774554e-09,3.874064091746732e-08
1856,5.694908267184218e-09,3.882891785877973e-08
1857,4.393358121745905e-09,2.4407545373694717e-08
1858,1.9085335978274998e-08,3.6213201326518174e-08
1859,5.906921174414492e-08,3.411756144267031e-08
1860,5.492620663849479e-09,3.249800462068464e-08
1861,7.073945429425521e-09,2.5466203923407704e-08
1862,1.581295272501393e-08,4.111367601922211e-08
1863,3.995696662428827e-09,2.946826249683454e-08
1864,9.589456118064277e-09,2.3014694816581027e-08
1865,8.47231973466478e-09,3.012380389577629e-08
1866,4.379051787850585e-09,4.0384586896813346e-08
1867,5.82337378318698e-09,2.1837651686951176e-08
1868,1.4819621751982481e-08,3.556709327057206e-08
1869,1.5627261262807224e-08,5.030024885499529e-08
1870,1.7202146374017957e-09,9.518520904805428e-08
1871,2.1242354542039266e-09,3.3987767711352035e-08
1872,1.8142017554900747e-08,4.898344929671339e-08
1873,4.1902030178953e-09,3.950763050042383e-08
1874,1.6728904816964985e-08,3.704257733883054e-08
1875,5.7215269744226305e-09,5.2638049252706764e-08
1876,4.232210137899983e-09,3.869449294313654e-08
1877,7.4217790801967e-09,4.824156363270049e-08
1878,2.1740718503249212e-08,3.9254077210948424e-08
1879,1.1607718342077078e-08,4.3376210623335965e-08
1880,1.3477477134316018e-08,3.914886193001621e-08
1881,2.9284532132578533e-08,5.368830979790573e-08
1882,7.986461936226874e-09,4.991538693488451e-08
1883,1.0742875922176154e-08,3.4756364009069785e-08
1884,1.7824582698722224e-08,6.535679908381553e-08
1885,2.4493416184157013e-08,4.060750402601343e-08
1886,1.161623497392128e-08,5.0337016777035615e-08
1887,4.570247347235323e-09,5.288428894800745e-08
1888,2.282621336391344e-08,5.7065530967292943e-08
1889,3.1325683103045066e-08,6.202485458572937e-08
1890,1.2453334585771358e-08,7.275368663073323e-08
1891,1.4660705982549871e-08,6.055508983138225e-08
1892,1.1283322054467249e-08,4.826754373965514e-08
1893,8.621783342821487e-09,4.618812443624165e-08
1894,3.150769645188234e-09,3.780923440999118e-08
1895,3.009307292245467e-08,3.91209944439197e-08
1896,1.533227539374238e-08,7.489226838686136e-08
1897,1.748014144542509e-08,6.992056267307589e-08
1898,4.52668391659472e-09,5.2056863708571655e-08
1899,6.080336234504102e-09,5.7486815308038786e-08
1900,4.77576902468968e-08,9.291984959247657e-08
1901,1.0618603774048552e-08,8.941982532206794e-08
1902,6.874397606715377e-09,7.954659597686486e-08
1903,1.674068350610014e-08,8.856360977915756e-08
1904,1.5048950530172078e-08,7.685714109584296e-08
1905,3.14806301027204e-08,9.805441880672561e-08
1906,1.5946972409253135e-08,6.378788697247728e-08
1907,9.257118349648152e-09,9.462831584983178e-08
1908,2.161011281032188e-08,9.33163910588064e-08
1909,2.8055016532135824e-08,8.306485099751626e-08
1910,3.046165808484602e-08,7.268045099095843e-08
1911,1.649316017093838e-08,7.980561100850991e-08
1912,1.1981668712746085e-08,8.387168293211289e-08
1913,1.643926872407775e-08,6.681767228400304e-08
1914,1.5402510822326576e-08,7.634288046176607e-08
1915,1.0602685396321476e-08,7.893110698375949e-08
1916,1.219608289915186e-07,6.152978837548062e-08
1917,2.3029490314740997e-08,4.934891073560266e-08
1918,1.4932289182922887e-08,7.466144680279285e-08
1919,3.4069039145379065e-08,6.077179826036172e-08
1920,2.3473918808747385e-08,6.96645301445642e-08
1921,1.5145495135815423e-08,6.588290357711912e-08
1922,2.287159944769357e-08,1.0771785774466025e-07
1923,1.0615948120573648e-08,6.263409346729532e-08
1924,1.5469948877466777e-08,9.02413699321869e-08
1925,2.3096174306402872e-08,8.688560804159806e-08
1926,1.4489980437737415e-08,1.1480522488227507e-07
1927,8.919380012351041e-09,8.807887397210834e-08
1928,1.82816659588525e-08,8.341009838375157e-08
1929,2.0052731475317387e-08,8.243900850857244e-08
1930,2.835972989778668e-08,9.033099068744832e-08
1931,3.5356606531422585e-08,5.930785285102047e-08
1932,2.411098010135504e-08,7.671675916753884e-08
1933,2.40883908375622e-08,7.455930095545682e-08
1934,6.230421689679133e-08,5.2718952758823434e-08
1935,6.582556189016486e-08,6.941604890897679e-08
1936,3.758661559771781e-08,7.759817144403769e-08
1937,5.9178256517355976e-08,7.680581681768217e-08
1938,2.7226949583791793e-08,9.853562943362704e-08
1939,4.435274458813865e-08,7.799965473509474e-08
1940,5.5787225061720846e-08,5.0715660115940864e-08
1941,5.312704765003673e-08,3.541803028639379e-08
1942,3.6410542136877666e-08,6.068423519245414e-08
1943,9.580676341158778e-08,7.258087997286111e-08
1944,3.213186161588055e-08,9.318239513333992e-08
1945,3.7034569189131616e-08,9.149717250522826e-08
1946,6.542918828955635e-08,1.1276094369350176e-07
1947,3.695469907860627e-08,7.510148591904908e-08
1948,6.740570679397706e-08,7.719039984976916e-08
1949,7.657266376526195e-08,7.853606653895895e-08
1950,5.104973421765635e-08,6.806631347444636e-08
1951,4.371174888717633e-08,6.823297304947573e-08
1952,6.221434478703713e-08,5.9050902834201224e-08
1953,7.541679369893473e-08,8.511323379423175e-08
1954,5.374894707088629e-08,9.186184080078874e-08
1955,4.3173795205575516e-08,7.602342222412517e-08
1956,4.971050859836623e-08,9.244410037467787e-08
1957,8.481636371016066e-08,5.477723297175885e-08
1958,4.9633462229081715e-08,7.941353707963117e-08
1959,6.278105768586784e-08,7.59573293152016e-08
1960,6.090333393160563e-08,4.775375028742701e-08
1961,4.307858691987576e-08,5.350082687982649e-08
1962,5.454082607769806e-08,7.737186447087652e-08
1963,5.108181966306802e-08,7.047998007436718e-08
1964,5.597250929412212e-08,9.00427306049778e-08
1965,6.621172321530366e-08,7.332538132232003e-08
1966,5.9822006903687e-08,7.533142021287631e-08
1967,6.015009379467529e-08,6.064312607634292e-08
1968,4.715986712255926e-08,5.9286688447457436e-08
1969,5.90428497204698e-08,8.311416532791327e-08
1970,5.978342443313522e-08,7.449934713577022e-08
1971,5.909157252403929e-08,8.015900121449704e-08
1972,6.002271923932767e-08,6.617889258819787e-08
1973,6.340184288688988e-08,4.741355308368611e-08
1974,7.538265833773039e-08,6.750686232237513e-08
1975,6.339742952832239e-08,7.196464757441845e-08
1976,7.941802060429382e-08,6.28487963894031e-08
1977,6.346924408262566e-08,6.464460078348111e-08
1978,7.188115347389612e-08,6.534650420775279e-08
1979,6.905328575612657e-08,8.485361391308288e-08
1980,6.935883689607181e-08,7.049586869811719e-08
1981,9.741346573832743e-08,5.692994786699046e-08
1982,1.0304453468279462e-07,7.697302972786702e-08
1983,8.52567687559258e-08,7.830992032609174e-08
1984,6.610869718315371e-08,5.9149887654541544e-08
1985,8.66240359442827e-08,6.436646948770886e-08
1986,7.313272476494603e-08,7.493106934930438e-08
1987,8.738467904834124e-08,7.638520926889214e-08
1988,6.236416005833689e-08,6.896037074710648e-08
1989,5.8722909201947004e-08,7.463846074529101e-08
1990,5.339677944249388e-08,7.955030323358869e-08
1991,7.092373177641775e-08,7.795748580008421e-08
1992,6.336435687259723e-08,8.871010059863238e-08
1993,7.256361822527424e-08,7.533322055053304e-08
1994,5.749670162202847e-08,6.804655239278645e-08
1995,5.8562469540390794e-08,8.404798634842336e-08
1996,8.274042784250923e-08,1.1423517420894314e-07
1997,6.85669920841292e-08,9.63773771900378e-08
1998,8.058138245559121e-08,8.201182133404927e-08
1999,6.53538760886363e-08,8.911892379614983e-08
2000,7.024670090061136e-08,9.277866119816736e-08
2001,6.922314543800212e-08,9.551041557642748e-08
2002,8.411945007225086e-08,1.0427307373106487e-07
2003,7.000430635173416e-08,9.333907158293187e-08
2004,7.708384686111458e-08,1.1452457648886138e-07
2005,5.899911847961903e-08,1.1304411451362739e-07
2006,6.053298129415907e-08,1.0377082304557916e-07
2007,8.867744405449685e-08,1.0185923038363853e-07
2008,7.705965465731879e-08,8.259433137425276e-08
2009,6.913879246894794e-08,8.105927129520296e-08
2010,4.440365319879902e-08,9.258634570130653e-08
2011,6.080115610984649e-08,6.538992103344299e-08
2012,4.868081315834161e-08,6.706377764231775e-08
2013,4.825186294965533e-08,6.024509957569535e-08
2014,4.17930916540854e-08,6.063246438259284e-08
2015,4.18932746271139e-08,6.051250878158498e-08
2016,3.08629668488436e-08,4.536234854413124e-08
2017,3.672792558973015e-08,4.779661555431858e-08
2018,3.020315997304124e-08,4.465937308850698e-08
2019,4.3621890988276846e-08,5.076465736664204e-08
