year,nos_DET oies_NOUN,nos_DET poids_NOUN
1800,1.8864987794131594e-08,1.5720821977538435e-08
1801,2.1430643926123594e-08,1.1191558257905854e-07
1802,8.951360541686881e-09,5.370816325012129e-08
1803,5.070882025393075e-08,1.1702034896643454e-08
1804,1.4831105232815389e-08,6.673997887673977e-08
1805,3.41145314219915e-08,2.55858996212055e-08
1806,5.76333825108577e-09,7.780506905419315e-08
1807,8.540865792383556e-09,3.701041606518629e-08
1808,4.5321479902327155e-09,9.064295980465431e-09
1809,4.0662548883574345e-08,3.840352036377226e-08
1810,0.0,4.680253518074551e-09
1811,5.0141535368197765e-09,1.0028307073639553e-08
1812,8.00162425207418e-09,1.600324850414836e-08
1813,0.0,1.1502966579257645e-08
1814,3.1466771410748606e-09,0.0
1815,0.0,8.091670444798638e-09
1816,9.270415546325239e-09,2.3176038865813098e-08
1817,2.8023721676539992e-08,4.514932783195036e-08
1818,4.172412104708201e-08,1.1921177378582115e-09
1819,7.24573512300708e-09,2.070209959015301e-08
1820,1.6613073583471305e-08,1.4239777357261119e-08
1821,8.875339574387908e-09,1.577838126820552e-08
1822,1.2030739071633434e-08,2.4061478143266868e-08
1823,5.929612023614084e-09,3.9530747564242574e-09
1824,1.1789557774477544e-08,1.2631669044083083e-08
1825,3.25801385869795e-08,2.4655239627691117e-08
1826,1.7615968683770689e-09,1.9377566218281572e-08
1827,7.373818444733615e-09,3.6869092223668076e-09
1828,3.485474309172787e-08,2.017906314266682e-08
1829,2.5719527840806222e-08,1.2002446148073886e-08
1830,6.262101504006523e-09,2.8179456768029354e-08
1831,1.5591206548037917e-08,2.9623292263636358e-08
1832,1.352996914505411e-08,1.2176972319366541e-08
1833,2.3167257445777523e-08,2.3167256557599103e-08
1834,1.8669062296083894e-08,2.6136685704614138e-08
1835,1.5882484660778573e-08,2.193295500774184e-08
1836,2.8899224790990274e-08,1.8818100855355624e-08
1837,2.574419688539109e-08,1.3219993100221927e-08
1838,1.325553999897977e-08,1.0730675015224733e-08
1839,8.389769878824893e-09,2.1673573158409454e-08
1840,1.2102408852854296e-08,3.184844388215424e-08
1841,3.017657901338566e-08,1.4125206782011901e-08
1842,1.408735617047796e-08,1.9453969102301016e-08
1843,6.497602123012314e-09,2.126488057863085e-08
1844,6.037417454862748e-09,1.97588213013411e-08
1845,5.5802281129224696e-09,1.785672942844485e-08
1846,3.5127007969038004e-09,1.9319854382970902e-08
1847,2.3730184928183462e-08,1.4022381478184798e-08
1848,2.011305477722658e-08,4.82713291560799e-09
1849,2.011059585527164e-08,1.256912263158938e-08
1850,5.431196825611551e-09,1.4935791270431764e-08
1851,1.2898877521649865e-08,2.579775504329973e-09
1852,1.6276363812295358e-08,3.1250618093281446e-08
1853,1.5527023222716707e-08,2.09017620989016e-08
1854,8.832629738719788e-09,4.676098175337984e-09
1855,9.021793090369101e-09,1.8043586180738203e-08
1856,8.28350277259915e-09,2.8992259260007813e-08
1857,3.417056471111124e-09,3.3194262505364946e-08
1858,9.29798454896158e-09,8.31924928945682e-09
1859,1.171199848215565e-08,2.34239969643113e-08
1860,1.830873536112776e-09,1.9224172476128842e-08
1861,1.1789909493131745e-08,3.3011746669586728e-09
1862,3.162590467287174e-09,1.3102160301148302e-08
1863,3.496234635136375e-09,1.2486552236623538e-08
1864,7.192092144059359e-09,1.0548401374599337e-08
1865,1.0355057922240007e-08,1.4120533187167439e-08
1866,2.919367858567057e-09,4.135770836910524e-08
1867,5.82337378318698e-09,2.717574432153924e-08
1868,1.2843672791973404e-08,2.2723420589620957e-08
1869,1.0255390092694938e-08,1.9534076356464425e-08
1870,4.587239033071455e-09,2.695002976338401e-08
1871,0.0,2.2304472935275044e-08
1872,5.442605477412599e-09,1.8746751706544273e-08
1873,1.1373408437265198e-08,1.5563610844537834e-08
1874,5.974609251779839e-09,4.779687201583727e-09
1875,2.8607636259891933e-09,2.403041388099325e-08
1876,1.209202959984168e-09,1.8742645435665395e-08
1877,1.2988113695655557e-08,3.7727378554563984e-08
1878,4.831270938865373e-09,8.454723976480949e-09
1879,6.720257905712401e-09,2.0160773384070296e-08
1880,1.7328185109022343e-08,2.3104245849836502e-08
1881,2.091752326904839e-09,9.064259565150223e-09
1882,3.9932310791357395e-09,5.989846840748214e-09
1883,6.319338829996468e-09,5.687405213450347e-09
1884,8.582206056928499e-09,1.5183903911974994e-08
1885,3.86738152613475e-09,1.4180398244523218e-08
1886,1.0970888419947755e-08,1.6779006128953e-08
1887,1.1752063988623718e-08,1.3710741875172516e-08
1888,8.87686035788704e-09,3.804368819970705e-09
1889,8.14467782106476e-09,1.0024218510817917e-08
1890,9.176141124722648e-09,1.2453334030659846e-08
1891,7.649064048820264e-09,1.3385862196457765e-08
1892,7.522214851007902e-09,1.002961980134387e-08
1893,6.158416665513755e-09,1.2932674486876294e-08
1894,3.150769645188234e-09,1.449354058991048e-08
1895,1.083350631425617e-08,3.1898657715245804e-08
1896,2.9485144326102386e-09,1.2383760572554081e-08
1897,6.992056267307589e-09,1.1070755867592652e-08
1898,5.658354784721098e-09,1.640922908663356e-08
1899,4.4220627160029835e-09,1.326618814800895e-08
1900,4.671947717582725e-09,2.3878844013225375e-08
1901,3.912117296778206e-09,2.0678333767509827e-08
1902,6.8743973291596205e-09,1.669496474399068e-08
