year,vingt - trois pages
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,2.8034536470045168e-08
1808,2.2411333233662845e-08
1809,2.4709592594263086e-08
1810,0.0
1811,0.0
1812,1.197575869582579e-07
1813,5.035304795342199e-08
1814,5.503006050844306e-08
1815,2.0694923108521834e-08
1816,4.053025204342475e-08
1817,1.7061235757509507e-08
1818,0.0
1819,5.653045143105828e-09
1820,9.064108574818874e-09
1821,1.0800321637027821e-08
1822,1.0964761987253269e-08
1823,1.2955046813090121e-08
1824,5.5125228826113926e-09
1825,1.3454986458327767e-08
1826,5.862460772387834e-08
1827,2.0121309063370063e-09
1828,3.0069324807868725e-09
1829,2.1540635941619257e-08
1830,7.533188051134232e-08
1831,1.3691585643016424e-08
1832,1.3343645299812579e-08
1833,0.0
1834,6.137246266746388e-09
1835,9.129565992083144e-09
1836,1.3218281580407165e-08
1837,3.795493697111851e-09
1838,6.882243108741193e-10
1839,2.2927735265909632e-09
1840,6.9585395223725754e-09
1841,1.5443538003978574e-08
1842,1.4670415993123243e-08
1843,9.681267343353284e-09
1844,1.795192083875463e-08
1845,1.3420890176973899e-08
1846,3.2033022900890273e-09
1847,1.9438978426933318e-08
1848,7.928115053346119e-09
1849,1.0091632418607333e-08
1850,1.188810649921379e-08
1851,1.1999566673637219e-08
1852,1.070029842509257e-08
1853,1.176667607794002e-08
1854,2.8415918507107563e-09
1855,1.861692194848885e-08
1856,1.1909394359577163e-08
1857,1.3374243046371248e-08
1858,1.1794172749546306e-08
1859,7.803964585662015e-09
1860,6.0215787911488405e-09
1861,1.2393225112816708e-08
1862,2.1289665141921432e-08
1863,1.041696506831613e-08
1864,4.1471363232403746e-08
1865,1.599477705838126e-08
1866,1.4950057192208988e-08
1867,1.7034661681236685e-08
1868,3.78693787439488e-09
1869,5.357312371501166e-09
1870,2.6389811225158155e-08
1871,1.1664925914089963e-08
1872,7.296862669647908e-09
1873,1.5088975402477445e-08
1874,6.555164300259264e-09
1875,2.0118305243954637e-08
1876,2.1914743797424308e-08
1877,1.5657388274803452e-08
1878,2.99107689727407e-08
1879,1.47851642040564e-08
1880,2.4734440273732616e-08
1881,6.147514053367331e-09
1882,4.396579988963367e-09
1883,1.880984612512293e-08
1884,1.3822200273239105e-08
1885,7.102083809940041e-09
1886,4.2668775179777185e-09
1887,6.482361758486377e-09
1888,9.085725616309048e-09
1889,1.659374859741547e-08
1890,1.5180846801854386e-08
1891,5.621765886143493e-09
1892,5.533750679909133e-09
1893,6.792941764643956e-09
1894,1.4613500631810439e-08
1895,1.7933285079152483e-08
1896,1.3008708776851563e-08
1897,5.153473203733938e-09
1898,1.4357962818678516e-08
1899,1.4640984646874244e-08
1900,1.720801345861389e-08
1901,6.167346189300815e-09
1902,2.7035762517613193e-09
1903,1.7882977321193039e-09
1904,1.8992725059341353e-08
1905,1.5384319596023488e-08
1906,1.3054011205326788e-08
