year,six_DET arts_NOUN,six_DET parts_NOUN
1800,0.0,1.2576657937302116e-08
1801,0.0,1.904946067554647e-08
1802,0.0,2.2378401354217203e-09
1803,0.0,9.751696339321825e-09
1804,2.4718509461507665e-09,2.4718509461507665e-09
1805,0.0,0.0
1806,5.76333825108577e-09,1.729001475325731e-08
1807,2.8469551160981155e-09,5.124519120158766e-08
1808,0.0,1.5862518409903714e-08
1809,0.0,1.3554183553310395e-08
1810,0.0,0.0
1811,0.0,1.0028307073639553e-08
1812,0.0,5.3344164641089264e-09
1813,2.8757416448144113e-09,2.5881675469463516e-08
1814,9.440030979135372e-09,0.0
1815,0.0,0.0
1816,0.0,2.3176038865813098e-09
1817,1.556873407970727e-09,7.784366928831332e-09
1818,1.1921177378582115e-09,2.741870730460505e-08
1819,2.070210003424222e-09,7.24573512300708e-09
1820,1.1866481131050932e-09,3.5599443393152796e-09
1821,3.94459531705138e-09,1.2819934447350079e-08
1822,0.0,5.012807946513931e-09
1823,9.882686891060644e-10,3.755420863171821e-08
1824,0.0,1.7684335773537896e-08
1825,2.641632912414593e-09,1.3208164340028361e-08
1826,0.0,4.315912249808207e-08
1827,7.373818444733615e-09,6.452091305675367e-09
1828,0.0,1.4675682002973645e-08
1829,0.0,2.571952872898464e-09
1830,2.0873671680021744e-09,9.39315203396518e-09
1831,1.4032085715598441e-08,1.5591206103948707e-09
1832,0.0,8.117981842303834e-09
1833,0.0,6.950177322551099e-09
1834,0.0,3.733812370398937e-09
1835,7.563087933704082e-10,3.025235173481633e-09
1836,2.016224964762614e-09,1.008112526790228e-08
1837,0.0,2.7831563720326358e-09
1838,0.0,2.5879863585487328e-08
1839,0.0,2.0974426639952526e-09
1840,5.732719632334238e-09,1.9109065441114126e-09
1841,6.420548537278137e-10,1.0914932957462042e-08
1842,4.695785538189057e-09,4.695785538189057e-09
1843,0.0,8.269675610961258e-09
1844,5.488561272137815e-10,3.841992946007622e-09
1845,1.674068439427856e-09,8.928364714222425e-09
1846,1.7563503984519002e-09,1.4636253098387897e-08
1847,0.0,1.0786447290911383e-08
1848,0.0,2.976732105253177e-08
1849,0.0,1.4245005175439474e-08
1850,1.3577992064028876e-09,8.82569484161877e-09
1851,0.0,2.3217978650791338e-08
1852,6.510545436100301e-10,7.161600201754936e-09
1853,1.1943863675867306e-09,1.0152284346531815e-08
1854,0.0,4.1565315633818045e-09
1855,0.0,3.714855978387277e-09
1856,0.0,2.329735160344626e-08
1857,2.9289055625270066e-09,8.78671624349181e-09
1858,4.893676019968041e-10,2.0553439838977283e-08
1859,5.092173349652285e-10,4.582956236731661e-09
1860,2.746310290291376e-09,6.865775947773045e-09
1861,1.4147891747029462e-09,7.073945429425521e-09
1862,1.3553959066214816e-09,1.355395884417021e-08
1863,0.0,4.495158911765884e-09
1864,0.0,2.1096802527154068e-08
1865,4.23615986733239e-09,1.4120533187167439e-08
1866,9.731225603104576e-09,6.325297008391573e-09
1867,4.85281148598915e-10,6.308654931785895e-09
1868,0.0,8.397785578040384e-09
1869,4.883519144627257e-10,1.2697149998075474e-08
1870,1.1468097582678638e-09,1.0321287824410774e-08
1871,1.0621177271019633e-09,2.7615060460561835e-08
1872,0.0,1.0280476914203973e-08
1873,0.0,1.1373408881354408e-08
1874,5.974609140757536e-10,7.169530746864439e-09
1875,5.721527140956084e-10,2.0597497041308088e-08
1876,1.209202959984168e-09,4.836811839936672e-09
1877,0.0,8.040260901509555e-09
1878,0.0,9.058632954861423e-09
1879,0.0,1.4051447894125602e-08
1880,3.2089231272180996e-09,1.3477476912271413e-08
1881,1.3945015142624584e-09,6.972507515801141e-09
1882,3.3276925659464496e-09,2.462492565413754e-08
1883,6.319338941018771e-10,1.7694148368718743e-08
1884,1.9805090900604227e-09,2.9047466654219534e-08
1885,0.0,1.99814708112811e-08
1886,0.0,9.680196200179125e-09
1887,0.0,1.1099172247952538e-08
1888,1.9021844099853524e-09,1.1413106904001324e-08
1889,8.14467782106476e-09,8.14467782106476e-09
1890,1.3108772956016423e-09,1.5730527991308918e-08
1891,0.0,7.649063604731055e-09
1892,0.0,1.5044429702015805e-08
1893,0.0,2.401782439598321e-08
1894,0.0,1.449354058991048e-08
1895,2.4074457982692365e-09,1.1435367319734269e-08
1896,0.0,1.2973463414667208e-08
1897,5.826713556089658e-10,1.1653426668090106e-08
1898,5.6583548957434e-10,2.1501747937691107e-08
1899,5.527578395003729e-10,1.9346524382513053e-08
1900,0.0,1.245852754294674e-08
1901,0.0,1.0618603774048552e-08
1902,2.455141867585553e-09,7.856454153909453e-09
1903,0.0,1.6200660368781428e-08
1904,0.0,2.0961039126632386e-08
1905,2.580379465655369e-09,8.257214467732865e-09
1906,5.144184522798412e-10,2.6235340455649236e-08
1907,5.142843373384665e-10,1.182853937020667e-08
1908,4.911389073214423e-10,1.3751889405000384e-08
1909,0.0,1.2652261793810737e-08
1910,1.068830135508847e-09,7.481810726517324e-09
1911,5.320374141248863e-10,2.181353464525415e-08
1912,2.0837684910901544e-09,4.688478938419394e-09
1913,0.0,1.537867055922959e-08
1914,1.3393487430235496e-09,2.4777952134513725e-08
1915,0.0,1.8849219074468238e-08
1916,1.0987462051303964e-09,4.2851102222130066e-08
1917,0.0,1.64496359866817e-08
1918,2.2972752589112133e-09,1.033773866510046e-08
1919,0.0,2.301962176431971e-08
1920,0.0,1.8930579770426448e-08
1921,7.572747429129834e-10,3.4077363153528495e-08
1922,0.0,1.7707044441817033e-08
1923,1.0615948120573648e-09,2.1231896241147297e-09
