year,ses_DET ailes_NOUN,ses_DET pelles_NOUN
1800,6.901441224727023e-06,6.288328968651058e-09
1801,3.957525350983815e-06,0.0
1802,4.750934465391765e-06,2.2378401354217203e-09
1803,7.645329844763182e-06,0.0
1804,4.256527134316457e-06,0.0
1805,3.72132684844928e-06,0.0
1806,4.685594120701353e-06,0.0
1807,2.6903726251248372e-06,0.0
1808,3.578130794323897e-06,0.0
1809,3.634780085803868e-06,0.0
1810,3.886950580067605e-06,0.0
1811,2.9107161587660357e-06,0.0
1812,2.605862540860926e-06,0.0
1813,2.527777013483501e-06,0.0
1814,1.979259808493339e-06,0.0
1815,1.807139785370282e-06,0.0
1816,6.5611367858764424e-06,0.0
1817,5.870969630450418e-06,0.0
1818,4.6576038528201025e-06,1.1921177378582115e-09
1819,2.8310121535923827e-06,1.035105001712111e-09
1820,2.5394269869138952e-06,0.0
1821,2.795732044091892e-06,0.0
1822,3.387655638675824e-06,0.0
1823,2.639665581227746e-06,0.0
1824,2.4539121383782003e-06,1.8526447931321854e-08
1825,2.8776188543133685e-06,8.805443041381977e-10
1826,3.2307686339549946e-06,6.1655889282974385e-09
1827,2.480368067381278e-06,1.1982455028203276e-08
1828,2.9562326915311132e-06,0.0
1829,2.4587868949765834e-06,0.0
1830,3.62575669043963e-06,0.0
1831,2.960770032700566e-06,0.0
1832,5.16980111342491e-06,2.705993873419743e-09
1833,4.2616169935172366e-06,0.0
1834,4.092258265586679e-06,9.334530925997342e-10
1835,3.28994329379384e-06,1.5126175867408165e-09
1836,3.889970074055782e-06,1.3441500135158435e-09
1837,2.975194206555898e-06,4.87052354003481e-09
1838,3.2816930470858097e-06,6.312161904276081e-10
1839,2.6854256915953556e-06,0.0
1840,2.7325963358748595e-06,0.0
1841,3.3643673589267564e-06,2.5682194149112547e-09
1842,3.0267690860341645e-06,4.695785538189057e-09
1843,3.0845889256170267e-06,2.3627644285539873e-09
1844,2.5532788043847177e-06,1.2623690537338916e-08
1845,2.754400611593155e-06,5.580227946389016e-10
1846,2.7088777017070242e-06,1.1709002656346001e-09
1847,2.260839352175026e-06,2.6966118227278457e-09
