year,certains_DET anneaux_NOUN,certains_DET panneaux_NOUN
1800,1.5720821977538435e-08,0.0
1801,0.0,0.0
1802,2.2378401354217203e-08,0.0
1803,2.3404069793286908e-08,0.0
1804,0.0,0.0
1805,0.0,0.0
1806,0.0,0.0
1807,8.540865792383556e-09,0.0
1808,0.0,0.0
1809,1.581321384946932e-08,0.0
1810,2.3401267590372754e-09,0.0
1811,5.0141535368197765e-09,0.0
1812,8.00162425207418e-09,0.0
1813,0.0,0.0
1814,0.0,3.1466771410748606e-09
1815,0.0,0.0
1816,0.0,0.0
1817,0.0,0.0
1818,0.0,0.0
1819,0.0,0.0
1820,3.5599443393152796e-09,0.0
1821,8.875339574387908e-09,0.0
1822,7.017931125119503e-09,1.0025615893027862e-09
1823,0.0,0.0
1824,8.421112696055388e-10,0.0
1825,0.0,0.0
1826,9.688783109140786e-09,0.0
1827,2.7651818612639545e-09,0.0
1828,3.668920500743411e-09,0.0
1829,0.0,6.858540846366168e-09
1830,1.3567886369969528e-08,0.0
1831,0.0,0.0
1832,1.0823975493678972e-08,0.0
1833,9.266902800675325e-09,0.0
1834,1.5868701908061666e-08,0.0
1835,2.4958190181223472e-08,0.0
1836,3.3603750337896088e-09,0.0
1837,1.3219993100221927e-08,0.0
1838,5.049729523420865e-09,0.0
1839,9.088918062616358e-09,6.9914751765765e-10
1840,8.280594876453051e-09,6.3696887764308485e-09
1841,2.0545754875200828e-08,0.0
1842,4.695785538189057e-09,0.0
1843,9.451057936260554e-09,1.7720733214154905e-09
1844,1.6465684371524958e-09,6.037417232818143e-09
1845,6.696273757711424e-09,7.254296274794569e-09
1846,5.854501328173001e-09,5.854501328173001e-09
1847,9.168480197274675e-09,0.0
1848,1.689496542667257e-08,0.0
1849,5.865590679832167e-09,0.0
1850,9.504594444820214e-09,2.7155984128057753e-09
1851,7.094382858952031e-09,1.2898877521649865e-09
1852,1.0416872697760482e-08,0.0
1853,5.3747388761848924e-09,0.0
1854,0.0,1.0391328908454511e-09
1855,1.5920811335945473e-09,5.306937111981824e-10
1856,1.0354378687793542e-08,2.5885946719483854e-09
1857,1.1715621417440758e-08,1.4644527368545823e-08
1858,1.3212924976357954e-08,0.0
1859,1.7313389832906978e-08,1.5276520048956854e-09
1860,3.204028820036342e-09,0.0
1861,9.431927239234028e-09,1.8863854922557266e-09
1862,1.8975542914745347e-08,2.2589932147099034e-09
1863,6.99246927027275e-09,3.496234635136375e-09
1864,2.0617330065419992e-08,3.835782358407869e-09
1865,1.6473954644879996e-08,1.882737743486018e-09
1866,2.432806400776144e-09,4.865612801552288e-09
1867,7.76449837758264e-09,1.94112459439566e-09
1868,9.87974857480367e-09,1.975949626142892e-09
1869,5.860222973552709e-09,4.883519366671862e-09
1870,2.0069171213776826e-08,0.0
1871,8.496941816815706e-09,0.0
1872,2.963196266136947e-08,6.047339295989218e-10
1873,1.5563610844537834e-08,8.380406146812902e-09
1874,2.6885741633009275e-08,2.9873046258899194e-09
1875,8.58229043387837e-09,6.293679688518239e-09
1876,5.441413541973361e-09,7.859819461941697e-09
1877,1.7317484335421796e-08,1.0514186854493346e-08
1878,2.0532900657510567e-08,1.2078177347163432e-09
1879,1.2218650868867087e-08,2.443730107160036e-09
1880,1.6686399817444908e-08,8.984984534166074e-09
1881,2.370652651961791e-08,2.091752326904839e-09
1882,1.5972923872453748e-08,2.6621540527571597e-09
1883,1.7694149256897163e-08,9.479008244994702e-09
1884,1.4523733327109767e-08,1.650424241717019e-08
1885,1.2891271161663553e-08,7.090199150017185e-09
1886,1.2261581083805595e-08,7.0988103173519335e-09
1887,1.566941953967671e-08,1.1099172247952538e-08
1888,2.9800888867725916e-08,5.07249175996094e-09
1889,2.380751951136517e-08,5.6386229019267375e-09
1890,1.245333464128251e-08,1.3108772956016423e-08
1891,2.4859457603554347e-08,2.5496880162734215e-09
1892,8.149066310636499e-09,6.8953636134239105e-09
1893,3.695050043717174e-09,8.005941687372342e-09
1894,7.561847370496366e-09,8.192001077489408e-09
1895,6.018614495673091e-09,1.1435367319734269e-08
1896,1.828079043697528e-08,6.48673198488936e-09
1897,6.992056045262984e-09,9.322741689743452e-09
1898,1.9804241802034994e-08,1.6975064687230201e-09
1899,1.0502398950507086e-08,5.527578395003729e-09
1900,1.245852798703595e-08,3.633737311048435e-09
1901,2.291382911190354e-08,1.1736351890334618e-08
1902,1.2275710059572731e-08,2.7497589982772297e-08
1903,4.860198243861191e-09,8.100330184390714e-09
1904,8.599400302955473e-09,1.6123875568041512e-08
1905,8.773290538499623e-09,7.741138674521864e-09
1906,1.491813489407079e-08,2.1605574884731027e-08
1907,1.0799970917574342e-08,1.3885676608538233e-08
1908,9.822778146428846e-09,2.062783432954518e-08
