year,avons_VERB osé_VERB,avons_VERB posé_VERB
1800,8.803660733747165e-08,7.231578535993322e-08
1801,4.286128785224719e-08,1.1191558257905854e-07
1802,2.6854081625060644e-08,7.161088433349505e-08
1803,4.6808139586573816e-08,5.460949736857401e-08
1804,6.179627121127851e-08,1.4336735887354735e-07
1805,1.6204403152642044e-07,5.1171799242411e-08
1806,6.916005901302924e-08,1.123850950079941e-07
1807,4.555128185756985e-08,8.54086508184082e-08
1808,3.3991110370834576e-08,9.290903335568146e-08
1809,6.777091243748146e-08,9.487928309681593e-08
1810,4.914266327205041e-08,5.3822915901946544e-08
1811,3.5099073869560016e-08,7.771937760026049e-08
1812,1.2802598803318688e-07,1.520308643421231e-07
1813,5.463909147351842e-08,1.6104152678053651e-07
1814,9.44003133440674e-08,6.293354459785405e-08
1815,1.9150287755564932e-07,8.90083740046066e-08
1816,9.038654980031424e-08,8.57513455798653e-08
1817,1.3077736582545185e-07,4.981994905506326e-08
1818,8.106400883889364e-08,1.0133000927226021e-07
1819,1.0558071039667993e-07,1.35598753558952e-07
1820,1.0679833195581523e-07,1.4239776646718383e-07
1821,1.479223215028469e-07,9.664258726616026e-08
1822,1.223125138949399e-07,7.719724237631453e-08
1823,5.6331316500290995e-08,6.522573414713406e-08
1824,9.010590673597108e-08,1.1284291190349904e-07
1825,6.60408261410339e-08,1.1535130539641614e-07
1826,8.984144272972117e-08,8.896063974361823e-08
1827,7.005127855563842e-08,1.3733736636822869e-07
1828,5.319934714975716e-08,1.2566052021156793e-07
1829,9.344761764396026e-08,1.5860375413012662e-07
1830,1.1063045946002603e-07,1.2106730196137505e-07
1831,7.327867024287116e-08,1.683850285871813e-07
1832,6.494385473843067e-08,2.2730348803179368e-07
1833,3.59092489077284e-08,2.6294836175111413e-07
1834,9.427876079826092e-08,1.9322479261063563e-07
1835,6.277362984974388e-08,1.868082790679182e-07
1836,5.309392392405243e-08,2.2044059733161703e-07
1837,7.72325918774186e-08,1.7951359154722013e-07
1838,7.132742751991827e-08,2.3670607163239765e-07
1839,6.362242288560083e-08,2.3701100815287646e-07
1840,6.17859825524647e-08,2.0828882441037422e-07
1841,7.447836480878323e-08,2.1637248437400558e-07
1842,7.244926081284575e-08,3.1998425242818485e-07
