year,deux_DET airs_NOUN,deux_DET pairs_NOUN
1800,1.131899196593622e-07,5.65949598296811e-08
1801,4.286128785224719e-08,2.6193007984787187e-08
1802,3.1329761895904085e-08,2.6854081625060644e-08
1803,9.166594594489652e-08,1.3652374342143503e-08
1804,6.921182338359699e-08,1.4831105232815389e-08
1805,1.2224374312808095e-07,2.55858996212055e-08
1806,4.8988376022407465e-08,5.76333825108577e-09
1807,6.547996633798903e-08,6.832692278635477e-08
1808,1.1556977064230978e-07,9.064295980465431e-08
1809,6.09938268780752e-08,2.259030518203531e-09
1810,3.97821557918121e-08,3.510190094146992e-08
1811,8.77476873384353e-08,7.52123057168319e-08
1812,5.3344166417446104e-08,1.3336041604361526e-08
1813,1.5241430628698538e-07,6.326631485364942e-08
1814,8.81069599500961e-08,1.2586708564299443e-08
1815,5.664169400176888e-08,1.9150287910996155e-07
1816,4.6352077731626196e-09,1.3673862753194044e-07
1817,3.42512151974006e-08,9.185553229151822e-08
1818,6.079800130009971e-08,4.17241206029928e-08
1819,4.5544620519422097e-08,1.2835302087843559e-07
1820,5.3399165977907614e-08,8.543866680810197e-08
1821,1.4792232327920374e-08,6.409967356901802e-08
1822,5.514088741165324e-08,5.6143449000956025e-08
1823,1.680056804787e-08,4.9413433012013286e-08
1824,6.06320114115988e-08,5.052667617633233e-08
1825,3.78634048558979e-08,6.69213704451721e-08
1826,2.9947145208097936e-08,1.6030531468924636e-07
1827,5.7147091836462494e-08,1.4471118703340835e-07
1828,7.888178754633657e-08,6.420610737523091e-08
1829,6.086954873474326e-08,9.173298309850253e-08
1830,4.5922077696047836e-08,1.2002361282625884e-07
1831,5.145097770054008e-08,1.2317052777710558e-07
1832,2.8412935559885e-08,1.0418076135110255e-07
1833,4.865123881536704e-08,5.560141680405195e-08
1834,4.853956059314157e-08,4.573920087125316e-08
1835,4.0840674842002045e-08,9.000074641107858e-08
1836,5.578222345148376e-08,5.107769895928982e-08
1837,6.88831186534955e-08,5.079260290141718e-08
1838,4.229148320433751e-08,9.15263440592895e-08
1839,3.2859933885021064e-08,1.139610472655761e-07
1840,4.33138822586443e-08,9.873017448036592e-08
1841,7.512042010660025e-08,3.2102743574569104e-08
1842,3.8237111255057243e-08,6.842430266829069e-08
1843,6.143187425422525e-08,6.674809432949402e-08
1844,3.45779343491337e-08,4.006649861887368e-08
1845,4.7431936656128215e-08,5.524425694680701e-08
1846,2.2832555401919308e-08,8.606116841392009e-08
1847,1.941560512364049e-08,6.795461793274171e-08
1848,3.298541073615269e-08,6.355725035156468e-08
1849,3.686942506853086e-08,8.295620901321854e-08
1850,5.838536765168101e-08,5.838536676350259e-08
1851,3.353708155628965e-08,3.224719424821387e-08
1852,6.445439737490233e-08,1.7578472233381603e-08
1853,4.598387448595531e-08,1.5527023222716707e-08
1854,7.118060402211412e-08,4.2604447136884716e-08
1855,6.156047405170284e-08,5.837630823180007e-08
1856,5.694908311593139e-08,4.348839099943547e-08
1857,7.175818117488575e-08,4.393357999621372e-08
1858,8.172439253106845e-08,4.208561521501508e-08
1859,3.97189512391094e-08,5.295860328047297e-08
1860,5.8130236957332215e-08,5.355305088272644e-08
1861,5.847795042646098e-08,4.951761889415707e-08
1862,8.177555432808958e-08,4.156547506184438e-08
1863,2.2975256364077268e-08,3.546180649127706e-08
1864,7.096197229827794e-08,5.8975152095186445e-08
1865,4.2832282387550435e-08,1.694463946932956e-08
1866,5.1088934416299026e-08,2.432806489593986e-08
1867,6.939520247328801e-08,2.135237053835226e-08
1868,4.6434817546625595e-08,5.87844996013942e-08
1869,8.399653195212409e-08,9.22985090578976e-08
1870,4.587238944253613e-08,7.167560811538465e-08
1871,2.1242353653860846e-08,2.3366590662377007e-08
1872,5.019291648977742e-08,4.898344929671339e-08
1873,6.105724315030869e-08,9.45788677375603e-08
1874,4.779687134970345e-08,5.974609107450846e-08
1875,5.893172794202428e-08,4.806082642971887e-08
1876,6.287855258690911e-08,4.957732002708326e-08
1877,7.050690165044671e-08,5.195245600386755e-08
1878,1.316521327510145e-07,7.246906541524822e-08
1879,3.6655949942066e-08,7.819936387321036e-08
1880,5.005920211686998e-08,6.032775656805711e-08
1881,9.41288524902717e-08,6.414706765767164e-08
1882,7.587138917131142e-08,4.1928927219103684e-08
1883,7.140853064413477e-08,6.76169271685012e-08
1884,4.291103117282091e-08,5.0833064868527345e-08
1885,4.318576085626802e-08,4.3830321594384714e-08
1886,4.9046325889534614e-08,5.8726522311758345e-08
1887,5.35371814103236e-08,4.504957828999068e-08
1888,4.755461202599065e-08,4.3750241873752316e-08
1889,5.889228527067303e-08,3.383173863280575e-08
