year,ces_DET hommes_NOUN,ces_DET pommes_NOUN
1800,2.1804780544698588e-05,2.4524482533649916e-07
1801,1.9016123360415804e-05,3.024101928872369e-07
1802,1.7482007478974992e-05,1.857407312400028e-07
1803,1.7494543612883717e-05,1.677291787682833e-07
1804,1.79728278908442e-05,1.87860669242923e-07
1805,1.7398410705027345e-05,2.8428777198996613e-07
1806,1.393863328758016e-05,1.9883517321517274e-07
1807,1.8587770227895817e-05,8.825561081948763e-08
1808,1.3256532952254929e-05,1.4276265858370607e-07
1809,1.346608064523025e-05,1.6265019553429738e-07
1810,1.6048589145611913e-05,1.3104709850608742e-07
1811,1.1111363960480958e-05,1.42903374467096e-07
1812,1.192242064007587e-05,1.2535878468611372e-07
1813,1.272803206120443e-05,1.639172673151279e-07
1814,2.086246945509629e-05,9.125363575890333e-08
1815,2.203092117269989e-05,1.1328339155625144e-07
1816,1.876563806035847e-05,9.50217593498337e-08
1817,1.86840372862207e-05,1.510167195739598e-07
1818,2.0571184450091096e-05,1.4186201058308257e-07
1819,2.1411147827166133e-05,4.140420073461826e-08
1820,2.500623509149591e-05,1.4714436247231788e-07
1821,2.2245544869292644e-05,1.0157333107940758e-07
1822,2.053145794889133e-05,7.318699601910339e-08
1823,1.8376856814938947e-05,4.4472090010572174e-08
1824,1.9088978888248676e-05,1.1873768812620256e-07
1825,2.0421583712959546e-05,1.7082559367054273e-07
1826,1.7643273849898833e-05,9.160303526822844e-08
1827,2.0030977566420916e-05,5.8990548168491586e-08
1828,1.9658075871120673e-05,1.0364700386844561e-07
1829,1.7775623746274505e-05,9.773420384107112e-08
1830,2.01984091745544e-05,1.3880991556192157e-07
1831,2.4761953227425693e-05,2.291907303941798e-07
1832,2.330672509742726e-05,1.799485964681935e-07
1833,2.4670811399118975e-05,1.7838787691459856e-07
1834,2.444527012812614e-05,1.0734710942372772e-07
1835,2.4977097837108886e-05,1.1420262779893164e-07
1836,2.2803504407420405e-05,1.0081124929284258e-07
1837,2.164043189623044e-05,1.252420323005765e-07
1838,2.03270551537571e-05,8.142688900925066e-08
1839,2.0309536239437875e-05,1.0487212931398204e-07
1840,2.395958472334314e-05,9.427139158191267e-08
1841,2.23691913561197e-05,7.447836525287244e-08
1842,2.446370149300492e-05,6.238686411919048e-08
1843,2.428626567052561e-05,4.7845978845550974e-08
1844,2.33219939218543e-05,6.970472915535098e-08
1845,2.31082826758211e-05,1.6852288187152453e-07
1846,2.1204417635090067e-05,2.312528053494134e-07
1847,2.7050791004512575e-05,1.2728007980911116e-07
1848,2.377604437242553e-05,1.552727768583395e-07
1849,2.5791839561861707e-05,1.6339858666114537e-07
1850,2.150550358237524e-05,6.72110589405861e-08
1851,2.2605927370022982e-05,1.0448090659309628e-07
1852,1.9177462718289462e-05,1.4713832441337615e-07
1853,1.989489305742609e-05,1.0570318997871198e-07
1854,2.0662118686232134e-05,6.546537156815191e-08
1855,1.8927721384898177e-05,9.446348414599015e-08
1856,1.9552690673663164e-05,9.629572139679965e-08
1857,1.8721076003203052e-05,1.1569176505688006e-07
1858,1.88318431355583e-05,6.459652213131051e-08
1859,1.9588572286011185e-05,6.823512155307299e-08
1860,2.0226117612764938e-05,7.735440943346106e-08
1861,2.1712767647841247e-05,9.196129546751308e-08
1862,2.0939510250173043e-05,8.990792998986308e-08
1863,2.0653755655075656e-05,7.791608602758515e-08
1864,2.0414512619026937e-05,8.007195884118801e-08
1865,2.0267671743567917e-05,6.63665056244156e-08
1866,1.9477048226690385e-05,1.0607035899612427e-07
1867,1.7393931784681627e-05,7.910082899797999e-08
1868,1.7154206716440967e-05,1.0077343226555513e-07
1869,1.862281192188675e-05,7.520619693668351e-08
1870,1.8278427205586922e-05,7.110220412442914e-08
1871,2.1963533299640403e-05,1.540070719840969e-07
1872,2.052285594800196e-05,1.0159529884035123e-07
1873,1.557259065521066e-05,1.406711072071687e-07
1874,1.4883946505506174e-05,1.1053026938157018e-07
