year,mes_DET âges_NOUN,mes_DET pages_NOUN
1800,0.0,6.288329101877821e-08
1801,0.0,6.191074675143682e-08
1802,0.0,3.5805442166747525e-08
1803,0.0,5.0708818477573914e-08
1804,0.0,1.4831105232815389e-08
1805,0.0,5.970043259750923e-08
1806,0.0,7.492339815229343e-08
1807,0.0,4.27043254092041e-08
1808,0.0,7.024829251633946e-08
1809,0.0,4.2921579401777876e-08
1810,0.0,9.360506680877734e-08
1811,0.0,5.264861258069686e-08
1812,0.0,2.9339290108509886e-08
1813,0.0,0.0
1814,0.0,6.293354459785405e-08
1815,0.0,2.1577788444915313e-08
1816,0.0,1.1588019432906549e-08
1817,0.0,6.383181272440197e-08
1818,1.1921177378582115e-09,5.0068943213688044e-08
1819,0.0,4.864993496944692e-08
1820,0.0,8.187871713971617e-08
1821,0.0,1.1537941446704281e-07
1822,0.0,6.616906489398389e-08
1823,0.0,1.146391697126603e-07
1824,0.0,5.3053010873327366e-08
1825,0.0,1.7258667805997163e-07
1826,0.0,6.253669027067588e-08
1827,9.217273055917019e-10,7.373818533551457e-08
1828,0.0,1.1190207271916108e-07
1829,0.0,7.715858690859889e-08
1830,0.0,7.410153557430021e-08
1831,0.0,9.198811312671751e-08
1832,0.0,7.98268184887263e-08
1833,0.0,7.992703565662396e-08
1834,1.6802156110884425e-08,9.427876079826092e-08
1835,5.294161553592858e-09,1.1722786297241328e-07
1836,6.720750067579218e-10,9.073012563476368e-08
1837,3.478945576063097e-09,5.635891620059397e-08
1838,1.8936485712828244e-09,9.657607891178088e-08
1839,0.0,5.173691519644308e-08
1840,0.0,4.331388359091193e-08
1841,0.0,6.677370256724657e-08
1842,0.0,5.0982813526445625e-08
1843,0.0,8.624090347408853e-08
1844,0.0,6.092302884397327e-08
1845,0.0,3.5155437672074186e-08
1846,5.854501328173001e-10,5.2690513285824636e-08
1847,0.0,3.3977309854549276e-08
1848,3.218088684420195e-09,2.815827571112095e-08
1849,0.0,3.016589289472904e-08
1850,0.0,3.6660580349234806e-08
1851,6.449438760824933e-10,6.384944528647907e-08
1852,1.9531636308300904e-09,4.948014353800545e-08
1853,0.0,8.838458809279359e-08
1854,1.558699391779328e-09,9.040456427911181e-08
1855,4.2455496895854594e-09,5.253867740862006e-08
1856,1.0354378465748937e-09,5.694908278286448e-08
1857,9.763018171682347e-10,4.735063896532665e-08
1858,4.893676019968041e-10,1.3408672305814662e-07
1859,0.0,6.059686441517442e-08
1860,4.577183909670879e-10,4.165237332820482e-08
1861,0.0,7.734180434981752e-08
1862,0.0,3.885468302655681e-08
1863,4.994620828036034e-10,9.539725454033032e-08
1864,0.0,8.6305100843731e-08
1865,0.0,8.189909284084251e-08
1866,0.0,6.76320214276771e-08
1867,4.85281148598915e-10,3.736664844211646e-08
1868,0.0,5.137469083482671e-08
1869,0.0,4.5416729377301124e-08
1870,0.0,6.594156332084822e-08
1871,0.0,2.2304471603007414e-08
1872,0.0,3.688877092677956e-08
1873,0.0,3.831042771906823e-08
1874,0.0,6.572070104793326e-08
1875,0.0,8.639505943985881e-08
1876,0.0,8.585340971478672e-08
1877,0.0,3.896433931060983e-08
1878,0.0,1.7513357875031943e-08
1879,0.0,6.720258083348085e-08
1880,0.0,3.9148863928417654e-08
1881,0.0,3.974329426670309e-08
1882,6.655385131892899e-10,4.658769436893806e-08
1883,0.0,4.107570461542309e-08
1884,0.0,3.1688147217323603e-08
1885,0.0,3.158361416844002e-08
1886,0.0,3.0976625708944994e-08
1887,1.3057849246322917e-09,4.243801005054948e-08
