year,êtes_VERB à_ADP,êtes_VERB pas_ADV,etes_VERB à_ADP,etes_VERB pas_ADV
1800,6.225445758900605e-07,4.27606380526413e-07,6.288328968651058e-09,3.144164484325529e-09
1801,1.1620171562753967e-06,5.143354542269662e-07,4.7623651688866175e-09,2.3811825844433088e-09
1802,5.99741156293021e-07,4.408545066780789e-07,0.0,0.0
1803,7.859866855142172e-07,3.764154712371237e-07,1.950339223455444e-09,1.950339223455444e-09
1804,1.344686893389735e-06,6.871745767966786e-07,0.0,2.4718509461507665e-09
1805,1.1570512015168788e-06,6.311188371910248e-07,0.0,0.0
1806,1.3976094805911998e-06,4.0343368823414494e-07,2.881669125542885e-09,0.0
1807,5.89319711252756e-07,4.3558412698985194e-07,0.0,0.0
1808,5.733166972277104e-07,2.583324487659411e-07,0.0,2.2660739951163578e-09
1809,8.44877433792135e-07,3.343365051478031e-07,0.0,2.259030518203531e-09
1810,1.3291919458424672e-06,7.862826123528066e-07,2.3401267590372754e-09,2.3401267590372754e-09
1811,9.351396101919818e-07,3.133845893898979e-07,0.0,5.0141535368197765e-09
1812,7.414839160446718e-07,4.107500615191384e-07,2.6672082320544632e-09,0.0
1813,7.822017096259515e-07,2.8469841595324397e-07,2.8757416448144113e-09,0.0
1814,6.545088240272889e-07,3.1152103474596515e-07,0.0,0.0
1815,6.635169711444178e-07,3.37152954443809e-07,0.0,2.697223555614414e-09
1816,1.0545097666181391e-06,3.4995818509742094e-07,0.0,0.0
1817,1.312444283030345e-06,3.6275150705478154e-07,0.0,0.0
1818,1.2231128039275063e-06,5.805613341181015e-07,0.0,0.0
1819,7.721883434896881e-07,4.3163879581697984e-07,1.035105001712111e-09,0.0
1820,1.1795282262028195e-06,4.461796834220877e-07,1.1866481131050932e-09,1.1866481131050932e-09
1821,1.7316773437414668e-06,8.964092899077514e-07,9.86148829262845e-10,0.0
1822,1.4035862250239006e-06,7.298648370124283e-07,2.0051231786055723e-09,0.0
1823,1.1068609637732152e-06,6.641165555265616e-07,1.9765373782121287e-09,0.0
1824,1.024849439090758e-06,4.951614300807705e-07,8.421112696055388e-10,0.0
1825,1.0628169775372953e-06,5.371320526137424e-07,0.0,8.805443041381977e-10
1826,9.389311230734165e-07,4.3775682456725917e-07,8.807984341885344e-10,0.0
1827,9.438487609259028e-07,4.387422052332113e-07,0.0,1.8434546111834038e-09
1828,1.0428906307424768e-06,6.044546694283781e-07,0.0,0.0
1829,8.264541975222528e-07,4.6895272021174605e-07,0.0,0.0
1830,1.0729066843850887e-06,5.677638910128735e-07,0.0,2.0873671680021744e-09
1831,1.1771360277634813e-06,5.20746311849507e-07,0.0,1.5591206103948707e-09
1832,1.527533527223568e-06,3.95075119286048e-07,1.3529969367098715e-09,0.0
1833,1.1606796306296019e-06,6.046653879820951e-07,1.1583628500844156e-09,0.0
1834,1.0267983725498198e-06,5.376689955483016e-07,0.0,9.334530925997342e-10
1835,1.0732021564763272e-06,6.489129305009556e-07,7.563087933704082e-10,0.0
1836,1.0188657597609563e-06,4.825498649552173e-07,0.0,0.0
1837,9.142668773165497e-07,4.1956081986427307e-07,1.3915781860163179e-09,0.0
1838,8.893836138668121e-07,4.147090351125371e-07,1.2624323808552163e-09,0.0
1839,8.03320517661632e-07,4.0200981743510056e-07,1.3982950353153e-09,1.3982950353153e-09
1840,7.815608000782959e-07,4.541587941275793e-07,6.369688665408546e-10,1.2739377330817092e-09
1841,8.475124104734277e-07,5.149279900251713e-07,3.2102742686390684e-09,1.926164561183441e-09
1842,9.358029728900874e-07,4.7427434424207604e-07,2.0124795163667386e-09,6.708265054555795e-10
1843,9.096643225348089e-07,4.3829280116369773e-07,2.3627644285539873e-09,5.906911071384968e-10
1844,8.781698284110462e-07,4.818956540475483e-07,1.6465684371524958e-09,5.488561272137815e-10
1845,8.303379104290798e-07,5.189612011236022e-07,2.2320911785556063e-09,5.580227946389016e-10
1846,8.494881171827728e-07,4.99974419199134e-07,0.0,0.0
1847,5.948725743110117e-07,4.3199722199460666e-07,0.0,5.393223645455691e-10
1848,6.99129770964646e-07,4.4248719177630846e-07,2.413566457803995e-09,0.0
1849,6.158870178296638e-07,3.603148286401847e-07,8.379414939696517e-10,8.379414939696517e-10
1850,6.931564939804957e-07,3.509910868615407e-07,2.0366988096043315e-09,1.3577992064028876e-09
