year,nouveaux_ADJ airs_NOUN,nouveaux_ADJ pairs_NOUN
1800,3.144164395507687e-08,1.1947824418712116e-07
1801,1.1905912700171939e-08,9.524730337773235e-09
1802,1.3427040812530322e-08,1.5664880947952042e-08
1803,1.3652374342143503e-08,4.290746136170753e-08
1804,1.2359254952798437e-08,1.4831105232815389e-08
1805,3.1271653710973624e-08,2.55858996212055e-08
1806,4.3225035994964855e-08,2.5935023018064385e-08
1807,2.8469550272802735e-08,1.4234775136401367e-08
1808,7.478044494746428e-08,9.290903335568146e-08
1809,9.036122072814123e-09,0.0
1810,4.212228077449254e-08,3.042164786748458e-08
1811,1.2535384286138651e-08,0.0
1812,1.600324850414836e-08,2.1337665412346496e-08
1813,7.476928232108548e-08,5.751483289628823e-09
1814,1.5733386149463513e-08,1.4474714760126517e-07
1815,2.6972236000233352e-08,1.9959454178319902e-07
1816,2.0858434979231788e-08,2.4103079709902886e-07
1817,1.8682481339737933e-08,6.69455584301204e-08
1818,3.814776761146277e-08,8.821671548808752e-08
1819,5.900098543065724e-08,7.245735176297785e-07
1820,2.7292905713238724e-08,3.4531459291997635e-07
1821,2.5639868894700157e-08,9.269798872946211e-08
1822,3.5089655625597516e-08,1.0727409005539812e-07
1823,2.3718449426723964e-08,1.7986489542209938e-07
1824,2.7789671008804362e-08,9.431646574853403e-08
1825,2.0252519661312363e-08,1.1182912507123888e-07
1826,2.554315514657901e-08,1.5942451270234415e-07
1827,1.8434546333878643e-08,1.797368239797592e-07
1828,2.4765213879618386e-08,3.0635485348540215e-07
1829,2.6576845613135447e-08,3.3006729083240316e-07
1830,5.427154770032416e-08,9.393152566872232e-08
1831,1.870944643656003e-08,3.149423690729236e-07
1832,4.058990921151917e-09,3.301312414549784e-07
1833,4.170106393530659e-08,3.451921273267544e-07
1834,2.240287511057204e-08,1.8669061319087632e-07
1835,2.117664621437143e-08,1.0361430469174593e-07
1836,1.747394939854985e-08,8.938597773067158e-08
1837,6.262101948095733e-09,1.906462046008528e-07
1838,1.2624323808552163e-08,9.783850885014544e-08
1839,1.3982949909063791e-08,2.0065533590241103e-07
1840,2.993753511759678e-08,8.72647376581881e-08
1841,1.9903700021473014e-08,7.704658333551606e-08
1842,9.391571076378114e-09,1.4020274452519743e-07
1843,1.4176587015413133e-08,1.9551876295764714e-07
1844,1.4270259640625227e-08,1.0757580426457025e-07
1845,8.928364714222425e-09,1.7800926599420563e-07
1846,2.1076203893244383e-08,1.0011197026926766e-07
1847,7.550513103637968e-09,1.062465049272987e-07
1848,8.04522137798358e-09,8.68883915927654e-08
1849,5.865590679832167e-09,4.5248841340495005e-08
1850,2.0366988096043315e-08,7.671565516176315e-08
1851,1.3543821175687754e-08,2.579775504329973e-08
1852,2.99485096721952e-08,9.505395981435072e-08
1853,2.508211416341055e-08,1.092863504137398e-07
1854,1.8184826089395756e-08,5.7152309551611324e-08
1855,1.963566731433275e-08,7.005156987816008e-08
1856,1.1907535402144731e-08,1.1493360352332616e-07
1857,2.4895696171256532e-08,6.199516822125162e-08
1858,6.8511463169329545e-09,7.24264048734824e-08
1859,1.9350258284589472e-08,9.216834007119701e-08
1860,1.2816115280145368e-08,9.886717577956006e-08
1861,1.744906619194353e-08,1.0516599202592403e-07
1862,4.9697850279528666e-09,1.4638276013556606e-07
1863,8.990317601487163e-09,6.892576731587496e-08
1864,8.151037178549814e-09,1.5870549496810327e-07
1865,1.3649848362717876e-08,1.0402126360276043e-07
1866,8.75810357570117e-09,8.417510183322818e-08
1867,1.8925964795357686e-08,6.551295506085353e-08
1868,1.877152122631287e-08,8.595380762699278e-08
1869,3.906815315701806e-09,1.6652799672556284e-07
1870,8.027668307875047e-09,4.529898633975904e-08
1871,2.1242354542039266e-09,4.885741411442268e-08
1872,2.2979889990892843e-08,8.466274725726919e-08
1873,1.1373408881354408e-08,1.8257313916247853e-07
1874,8.364453130127458e-09,1.1829726354051218e-07
1875,1.0870901512305409e-08,1.4761540023666697e-07
1876,1.934724735974669e-08,6.711076339094291e-08
1877,1.793596660082386e-08,4.7004601100297805e-08
1878,3.140326082506917e-08,1.5580849455076873e-07
1879,8.55305515301552e-09,1.3868168302622053e-07
1880,1.1552122813895949e-08,7.63723673191663e-08
1881,1.8128519629900808e-08,3.2073533162702006e-08
1882,2.2628309892525067e-08,7.387477296560974e-08
1883,1.0110942583185789e-08,1.1627583929030294e-07
1884,1.7824581810543805e-08,6.865764845542799e-08
1885,8.379326565943757e-09,1.0184104237698222e-07
1886,1.097088819790315e-08,3.807543791367607e-08
1887,3.264462256069578e-09,3.3950408928618e-08
1888,1.7119660356001987e-08,7.545331470737437e-08
1889,1.2530273707511697e-08,9.836264724949473e-08
1890,1.1142456735058204e-08,8.192983358412675e-08
1891,1.0198752065093686e-08,4.206985249055606e-08
1892,2.5074049059270465e-08,3.0715710863660206e-08
1893,2.463366621796581e-09,5.7273272346947124e-08
1894,1.1342770278588432e-08,5.5453544867134497e-08
1895,1.5648397910794642e-08,6.560289733670288e-08
1896,1.533227589334274e-08,3.066455134259627e-08
1897,7.574727511894253e-09,6.409385167049919e-08
1898,7.921697076085366e-09,8.996784428561e-08
1899,9.39688327150634e-09,4.366786754417262e-08
1900,8.824790675987515e-09,2.7512581213251508e-08
1901,1.3412973842719111e-08,2.5708198458929132e-08
1902,2.455141867585553e-09,4.910283846193408e-09
1903,3.7801539676252105e-09,3.7801542784876574e-08
1904,5.912087708281888e-09,2.579820090886642e-08
1905,1.7030504784187883e-08,1.857873321853276e-08
1906,2.1605574884731027e-08,7.150416658774361e-08
1907,6.1714121590839e-09,4.5257022462941165e-08
1908,1.4243027868232616e-08,2.89771957540097e-08
1909,4.400786846048277e-09,4.950885301724384e-08
1910,2.618633776485524e-08,4.489086613546078e-08
1911,1.8089271303090015e-08,6.118430206925041e-08
1912,1.8753915753677575e-08,4.740573444905749e-08
1913,2.0681660439780813e-08,4.9317802952586476e-08
1914,1.4732836284281348e-08,2.4777952134513725e-08
1915,2.4739600590351074e-08,9.424609315189514e-09
1916,3.2962386153911893e-09,1.8678685709261345e-08
1917,2.1932848870420685e-09,3.289927441585405e-09
1918,3.44591288836682e-09,2.5270027848023346e-08
1919,5.524709134618888e-09,1.749491218561161e-08
1920,1.590168707821249e-08,1.590168619003407e-08
1921,1.5902768879527684e-08,2.574734203619755e-08
1922,1.4018077365562931e-08,3.09873291470808e-08
1923,1.2739137300599168e-08,2.441667978914097e-08
1924,1.5469949321555987e-08,2.5783248425170768e-08
1925,7.698724768800957e-09,3.739380360912037e-08
1926,6.687683296036084e-09,3.566764172902026e-08
1927,1.1149224654616319e-08,5.128643310037262e-08
1928,7.998228745975666e-09,1.8281665847830197e-08
1929,2.4508893359254103e-08,1.4482528065684619e-08
1930,5.2518016602221e-09,4.201441439199982e-08
1931,2.0529641986399838e-08,3.079446386777818e-08
1932,4.38381475564853e-09,2.9590749406338546e-08
1933,9.176529758292418e-09,5.5059178549754506e-08
1934,1.1981580172459871e-08,2.2765002327673756e-08
1935,1.4361940969820353e-08,1.196828414151696e-08
1936,8.487299751891442e-09,1.091224310911798e-08
1937,0.0,5.0364473480613015e-08
1938,7.779128452511941e-09,3.6302600703308485e-08
1939,4.588215141154706e-09,4.588215141154706e-09
1940,1.5214697057785997e-08,3.550096039361961e-08
1941,5.9030051957620344e-09,2.6563522936839945e-08
1942,9.102635090130207e-09,9.102635090130207e-09
1943,5.806470415592457e-09,8.709705623388686e-09
1944,6.4263723231761105e-09,1.2852744646352221e-08
1945,1.089252066321933e-08,4.357008087652048e-09
1946,4.1763312808029696e-09,5.568441707737293e-09
1947,9.536696765621855e-09,2.0265479960812627e-08
