year,sommes_VERB à_ADP,sommes_VERB a_ADP,sommes_VERB pas_ADV
1800,1.4714689768879907e-06,1.8864986461863964e-08,4.109423116460675e-06
1801,1.3834670653523062e-06,2.6193007984787187e-08,4.845706371270353e-06
1802,1.351655441794719e-06,1.1189200677108602e-08,3.4485117339499993e-06
1803,1.1819055316664162e-06,1.1702034896643454e-08,3.3584840366529534e-06
1804,1.16177000109019e-06,7.4155528384522995e-09,3.633620963228168e-06
1805,1.412910251019639e-06,2.842877711017877e-09,3.323324108350789e-06
1806,1.0662175782272243e-06,1.729001475325731e-08,3.440713044255972e-06
1807,1.1217002793273423e-06,1.7081731140677903e-08,2.844108166755177e-06
1808,1.0559905376794632e-06,1.3596443526608937e-08,2.9957498099975055e-06
1809,1.301201564274379e-06,6.7770917766551975e-09,3.2981845379254082e-06
1810,1.3081308907203493e-06,1.8721014516387413e-08,4.937667654303368e-06
1811,9.401537681696936e-07,5.0141535368197765e-09,2.8279825983190676e-06
1812,1.0428784662508406e-06,5.3344164641089264e-09,3.203317191946553e-06
1813,7.764502356621961e-07,0.0,3.39912662639108e-06
1814,1.1800038919318467e-06,5.349351184236184e-08,3.4298780065000756e-06
1815,1.1948700375796761e-06,1.3486117778072071e-08,3.484812850729213e-06
1816,1.2677293170781923e-06,1.3905623319487859e-08,4.964307663612999e-06
1817,1.3451385711960029e-06,2.490997452753163e-08,4.542956503428286e-06
1818,1.2934477808812517e-06,8.344824387052086e-09,4.980668109055841e-06
1819,1.248336616299639e-06,1.449147024601416e-08,4.329844159656204e-06
1820,1.495176661592268e-06,4.746592452420373e-09,4.198361239104997e-06
1821,1.733649696689099e-06,1.0847637232913598e-08,5.459319709189003e-06
1822,1.6321703242283547e-06,8.02049271442229e-09,4.9626796680968255e-06
1823,1.2570777698783786e-06,2.9648061450338048e-08,4.3128047764184885e-06
1824,1.4517997897200985e-06,9.263223965660927e-09,4.213082775095245e-06
1825,1.4775533827560139e-06,7.92489873724378e-09,4.186988007859327e-06
1826,1.4207279264155659e-06,3.5231937367541377e-09,3.914268290827749e-06
1827,1.4489553450403037e-06,1.659109177820639e-08,4.3616137190838344e-06
1828,1.4042793736734893e-06,5.5033806956039655e-09,4.726486622530501e-06
1829,1.399999632667459e-06,1.4574399298528107e-08,4.0276781874126755e-06
1830,1.493511263106484e-06,1.0436835617966267e-08,4.894875928584952e-06
1831,1.6214854667850886e-06,1.4032084827420022e-08,5.403911927714944e-06
1832,1.42876479003462e-06,9.4709785569691e-09,5.195508038013941e-06
1833,1.6634090798106627e-06,1.9692168451435066e-08,4.986752173863351e-06
1834,1.595271328369563e-06,2.240287466648283e-08,5.323483037500409e-06
1835,1.8325362134419265e-06,2.647080776796429e-08,6.086773282731883e-06
1836,1.9194462765881326e-06,1.2769425294933967e-08,5.7274232858617324e-06
1837,1.885588403638394e-06,1.2524203452102256e-08,4.962367711414117e-06
1838,1.5931896086840425e-06,1.1361891427696946e-08,4.400839316076599e-06
1839,1.6912377986955107e-06,9.088917840571753e-09,4.7388220991706476e-06
1840,1.6236336932706763e-06,2.7389661538812504e-08,5.2473496907623485e-06
1841,1.6918145320232725e-06,1.1556986923011436e-08,5.390050318965223e-06
1842,1.969546701729996e-06,2.4820580257767233e-08,5.45717375644017e-06
1843,1.6822882571432274e-06,1.7130042329061013e-08,5.808265541418223e-06
1844,1.8803810917233932e-06,1.4270258918980261e-08,6.155970368126873e-06
1845,1.8007395965469186e-06,8.928364714222425e-09,5.685694304702338e-06
1846,1.7417141862097196e-06,1.2879902699935997e-08,5.6724261412455235e-06
1847,1.597472873982042e-06,1.7797638030003782e-08,5.500009592651622e-06
1848,1.8970632709169877e-06,1.5285920862417868e-08,7.140134130168008e-06
1849,1.9356448319740593e-06,1.5920888385423382e-08,7.316067240026314e-06
1850,1.911781282615266e-06,2.9192683825840504e-08,6.323271009023301e-06
1851,1.7794001223592204e-06,9.0292140431103e-09,5.747740033257287e-06
1852,1.6940439309109934e-06,2.6042182188490415e-08,5.497504389495589e-06
1853,1.8966856032420765e-06,2.8665273044126138e-08,5.704389423044631e-06
1854,1.9016132455362822e-06,1.7145692421394187e-08,5.9667008827091195e-06
1855,1.9518913632055046e-06,3.502578493908004e-08,5.819587386213243e-06
1856,1.6976003962554387e-06,1.6567005267642543e-08,5.657632300426485e-06
1857,1.8032294519798597e-06,1.854973458170761e-08,5.782635525974911e-06
1858,2.0734505596919917e-06,2.9851423111182385e-08,6.5355043261661194e-06
1859,2.1305652353476034e-06,3.157147498988877e-08,6.357069196383236e-06
1860,2.1329676656023366e-06,2.3343638411166268e-08,6.397987817763351e-06
1861,2.123598505932023e-06,2.7352589526685733e-08,7.060740699671442e-06
1862,2.0755628611368593e-06,3.2077703299160376e-08,6.339186711556977e-06
1863,2.1991315861669136e-06,3.246503504916731e-08,6.569924153154716e-06
1864,2.067486775558791e-06,3.068625931135216e-08,6.885229140607407e-06
1865,2.1086661945446394e-06,3.435996337453062e-08,7.17793773219455e-06
1866,2.0683719412772916e-06,3.113992219638817e-08,7.123743671400007e-06
1867,2.0964146187907318e-06,3.202855580752839e-08,6.577015483344439e-06
1868,2.201701818194124e-06,2.173544610961642e-08,6.6372149376547895e-06
1869,2.283045205331291e-06,2.344089111705472e-08,7.0649871304340195e-06
1870,2.3331845113716554e-06,2.121598097204469e-08,7.099898994056275e-06
1871,2.2389442619896727e-06,4.142259091288736e-08,8.151753718266264e-06
1872,2.3379013782687252e-06,3.0841430520567314e-08,8.253408850578126e-06
1873,2.081333832393284e-06,2.334541709947402e-08,6.759396455890965e-06
