year,meilleurs_ADJ airs_NOUN,meilleurs_ADJ pères_NOUN
1800,9.432493897065797e-09,3.144164484325529e-09
1801,4.7623651688866175e-09,4.0480102825313224e-08
1802,6.713520406265161e-09,1.5664880947952042e-08
1803,1.950339267864365e-08,5.851017448321727e-09
1804,0.0,1.730295728918918e-08
1805,0.0,2.842877711017877e-09
1806,8.645007376628655e-09,1.2391176706927354e-07
1807,8.540865792383556e-09,2.8469550272802735e-08
1808,1.5862518409903714e-08,2.2660739062985158e-08
1809,6.7770917766551975e-09,9.036122072814123e-09
1810,2.574139479349924e-08,2.106114038724627e-08
1811,0.0,1.0028307073639553e-08
1812,5.3344164641089264e-09,1.0668832928217853e-08
1813,3.163315653864629e-08,8.627225156487839e-09
1814,2.8320094713762956e-08,1.2586708564299443e-08
1815,5.394447111228828e-09,2.966945977789237e-08
1816,0.0,9.270415546325239e-09
1817,2.0239355080775567e-08,2.490997452753163e-08
1818,1.1921177378582115e-09,3.099506074022429e-08
1819,9.315945348475907e-09,1.6561680027393777e-08
1820,0.0,4.2719332071783356e-08
1821,1.0847637454958203e-08,8.875339574387908e-09
1822,8.02049271442229e-09,2.3058916553964082e-08
1823,4.941343334508019e-09,4.15072847204101e-08
1824,5.052667617633233e-09,1.8526447931321854e-08
1825,1.584979791857677e-08,1.4088708866211164e-08
1826,7.0463874735082754e-09,3.435113882233054e-08
1827,0.0,1.8434546333878643e-08
1828,9.172301140836225e-09,1.1006761724274838e-08
1829,2.571952872898464e-09,1.800366966620004e-08
1830,1.0436835840010872e-09,1.2524203008013046e-08
1831,7.795603274018958e-09,2.9623292263636358e-08
1832,1.8941957335982806e-08,5.411987746839486e-09
1833,2.20088942626262e-08,1.1583628278799551e-08
1834,1.213489042584115e-08,1.9602515166639023e-08
1835,7.563087933704082e-10,6.806779140333674e-09
1836,6.72075017860152e-09,2.1506400216253496e-08
1837,2.0873671680021744e-09,1.948209416013924e-08
1838,8.837027110075724e-09,6.312161904276081e-09
1839,6.9914749545318955e-09,9.788065469251706e-09
1840,2.5478754661634184e-09,1.1465439264668476e-08
1841,0.0,1.2841097074556274e-09
1842,2.0124795163667386e-09,1.475818312002275e-08
1843,2.953455480181333e-09,1.7720733325177207e-08
1844,1.097712254427563e-09,6.037417232818143e-09
1845,3.9061593959388574e-09,1.6182660544927785e-08
1846,7.025401593807601e-09,7.025401593807601e-09
1847,2.1572894581822766e-09,4.853901280910122e-09
1848,0.0,1.045878850192139e-08
1849,6.703531951757213e-09,4.1897072478036534e-09
1850,6.788996032014438e-10,2.0366988096043315e-09
1851,9.674158363282004e-09,4.514607354622058e-09
1852,4.557382027314816e-09,1.2370036550635177e-08
1853,1.1943863675867306e-09,8.957897534855874e-09
1854,2.0782657816909023e-09,1.4028294081924741e-08
1855,1.1675261646360013e-08,7.960405667972736e-09
1856,9.318940286107136e-09,1.2942972915652717e-08
1857,5.369659827891837e-09,8.298565390418844e-09
1858,0.0,6.8511463169329545e-09
1859,6.619825576592575e-09,1.2730433596175317e-08
1860,9.154367819341758e-10,1.2816115280145368e-08
1861,4.715963730639317e-10,1.3676294763342867e-08
1862,0.0,1.536115412648087e-08
1863,1.9978483312144135e-09,6.493007020935693e-09
1864,9.589455896019672e-10,1.2466292331758666e-08
1865,9.41368871743009e-10,2.5416959203994338e-08
