year,ses_DET airs_NOUN,ses_DET paires_NOUN
1800,3.018397904952508e-07,0.0
1801,4.143257559263702e-07,0.0
1802,2.4616241489638924e-07,0.0
1803,4.21273259831878e-07,0.0
1804,7.464990119387949e-07,0.0
1805,3.098736751638853e-07,0.0
1806,5.503988118604752e-07,0.0
1807,2.4768510797912313e-07,0.0
1808,3.512414803452657e-07,0.0
1809,2.868968715930009e-07,0.0
1810,4.422839516848853e-07,0.0
1811,5.114436874009698e-07,0.0
1812,6.134579066952028e-07,0.0
1813,7.620715223310981e-07,0.0
1814,2.832009533548785e-07,0.0
1815,1.7531953111493692e-07,0.0
1816,3.569109896517375e-07,2.0858434979231788e-08
1817,3.3939841515007174e-07,1.401186100480345e-08
1818,3.6598014663269396e-07,0.0
1819,3.0949639295840825e-07,0.0
1820,3.548077778248171e-07,0.0
1821,2.504818059634317e-07,9.86148829262845e-10
1822,4.661911532366503e-07,0.0
1823,5.297120146963152e-07,4.941343334508019e-09
1824,2.5937027459121964e-07,5.052667617633233e-09
1825,3.2492083512636327e-07,0.0
1826,2.1051082210732375e-07,0.0
1827,2.2213627737244224e-07,1.8434546111834038e-09
1828,2.5315550056248526e-07,0.0
1829,2.9491725683783443e-07,8.57317605795771e-10
1830,4.039055490068222e-07,1.0436835840010872e-09
1831,2.8064169654840043e-07,3.1182412207897414e-09
1832,2.273034804822771e-07,2.705993873419743e-09
1833,2.8495726667188137e-07,0.0
1834,2.174945723520949e-07,7.467624740797874e-09
1835,2.8134687113379186e-07,1.4369867074037757e-08
1836,3.461186359743351e-07,6.720750067579218e-10
1837,2.1847777098571441e-07,9.74104708006962e-09
1838,2.3165634388533363e-07,6.312161904276081e-09
1839,2.929428202236295e-07,1.3982950353153e-09
1840,2.3695241679888568e-07,7.0066574764382494e-09
1841,3.017657759230019e-07,6.420548537278137e-09
1842,3.474881253850981e-07,6.708265054555795e-09
1843,3.904468250937043e-07,6.497602011990011e-09
1844,3.534633599144854e-07,1.097712254427563e-09
1845,2.812434836130251e-07,3.9061593959388574e-09
1846,2.8452876144058337e-07,1.1709002656346001e-09
1847,1.9361672976003774e-07,1.6179670936367074e-09
1848,2.856053598065955e-07,0.0
1849,3.0584863974780774e-07,8.379414939696517e-10
1850,2.0910107512150944e-07,1.3577992064028876e-09
1851,2.1154158513780885e-07,3.611685883697646e-08
1852,2.975319315368097e-07,5.208436348880241e-09
1853,3.3084501804836464e-07,5.971932059978258e-09
1854,3.205725054300501e-07,5.195664454227256e-10
1855,4.24554979616687e-07,4.2455496895854594e-09
1856,3.6861587382475136e-07,3.1063134287023786e-09
1857,3.6220798094177553e-07,4.393358121745905e-09
1858,3.9002598661852517e-07,1.5170396494568195e-08
1859,3.890420323671151e-07,5.601390462572908e-09
1860,3.972995692436143e-07,9.612086238064421e-09
1861,3.2634468283276874e-07,2.8295783494058924e-09
1862,3.117410560804501e-07,1.445755604123633e-08
1863,3.6310894024893514e-07,2.4973103585068657e-09
1864,3.605635559011944e-07,9.589455896019672e-10
1865,3.652511124663249e-07,1.4120533631256649e-09
1866,3.14805156165221e-07,1.4596839292835284e-09
1867,3.799751358002368e-07,2.91168689159349e-09
1868,3.5171902101893693e-07,3.457911734727759e-09
1869,3.731008497709354e-07,3.4184632902167778e-09
1870,3.635387013645186e-07,6.880858549607183e-09
1871,3.2500803737178785e-07,6.37270636261178e-09
1872,3.2837051566758646e-07,9.071008832961525e-09
1873,4.477531332369722e-07,1.0176207432266438e-08
1874,3.172517573091227e-07,5.974609251779839e-09
1875,3.341371748177835e-07,0.0
1876,3.766667333593432e-07,1.209202959984168e-09
1877,3.3892790440859244e-07,6.80329748092845e-09
1878,4.1971667208429153e-07,6.039088784604019e-09
1879,3.8366562193914433e-07,3.0546627449723474e-09
1880,3.529815550962212e-07,0.0
1881,4.0440544069042517e-07,4.183504653809678e-09
1882,3.4009017646496886e-07,7.986462158271479e-09
1883,3.444039791133946e-07,1.4534479397809719e-08
1884,4.152467312223962e-07,6.601696966868076e-10
1885,3.7706968569750643e-07,1.0313017106966527e-08
1886,3.9753338043624353e-07,5.162771099520569e-09
1887,3.6627267441247113e-07,3.264462256069578e-09
1888,3.734621962792062e-07,3.1703073499755874e-09
1889,3.35811327190072e-07,1.628935564212952e-08
1890,3.480379096032493e-07,7.865263995654459e-09
