year,faits_NOUN heureux_ADJ
1800,6.288328968651058e-09
1801,7.143547975374531e-09
1802,0.0
1803,1.5602713787643552e-08
1804,4.943701892301533e-09
1805,2.842877711017877e-09
1806,2.881669125542885e-09
1807,2.8469551160981155e-09
1808,4.5321479902327155e-09
1809,0.0
1810,0.0
1811,5.0141535368197765e-09
1812,6.401299401659344e-08
1813,0.0
1814,2.8320094713762956e-08
1815,5.394447111228828e-09
1816,0.0
1817,1.2454987263765815e-08
1818,1.0729059418679299e-08
1819,2.070210003424222e-09
1820,2.3732962262101864e-09
1821,1.4792232327920374e-08
1822,0.0
1823,1.680056804787e-08
1824,4.210556348027694e-09
1825,2.641632912414593e-09
1826,1.4092774947016551e-08
1827,3.6869092223668076e-09
1828,0.0
1829,1.714635211591542e-09
1830,1.2524203008013046e-08
1831,4.677361609140007e-09
1832,1.2176972319366541e-08
1833,1.7375443306377747e-08
1834,8.401078055442213e-09
1835,4.5378527602224494e-09
1836,1.6129799718100912e-08
1837,1.0436836284100082e-08
1838,9.468243078458727e-09
1839,2.23727205650448e-08
1840,1.0191501864653674e-08
1841,1.4767261191650505e-08
1842,1.7441490030023488e-08
1843,1.5357969118667825e-08
1844,1.0428266250528395e-08
1845,2.5669049108500985e-08
1846,1.9319854160926297e-08
1847,1.77976389181822e-08
1848,7.24069959545659e-09
1849,1.0893239199560867e-08
1850,1.3577992064028876e-08
1851,2.0638204034639784e-08
1852,1.6276363368206148e-08
1853,2.329053394589664e-08
1854,2.7017454939937124e-08
1855,1.6982198758341838e-08
1856,3.31340110903966e-08
1857,2.0990489346672803e-08
1858,2.202154192332273e-08
1859,2.800695320104296e-08
1860,3.3413442679375294e-08
1861,3.065376574795664e-08
1862,5.0601446588416366e-08
1863,3.446288232566985e-08
1864,3.7398876884253696e-08
1865,4.471502279557171e-08
1866,4.865612979187972e-08
1867,3.34843974769683e-08
1868,2.3711395513714706e-08
1869,3.1742874995188686e-08
1870,2.2362790730312554e-08
1871,2.973929724703339e-08
1872,4.656451224605007e-08
1873,3.7711828326791874e-08
1874,3.2860349108432274e-08
1875,1.8881038954532414e-08
1876,3.567148709748835e-08
1877,3.277952487223956e-08
1878,4.1065803202400275e-08
1879,2.6270098985037293e-08
1880,3.3372799634889816e-08
1881,4.113779539238749e-08
1882,2.1962771157291172e-08
1883,3.222862687835004e-08
1884,3.1027976632458376e-08
1885,1.740321664556177e-08
1886,2.968593371122097e-08
1887,3.0685946228459215e-08
1888,4.56524276160053e-08
1889,1.7542383545787743e-08
1890,1.7696843102044113e-08
1891,2.2309770031370135e-08
1892,2.570090096298827e-08
1893,1.3548516086814288e-08
1894,2.3315696040526745e-08
1895,2.7083764564395096e-08
1896,3.2433661090180976e-08
1897,1.1070755867592652e-08
1898,2.546259736391221e-08
1899,2.5426860617017155e-08
1900,1.9206897405865675e-08
1901,2.0678333711998675e-08
1902,6.38336894454028e-09
1903,1.0800440541913758e-08
1904,1.666133897515465e-08
1905,2.0643035725242953e-08
1906,1.2346042410626978e-08
1907,2.0571373937627868e-08
1908,1.620758460774141e-08
1909,1.925344328412848e-08
1910,1.7635697346918278e-08
1911,1.8089272302290738e-08
1912,1.4586379215586476e-08
1913,2.0151361468379037e-08
1914,1.0714789944188396e-08
1915,5.890381071793627e-09
1916,1.3184954461564757e-08
1917,3.5092558192673096e-08
1918,1.8378202071289707e-08
1919,1.5653341733923298e-08
1920,1.817335615328375e-08
1921,8.330022005509363e-09
1922,1.475587119159627e-08
1923,8.492758496458919e-09
1924,9.02413699321869e-09
1925,2.1996355847875293e-09
1926,6.687683296036084e-09
1927,5.574612327308159e-09
1928,2.2852082448565625e-09
1929,7.798284684668033e-09
1930,1.05036033204442e-08
1931,1.2545892325022123e-08
1932,1.2055489939655217e-08
1933,1.0323596200123575e-08
1934,1.7972370258689807e-08
1935,3.590485242455088e-09
1936,6.0623572828433225e-09
1937,3.777335333410292e-09
1938,9.075650453382877e-09
1939,1.2235240376412548e-08
1940,0.0
1941,2.9515025978810172e-09
1942,3.034211770724937e-09
1943,0.0
1944,0.0
1945,6.535512131478072e-09
1946,1.3921104269343232e-09
1947,3.5762612871081956e-09
1948,2.174377566888097e-09
1949,9.817008317369869e-10
1950,6.381216888229346e-09
1951,2.1322803522849654e-09
1952,1.0544803918932644e-09
1953,0.0
1954,0.0
1955,3.754243138587299e-09
1956,2.616342476002842e-09
1957,1.7670075402875796e-09
1958,3.3088973783179654e-09
1959,4.650448914844674e-09
1960,6.920833239831836e-09
1961,3.47407969059077e-09
1962,5.0735651235811474e-09
1963,4.526237162849611e-09
1964,3.041984220075733e-09
1965,2.188817349590977e-09
1966,4.431259803538978e-09
1967,3.944268467392931e-09
1968,5.838840522187638e-09
1969,3.1792304344691047e-09
1970,9.197450023812337e-10
1971,5.138397263237948e-09
1972,7.182205497002769e-09
1973,3.3079223804577396e-09
1974,1.1251143350321513e-09
1975,2.8557400888473694e-09
1976,3.9994687561772935e-09
1977,1.7630346071939584e-09
1978,2.970295565063452e-09
1979,2.925986564150662e-09
