year,changements_NOUN heureux_ADJ
1800,3.144164484325529e-09
1801,1.1905912700171939e-08
1802,2.2378401354217203e-09
1803,1.3652374342143503e-08
1804,2.4718509905596875e-08
1805,5.685755422035754e-09
1806,0.0
1807,8.540865792383556e-09
1808,2.039466551195801e-08
1809,2.9367397402779716e-08
1810,5.8503168531842675e-08
1811,1.504245972228091e-08
1812,7.20146218213813e-08
1813,5.751483289628823e-09
1814,1.5733386149463513e-08
1815,2.6972236000233352e-08
1816,5.3304887615013286e-08
1817,2.3353100786493997e-08
1818,3.5763530803478716e-08
1819,3.001804671498576e-08
1820,4.153268307049984e-08
1821,3.254291058851777e-08
1822,6.015369535816717e-09
1823,2.2730180404550993e-08
1824,6.736890156844311e-09
1825,2.8177417732422327e-08
1826,3.435113882233054e-08
1827,6.083400450052068e-08
1828,3.118582370120748e-08
1829,5.058173968564006e-08
1830,2.6092090266160994e-08
1831,7.795603274018958e-09
1832,1.8941957335982806e-08
1833,3.1275796175123105e-08
1834,1.4935249481595747e-08
1835,1.285724948729694e-08
1836,2.016225053580456e-08
1837,5.148839221646995e-08
1838,6.122797202579022e-08
1839,6.432156851587933e-08
1840,4.58617570586739e-08
1841,4.3017674755674307e-08
1842,6.641182181965632e-08
1843,4.548321541619771e-08
1844,4.335963410539989e-08
1845,6.528866691724033e-08
1846,7.845032001796426e-08
1847,5.3932236454556914e-08
1848,5.712107409294731e-08
1849,3.1841775438579134e-08
1850,3.055048125588655e-08
1851,5.159551008659946e-08
1852,3.450589147746541e-08
1853,4.240071760364117e-08
1854,3.792835201466005e-08
1855,5.1477289986223695e-08
1856,5.0736453260924463e-08
1857,4.637433548282388e-08
1858,4.3553715300959084e-08
1859,5.601390640208592e-08
1860,5.355305177090486e-08
1861,5.75347591791342e-08
1862,5.557123117228002e-08
1863,2.8968800691586694e-08
1864,4.8426752385921645e-08
1865,4.000817810378976e-08
1866,2.8707116683790446e-08
1867,2.523461972714358e-08
1868,2.8157282727647726e-08
1869,4.688178378842167e-08
1870,6.536815533308982e-08
1871,3.9298356568906456e-08
1872,3.265563108811875e-08
1873,7.183205141814142e-09
1874,4.421210775262807e-08
1875,4.005068987567029e-08
1876,4.111290152764013e-08
1877,2.3502300550148902e-08
1878,4.046189516770937e-08
1879,3.29903571127943e-08
1880,2.9522093214495726e-08
1881,6.205532088188193e-08
1882,2.5290463057103807e-08
1883,2.401348808689363e-08
1884,2.2445769687351458e-08
1885,3.4161868001092444e-08
1886,3.033127882190456e-08
1887,1.566941953967671e-08
1888,2.0924028731883482e-08
1889,2.318100555953606e-08
1890,1.3108772733971819e-08
1891,3.1871099537283953e-08
1892,3.13425623232888e-08
1893,2.0938616174248637e-08
1894,2.2685540557176864e-08
1895,4.213029924926559e-09
1896,1.9460195233023114e-08
1897,2.2141511735185304e-08
1898,1.9238406423482957e-08
1899,1.7688250864011934e-08
1900,1.1939421895590385e-08
1901,2.0119459875900247e-08
1902,2.0623192042990013e-08
1903,1.0800440541913758e-08
1904,1.1286712897629059e-08
1905,1.909480928929952e-08
1906,3.4980455865252225e-08
1907,2.0571373937627868e-08
1908,1.276961114626829e-08
1909,2.0903737407707013e-08
1910,1.7101282168141552e-08
1911,3.2454281040372734e-08
1912,1.9795800554334164e-08
1913,1.9090762748419365e-08
1914,1.5402511266415786e-08
1915,7.068456930880984e-09
1916,2.307367097387214e-08
1917,7.676496771580332e-09
1918,1.722956355365568e-08
1919,1.1970202606903513e-08
1920,2.953170330499688e-08
1921,1.741731914250977e-08
1922,1.549366501762961e-08
1923,3.503262746562541e-08
1924,1.804827398643738e-08
1925,1.4297631523163545e-08
1926,1.3375366592072169e-08
1927,1.7838759802657478e-08
1928,1.5996457491951332e-08
1929,1.7824650200282122e-08
1930,6.302162347537887e-09
1931,1.0264820993199919e-08
1932,1.6439305028370654e-08
1933,4.588264879146209e-09
1934,8.38710612072191e-09
1935,1.6755597798123745e-08
1936,1.8187071404440758e-08
1937,1.1332006444320086e-08
1938,9.075650453382877e-09
1939,7.647025235257843e-09
1940,1.2678914806940611e-08
1941,1.4757512545315876e-08
1942,2.1239483061208375e-08
1943,1.4516175816936538e-08
1944,2.5705489292704442e-08
1945,1.5249527862692958e-08
1946,9.744772988540262e-09
1947,8.344609447874518e-09
1948,1.195907639583993e-08
1949,1.3743811422273211e-08
1950,8.508289184305795e-09
1951,9.595261474260042e-09
1952,1.5817205323287453e-08
1953,1.8315507332999914e-08
1954,1.3681550115052232e-08
1955,1.407841132561316e-08
1956,1.1337483840634377e-08
1957,1.3252556385623393e-08
