year,serions_VERB assez_ADV,serions_VERB passés_ADJ
1800,6.288328791015374e-08,3.144164484325529e-09
1801,1.1905912700171939e-08,0.0
1802,1.3427040812530322e-08,0.0
1803,3.90067853572873e-08,3.900678446910888e-09
1804,3.213406074564773e-08,0.0
1805,2.55858996212055e-08,1.9900143755080535e-08
1806,2.881669125542885e-09,0.0
1807,3.131650672116848e-08,0.0
1808,2.2660739062985158e-08,2.2660739951163578e-09
1809,4.51806094758922e-08,0.0
1810,4.680253340438867e-08,4.680253518074551e-09
1811,4.512738271955641e-08,0.0
1812,4.800974906515876e-08,1.600324850414836e-08
1813,6.039057609541487e-08,2.8757416448144113e-09
1814,2.8320094713762956e-08,0.0
1815,5.664169577812572e-08,0.0
1816,2.5493642752394408e-08,0.0
1817,4.0478710161551135e-08,0.0
1818,6.437435473571895e-08,2.384235475716423e-09
1819,8.9019032145643e-08,0.0
1820,4.865257352548724e-08,0.0
1821,7.987805616949117e-08,0.0
1822,5.213320264374488e-08,0.0
1823,4.249555374258307e-08,0.0
1824,3.621078548121659e-08,8.421112696055388e-10
1825,4.842993561737785e-08,7.924898959288385e-09
1826,5.19671061738336e-08,0.0
1827,5.346018383534101e-08,0.0
1828,6.787502826455238e-08,0.0
1829,6.258418494553553e-08,0.0
1830,5.740259823028282e-08,0.0
1831,9.822459645647541e-08,0.0
1832,1.0147476814381662e-07,0.0
1833,6.950177322551099e-08,0.0
1834,4.667265329771908e-08,0.0
1835,6.277362984974388e-08,0.0
1836,5.2421849972006385e-08,4.704525213838906e-09
1837,5.4967337348443834e-08,0.0
1838,7.132742751991827e-08,1.8936485712828244e-09
1839,7.341049013120937e-08,1.3982950353153e-09
1840,6.942960339983983e-08,3.1848443882154243e-09
1841,6.035315891494974e-08,3.2102742686390684e-09
1842,7.982835370512475e-08,0.0
1843,8.624090241937665e-08,0.0
1844,6.641159444598088e-08,0.0
1845,7.700714377278928e-08,0.0
1846,7.669396495657566e-08,0.0
1847,6.47186837454683e-08,6.47186837454683e-09
1848,6.838438793010937e-08,0.0
1849,7.792856138166826e-08,2.513824481908955e-09
1850,9.844044512874461e-08,0.0
1851,9.738652551050109e-08,3.2247193804124663e-09
1852,8.398603768000612e-08,5.208436348880241e-09
1853,9.017617230711039e-08,0.0
1854,8.416976271519161e-08,0.0
1855,8.915654348129465e-08,3.1841622671890946e-09
1856,1.113095677851561e-07,5.177189232874468e-10
1857,6.882928005325084e-08,3.4170564155999728e-09
1858,1.0766087399360913e-07,5.872411001917044e-09
1859,6.823512421760825e-08,2.5460866748261424e-09
1860,9.154367575092692e-08,0.0
1861,6.838147470489275e-08,1.8863854922557266e-09
1862,8.403454643257646e-08,4.517986262886353e-10
1863,6.1433837572622e-08,6.99246927027275e-09
1864,6.520829742839851e-08,9.589455896019672e-10
1865,5.9306238142653456e-08,0.0
1866,5.887391552050758e-08,4.379051787850585e-09
1867,6.79393608038481e-08,4.85281148598915e-10
1868,9.484558205485882e-08,3.951899252285784e-09
1869,9.620532637200085e-08,0.0
1870,5.791389412479475e-08,2.8670243956696595e-09
1871,8.921789174110017e-08,3.18635318130589e-09
1872,6.410179764770874e-08,4.23313739617015e-09
1873,6.165584665041024e-08,8.380406590902112e-09
1874,1.057505798485181e-07,3.5847653734322193e-09
1875,1.1328624083262184e-07,6.293679799540541e-09
1876,6.469235813710839e-08,6.04601479992084e-10
1877,8.225805459005642e-08,0.0
1878,9.541760448428249e-08,6.039088673581716e-10
1879,8.430868803088742e-08,0.0
1880,4.8775632421893533e-08,6.417846254436199e-10
1881,8.645909588267386e-08,0.0
1882,9.517200538766701e-08,0.0
1883,8.404720830412771e-08,0.0
1884,1.023263038746336e-07,1.3203393933736152e-09
1885,9.861822292123179e-08,1.933690763067375e-09
1886,6.711602651421344e-08,0.0
1887,8.74875922818319e-08,0.0
1888,7.164894810784972e-08,1.268122939990235e-09
1889,7.016953418315097e-08,2.5060546970934183e-09
1890,1.1142456912693888e-07,5.898947996740844e-09
1891,8.477712754029199e-08,4.461953917456185e-09
1892,6.456567547274972e-08,1.2537024751679837e-09
1893,8.067525669730458e-08,6.158416554491453e-10
1894,7.120739553556632e-08,6.301539290376468e-09
1895,9.268666190109798e-08,4.814891596538473e-09
1896,6.132910357337096e-08,5.89702897624278e-10
