year,trois_DET âges_NOUN,trois_DET ages_NOUN,trois_DET pages_NOUN
1800,1.3834323908668011e-07,0.0,1.9493819536364754e-07
1801,1.166779455274991e-07,7.143547975374531e-09,1.2144031313887638e-07
1802,7.832440473976021e-08,0.0,1.3427040812530322e-07
1803,2.2038832980797451e-07,0.0,2.7694815685208596e-07
1804,6.921182738039988e-08,7.4155526164076946e-09,2.32353986717726e-07
1805,3.1271655132059095e-07,5.685755422035754e-09,1.1371510644231364e-07
1806,6.051504897186533e-08,0.0,1.3543845511776453e-07
1807,8.540865303885425e-08,0.0,2.44838133767189e-07
1808,1.0197332933614689e-07,2.2660739951163578e-09,1.5862517876996662e-07
1809,2.5978849693686357e-07,2.259030518203531e-09,2.575294786311133e-07
1810,8.89248181756841e-08,0.0,3.088967384101693e-07
1811,6.267691565753353e-08,0.0,1.5042460921321776e-07
1812,9.601949635396068e-08,0.0,2.9072570484345306e-07
1813,1.2365688917270745e-07,0.0,2.243078540686838e-07
1814,1.0069366851439554e-07,0.0,2.548808435420824e-07
1815,8.091670622434322e-08,0.0,1.75319534445606e-07
1816,1.0197456923322079e-07,0.0,2.0394914201915526e-07
1817,7.784366895524641e-08,0.0,2.6933908581217025e-07
1818,4.887682614196365e-08,0.0,2.0862060878812372e-07
1819,9.729986949480462e-08,0.0,3.2191765964029173e-07
1820,7.950542357804125e-08,0.0,3.773540928619923e-07
1821,1.1932401111636182e-07,9.86148829262845e-10,3.1556763646634067e-07
1822,5.3135764233047666e-08,1.0025615893027862e-09,2.446250277898798e-07
1823,9.289725966254991e-08,0.0,1.3440453550117581e-07
1824,9.263224054478769e-08,0.0,2.3915960678522197e-07
1825,5.8115923406987235e-08,0.0,5.089545993541833e-07
1826,5.9013494535520294e-08,0.0,2.6071633896229685e-07
1827,1.3365046402924463e-07,9.217273055917019e-10,2.7836165372718824e-07
1828,1.2749498523589864e-07,9.172301251858528e-10,2.2105245989223476e-07
