year,trois_DET arts_NOUN,trois_DET parts_NOUN
1800,3.144164395507687e-08,1.9179402688251912e-07
1801,3.095537337571841e-08,1.1191558257905854e-07
1802,5.594600338554301e-08,1.6336232988578558e-07
1803,9.751696339321825e-09,1.2287137352018362e-07
1804,7.4155526164076946e-09,2.2741028260497842e-07
1805,2.5585899399160894e-08,1.1371511021707192e-07
1806,5.76333825108577e-09,2.0171684411707247e-07
1807,2.2775641372874134e-08,2.1921554527182252e-07
1808,6.798221985349073e-09,3.8523257650524556e-07
1809,2.4849335478194234e-08,7.454800510231507e-08
1810,1.8721014072298203e-08,2.1763179347544792e-07
1811,3.5099073869560016e-08,1.42903374467096e-07
1812,2.6672082320544632e-09,8.535066342574282e-08
1813,1.4378708002027452e-08,2.5881675469463516e-07
1814,1.2586708564299443e-08,1.5733385794192145e-07
1815,1.3486118000116676e-08,1.2676951022250194e-07
1816,2.7811246638975717e-08,1.715026911597306e-07
1817,1.401186100480345e-08,1.5101672090622742e-07
1818,2.384235475716423e-09,1.5378319062619994e-07
1819,1.3456364911235141e-08,1.9045931765049318e-07
1820,3.085285271708926e-08,2.3258303283313353e-07
1821,9.86148829262845e-10,2.4555106470369736e-07
1822,9.023054303725075e-09,2.3760709666476032e-07
1823,5.929612356680991e-09,1.680056840314137e-07
1824,2.7789671008804362e-08,2.4589648628392524e-07
1825,1.0566531649658373e-08,1.6025906290906278e-07
1826,1.0569580766173203e-08,2.739283218033961e-07
1827,3.6869092223668076e-09,2.0831036451340879e-07
1828,2.7516903755575584e-09,1.8528048428834154e-07
1829,9.430493552731178e-09,2.511940522254008e-07
1830,1.4611570398059825e-08,2.0351829732589977e-07
1831,4.677361609140007e-09,2.7284611858746644e-07
1832,1.0823975493678972e-08,2.841293564870284e-07
1833,2.0850531967653296e-08,2.108220318319809e-07
1834,3.640467127752345e-08,1.6895500953850728e-07
1835,2.3445572594482655e-08,1.800014857167298e-07
1836,1.5457725766054864e-08,3.561997498624514e-07
1837,4.87052354003481e-09,2.678788093568585e-07
1838,1.5780404538645598e-08,2.474367559734958e-07
1839,8.38977065598101e-09,2.670743413091259e-07
1840,3.821813265858509e-08,2.560614729141264e-07
1841,8.346713542550788e-09,2.1187810794742745e-07
1842,1.0733224087289273e-08,2.2741018312899541e-07
1843,1.8311423488626133e-08,2.569506245553299e-07
1844,9.330554107123135e-09,2.810143344689209e-07
1845,1.3392547515422848e-08,2.790113843298414e-07
1846,4.27378594736183e-08,2.7340519892504744e-07
1847,1.88762818709165e-08,2.2813336642002469e-07
1848,1.126331028444838e-08,4.2559221924420854e-07
1849,4.1897072478036534e-09,2.899277673495959e-07
1850,7.467895635215882e-09,2.1113777393111377e-07
1851,9.674158363282004e-09,3.140876572160778e-07
1852,1.1718981340891332e-08,2.5130705871845294e-07
1853,1.0152284346531815e-08,2.2215586836793477e-07
1854,9.871762074453727e-09,2.493919060708727e-07
1855,1.3798036491152743e-08,2.3297454276871576e-07
1856,3.1063134287023786e-09,3.1114907983464946e-07
1857,1.0739319711294826e-08,2.1673899652796536e-07
1858,5.872411001917044e-09,3.2200387328762403e-07
1859,2.4442432078330967e-08,2.1336205646704798e-07
1860,1.0985241161165504e-08,2.2840148039549035e-07
1861,1.131831339762357e-08,1.9524090488776125e-07
1862,1.1746764450037972e-08,2.588806045089598e-07
1863,1.2986014041871385e-08,2.1776547054486173e-07
1864,1.1507347408290514e-08,2.459695437329046e-07
1865,1.8827376990770972e-08,2.795865468030456e-07
1866,6.325297008391573e-09,2.4814626087277247e-07
1867,1.747012134956094e-08,3.1446219317388113e-07
1868,2.321740755206747e-08,2.889826424823383e-07
1869,8.301982323821733e-09,2.53454631615746e-07
1870,2.1789386295267832e-08,2.2190769133345611e-07
1871,1.0621177271019633e-09,2.984550917517481e-07
1872,1.4513614199351821e-08,2.4854563207554747e-07
