year,couples_NOUN heureux_ADJ
1800,1.2576657937302116e-08
1801,3.809892135109294e-08
1802,1.3427040812530322e-08
1803,2.5354410126965377e-08
1804,1.2359254952798437e-08
1805,2.842877711017877e-09
1806,5.76333825108577e-09
1807,2.2775640928784924e-08
1808,1.8128591960930862e-08
1809,2.710836710662079e-08
1810,0.0
1811,0.0
1812,5.3344164641089264e-09
1813,1.4378708446116661e-08
1814,6.293354282149721e-09
1815,2.4275012222574333e-08
1816,4.6352077731626196e-09
1817,6.227493631882908e-09
1818,2.98029441125891e-08
1819,1.035105001712111e-09
1820,1.3053129244156025e-08
1821,1.0847637010868993e-08
1822,2.0051231786055723e-09
1823,5.929612023614084e-09
1824,1.0947446504872005e-08
1825,8.805443041381977e-09
1826,1.7615968683770689e-09
1827,3.6869091668556564e-09
1828,4.586150570418113e-09
1829,0.0
1830,1.2524203230057651e-08
1831,2.3386809822056875e-08
1832,9.470978779013706e-09
1833,6.950177322551099e-09
1834,4.667265685043276e-09
1835,9.832014313815307e-09
1836,1.8818100855355624e-08
1837,5.5663127440652715e-09
1838,1.2624323808552163e-09
1839,2.09744255297295e-09
1840,1.2102408852854296e-08
1841,1.2841097074556274e-09
1842,1.542900962547833e-08
1843,1.4767278067040479e-08
1844,1.2074834465636286e-08
1845,3.9061596734946136e-09
1846,3.5127007969038004e-09
1847,3.235934187273415e-09
1848,4.02261068899179e-09
1849,0.0
1850,5.431196825611551e-09
1851,1.6768540334055615e-08
1852,3.906327261660181e-09
1853,0.0
1854,1.0391328908454511e-09
1855,3.714855978387277e-09
1856,2.0708756931497874e-09
1857,1.2203773103180993e-08
1858,8.808616946964776e-09
1859,9.675129142294736e-09
1860,5.950338888283113e-09
1861,9.903524222920623e-09
1862,1.9879140111811466e-08
1863,3.496234635136375e-09
1864,5.274200631788517e-09
1865,1.1296426905005319e-08
1866,4.865612912574591e-09
1867,1.94112459439566e-09
1868,9.87974813071446e-10
1869,8.790334682373668e-09
1870,1.490852596930381e-08
1871,1.0621176826930423e-08
1872,3.0236697590169115e-09
1873,5.9860045809045914e-09
1874,1.0156835372754358e-08
1875,2.0597497041308088e-08
1876,4.232210137899983e-09
1877,4.9478527941460015e-09
1878,1.5701631050912823e-08
1879,6.720257683667796e-09
1880,1.3477476912271413e-08
1881,9.064259565150223e-09
1882,5.989846840748214e-09
1883,1.3902545781263598e-08
1884,1.386356363042296e-08
1885,3.86738152613475e-09
1886,3.2267319927115068e-09
1887,3.264462256069578e-09
1888,1.268122939990235e-08
1889,8.771191495338115e-09
1890,7.865263829121005e-09
1891,1.0198752398160593e-08
1892,5.641661360300532e-09
1893,1.2316833108982905e-09
1894,2.520615716150587e-09
1895,1.9259566386153892e-08
1896,4.127920172347643e-09
1897,6.409385022720926e-09
1898,3.96084842702038e-09
1899,1.2160672469008205e-08
1900,7.267474289029963e-09
1901,1.2295225282343836e-08
1902,1.2275710059572731e-08
1903,1.0800440986002968e-08
1904,9.674325340824907e-09
1905,2.0643036169332163e-09
1906,1.3374879870298173e-08
1907,1.4399961223432456e-08
