year,deux_DET airs_NOUN,deux_DET paires_NOUN
1800,1.131899196593622e-07,9.338168780459455e-07
1801,4.286128785224719e-08,9.048493794239221e-07
1802,3.1329761895904085e-08,9.354172050279885e-07
1803,9.166594594489652e-08,1.0668355372445149e-06
1804,6.921182338359699e-08,8.082952369647955e-07
1805,1.2224374312808095e-07,2.0468718773258843e-06
1806,4.8988376022407465e-08,5.878605122688896e-07
1807,6.547996633798903e-08,5.096049520147972e-07
1808,1.1556977064230978e-07,6.412989534965163e-07
1809,6.09938268780752e-08,6.731910673352104e-07
1810,3.97821557918121e-08,5.288686715232416e-07
1811,8.77476873384353e-08,7.295593142941925e-07
1812,5.3344166417446104e-08,7.20146228871954e-07
1813,1.5241430628698538e-07,4.773731205887088e-07
1814,8.81069599500961e-08,4.5312152252563465e-07
1815,5.664169400176888e-08,4.962891235749112e-07
1816,4.6352077731626196e-09,1.0197456958849216e-06
1817,3.42512151974006e-08,1.2205887784944025e-06
1818,6.079800130009971e-08,9.787286643359039e-07
1819,4.5544620519422097e-08,5.993258174186167e-07
1820,5.3399165977907614e-08,6.08750497121946e-07
1821,1.4792232327920374e-08,5.976061805412769e-07
1822,5.514088741165324e-08,8.090671883564937e-07
1823,1.680056804787e-08,1.0782011052867801e-06
1824,6.06320114115988e-08,7.183209156380599e-07
1825,3.78634048558979e-08,1.6712730683821064e-06
1826,2.9947145208097936e-08,1.0199645359421083e-06
1827,5.7147091836462494e-08,8.655019492209703e-07
1828,7.888178754633657e-08,1.4969196229230874e-06
1829,6.086954873474326e-08,1.0004895898418908e-06
1830,4.5922077696047836e-08,8.944368232732813e-07
1831,5.145097770054008e-08,6.064979132247572e-07
1832,2.8412935559885e-08,8.320931428329459e-07
1833,4.865123881536704e-08,9.614411737857154e-07
1834,4.853956059314157e-08,1.1481473585206459e-06
1835,4.0840674842002045e-08,1.2600104639659548e-06
1836,5.578222345148376e-08,9.476257822882417e-07
1837,6.88831186534955e-08,1.5244738946762482e-06
1838,4.229148320433751e-08,1.041506727972319e-06
1839,3.2859933885021064e-08,9.235739000246213e-07
1840,4.33138822586443e-08,1.2414523631321117e-06
1841,7.512042010660025e-08,8.410918681533985e-07
1842,3.8237111255057243e-08,6.996720500751508e-07
1843,6.143187425422525e-08,7.921168041491455e-07
1844,3.45779343491337e-08,1.1152756513865825e-06
1845,4.7431936656128215e-08,7.851380772194716e-07
1846,2.2832555401919308e-08,1.0075596712511015e-06
1847,1.941560512364049e-08,8.941964679820558e-07
1848,3.298541073615269e-08,7.369422849734519e-07
1849,3.686942506853086e-08,9.326288825661777e-07
1850,5.838536765168101e-08,8.133217050954045e-07
1851,3.353708155628965e-08,1.0673820689532931e-06
1852,6.445439737490233e-08,1.1328349174277719e-06
1853,4.598387448595531e-08,8.109883573581556e-07
1854,7.118060402211412e-08,8.468933323513284e-07
1855,6.156047405170284e-08,1.173363777695613e-06
1856,5.694908311593139e-08,8.24208537864024e-07
1857,7.175818117488575e-08,1.1461783273603032e-06
1858,8.172439253106845e-08,7.864137465674048e-07
1859,3.97189512391094e-08,1.0230176030745497e-06
1860,5.8130236957332215e-08,1.0266623462484858e-06
1861,5.847795042646098e-08,7.828499661854948e-07
1862,8.177555432808958e-08,7.9652095408278e-07
1863,2.2975256364077268e-08,7.471952550019978e-07
1864,7.096197229827794e-08,6.822897944402939e-07
1865,4.2832282387550435e-08,8.340528125927449e-07
1866,5.1088934416299026e-08,7.882292862859686e-07
1867,6.939520247328801e-08,1.0166640080910838e-06
1868,4.6434817546625595e-08,9.104187732589253e-07
1869,8.399653195212409e-08,8.36058493547398e-07
1870,4.587238944253613e-08,1.057932024650654e-06
1871,2.1242353653860846e-08,1.0992917971464067e-06
1872,5.019291648977742e-08,9.826926365974487e-07
1873,6.105724315030869e-08,1.161284842510213e-06
1874,4.779687134970345e-08,1.6143393466450107e-06
1875,5.893172794202428e-08,1.2284118326988391e-06
1876,6.287855258690911e-08,9.322954674928496e-07
1877,7.050690165044671e-08,1.4837373427667444e-06
1878,1.316521327510145e-07,1.3443011752656275e-06
1879,3.6655949942066e-08,1.021479224760924e-06
1880,5.005920211686998e-08,1.0936010141904262e-06
1881,9.41288524902717e-08,1.043784415344362e-06
1882,7.587138917131142e-08,8.878283672686393e-07
