year,rivages_NOUN heureux_ADJ
1800,6.288328968651058e-09
1801,4.7623651688866175e-09
1802,0.0
1803,5.851017448321727e-09
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,2.2660739951163578e-09
1809,1.129515236897305e-08
1810,1.1700633351097167e-08
1811,7.521229861140455e-09
1812,2.6672082320544632e-09
1813,0.0
1814,0.0
1815,1.8880564667256294e-08
1816,0.0
1817,4.670620334934483e-09
1818,1.1921177378582115e-09
1819,2.3807414706311647e-08
1820,0.0
1821,9.86148829262845e-10
1822,6.015369535816717e-09
1823,5.929612356680991e-09
1824,0.0
1825,5.283265824829186e-09
1826,8.807984341885344e-10
1827,1.8434546111834038e-09
1828,5.503380862137419e-09
1829,4.286587973467704e-09
1830,0.0
1831,1.091384405071949e-08
1832,2.705993873419743e-09
1833,1.50587169400751e-08
1834,9.334530925997342e-10
1835,3.781543966852041e-09
1836,6.720750067579218e-10
1837,0.0
1838,3.1560809521380406e-09
1839,0.0
1840,0.0
1841,0.0
1842,2.0124795163667386e-09
1843,1.0041748765843295e-08
1844,2.195424508855126e-09
1845,3.9061593959388574e-09
1846,1.7563503984519002e-09
1847,1.5101026207275936e-08
1848,4.02261068899179e-09
1849,2.513824481908955e-09
1850,0.0
1851,6.449438760824933e-10
1852,3.2552727180501506e-09
1853,0.0
1854,0.0
1855,1.3798036491152743e-08
1856,1.0872097000458325e-08
1857,4.393358121745905e-09
1858,5.3830437884982985e-09
1859,1.629495471888731e-08
1860,4.119465657481669e-09
1861,2.8295783494058924e-09
1862,4.517986262886353e-10
1863,4.994620828036034e-10
1864,5.753673537611803e-09
1865,2.3534221238463715e-09
1866,1.3623716377253459e-08
1867,6.79393608038481e-09
1868,4.939874287401835e-09
1869,7.325278605918584e-09
1870,5.160643912205387e-09
1871,5.3105884134652115e-09
1872,3.0236697590169115e-09
1873,2.9930022904522957e-09
1874,7.766991494406739e-09
1875,2.8607636259891933e-09
1876,7.859819461941697e-09
1877,1.6699003069220453e-08
1878,6.039088673581716e-10
1879,2.443730107160036e-09
1880,1.2193908105473383e-08
1881,2.7890030285249168e-09
1882,5.324308105514319e-09
1883,5.0554711528150165e-09
