year,plusieurs_DET airs_NOUN,plusieurs_DET pères_NOUN
1800,1.7292904752608251e-07,1.2891074741006037e-07
1801,1.5477686554632442e-07,1.4763332445433264e-07
1802,8.503792514602537e-08,1.7231369042747247e-07
1803,6.436119459607426e-08,1.1116933396060347e-07
1804,3.213406074564773e-08,1.2853624431485855e-07
1805,5.970043259750923e-08,2.98502156326208e-07
1806,7.492339904047185e-08,1.7866348489548045e-07
1807,1.5088861937684328e-07,1.2526602377604945e-07
1808,5.4385776326881796e-08,1.1783584508151534e-07
1809,9.26202483597649e-08,1.3328279879765148e-07
1810,1.7082924808065059e-07,1.8721014249933887e-07
1811,1.3287506828163487e-07,2.607359892436989e-07
1812,1.0135391326215881e-07,1.8670457802016927e-07
1813,3.3358602280486593e-07,2.444380449162509e-07
1814,1.0069366851439554e-07,3.4928116399157716e-07
1815,4.315557666778602e-08,3.803085224518554e-07
1816,3.476405652236281e-08,3.290997572236165e-07
1817,7.784366895524641e-08,2.849078359901114e-07
1818,9.65615398751396e-08,2.6584225842896103e-07
1819,5.796588153916815e-08,4.2853348247717804e-07
1820,1.008650931666466e-07,2.8479554714522237e-07
1821,7.001656587846128e-08,3.1359533281261065e-07
1822,7.719724237631453e-08,3.18814585398286e-07
1823,6.917880579493385e-08,3.004336868173141e-07
1824,7.747423769188799e-08,2.3410693650305348e-07
1825,9.509878795554982e-08,2.3246368918705684e-07
1826,5.6371100232155413e-08,2.413387729660599e-07
1827,5.438191230666689e-08,2.2213628181333434e-07
1828,7.979901983645732e-08,2.0179062509839696e-07
1829,4.2865879568143583e-08,3.326392246094656e-07
1830,1.565525344915386e-07,3.2354191681349675e-07
1831,8.886987146183856e-08,4.053713595908448e-07
1832,6.088486359523415e-08,3.003653201716361e-07
1833,7.29768601104297e-08,1.9228823555650365e-07
1834,4.480574888887645e-08,2.5949995663410164e-07
1835,8.168134968400409e-08,2.405061962917898e-07
1836,7.056787687531596e-08,2.997454480180295e-07
1837,1.0506415115685286e-07,1.8925463329821923e-07
1838,6.249040174211018e-08,2.9351552655043633e-07
1839,8.040196608494199e-08,2.7126923818343585e-07
1840,6.624476167615967e-08,3.127517160805837e-07
1841,6.741575875324202e-08,3.0947044749041197e-07
1842,4.494537408916699e-08,2.7906382982223477e-07
1843,4.961805233349992e-08,3.355125581805396e-07
1844,6.421616793872431e-08,3.9407869145691166e-07
1845,3.5713458523822794e-08,3.7275922082358193e-07
1846,4.156696142842975e-08,4.0220424679660027e-07
1847,2.9662729161827883e-08,2.906947553782402e-07
1848,4.505324158188273e-08,3.1939530842350905e-07
1849,5.195237151589538e-08,2.094853766010374e-07
1850,2.2403686905647646e-08,3.2315621112388726e-07
1851,2.3217978650791338e-08,3.824517236239444e-07
1852,3.841221940525941e-08,3.398504611062947e-07
1853,5.076142151061447e-08,3.194983477783353e-07
1854,4.0006614743237634e-08,2.8160501308605035e-07
1855,4.086341576226005e-08,2.966577810070703e-07
1856,5.539592551340178e-08,2.976883735072988e-07
1857,7.908045018822918e-08,2.6213703741007066e-07
1858,3.083015964744362e-08,2.3783265801213815e-07
1859,3.05530396538245e-08,2.8261562778908456e-07
1860,7.00309170653668e-08,2.979746742681755e-07
1861,8.630213921279051e-08,1.6930309865159643e-07
1862,8.674533980013166e-08,2.5481442600394644e-07
1863,6.992469181454908e-08,3.3763636642092365e-07
1864,4.650886165080692e-08,2.6275109288320664e-07
1865,6.730787305286867e-08,2.9841392557017343e-07
1866,3.60055367742973e-08,2.2868381055474174e-07
1867,5.5322049163919473e-08,2.0575920700593997e-07
1868,5.433861449688493e-08,2.791028892445979e-07
1869,4.737013536981749e-08,2.827557663565017e-07
1870,4.529898367522378e-08,2.1904066960232171e-07
1871,1.1683294554032386e-08,1.5082071502803274e-07
1872,2.9027227954614432e-08,1.8081544483905532e-07
1873,7.961385639632113e-08,1.5384031204490611e-07
1874,3.106796664376077e-08,1.4936523040631755e-07
1875,6.40811045893308e-08,1.8251671107805123e-07
1876,2.8416269337583344e-08,1.5840558975632746e-07
1877,4.391219254884504e-08,1.812151122493333e-07
