year,petites_ADJ îles_NOUN,petites_ADJ iles_NOUN,petites_ADJ piles_NOUN
1800,2.320393377885921e-06,6.917161954334006e-08,6.288328968651058e-09
1801,1.719213855722046e-06,7.38166616720548e-08,2.8574191901498125e-08
1802,1.7969856571653509e-06,2.2378401354217203e-08,2.2378401354217203e-08
1803,1.3671877923115971e-06,6.436119437402965e-08,0.0
1804,2.7486983071867144e-06,1.5572661271612276e-07,3.460591457837836e-08
1805,1.1968514854743262e-06,1.421438877713399e-08,8.528632911009026e-09
1806,8.904357855499256e-07,2.0171682990621775e-08,0.0
1807,1.577213083692186e-06,6.832692145408714e-08,8.540865792383556e-09
1808,1.9510896436258918e-06,4.305540457494317e-08,9.064295980465431e-09
1809,1.7959292790692416e-06,4.969867184456689e-08,1.8072244145628247e-08
1810,9.079691949409607e-07,5.8503168531842675e-08,2.8081521108447305e-08
1811,1.4365549532158184e-06,1.4290337713163126e-07,2.2563691004506836e-07
1812,9.92201421468053e-07,1.8670456736202823e-08,3.200649700829672e-08
1813,1.682308834460855e-06,9.489947405683097e-08,8.627225156487839e-09
1814,8.338694215126452e-07,2.8320094269673746e-08,3.4613449884091096e-08
1815,1.5697841035944293e-06,3.236668177919455e-08,3.506390555685357e-08
1816,1.7822374047682388e-06,2.7811246638975717e-08,1.1588019788177917e-07
1817,7.940054160826548e-07,4.5149327165816544e-08,6.227493631882908e-09
1818,6.723544174747076e-07,3.337929666002992e-08,1.1921177378582115e-09
1819,1.0495964488654863e-06,2.6912730821671005e-08,1.6561680027393777e-08
1820,1.7799721945266356e-06,3.9159386844289656e-08,1.1866481131050932e-09
1821,1.1863370446008048e-06,2.859831615964481e-08,2.9584463767662328e-09
1822,1.080761421690113e-06,8.421517350143404e-08,1.1028177482330648e-08
1823,8.963597224465047e-07,3.3601135762673096e-08,2.9648061783404955e-09
1824,1.0181124707742129e-06,4.463189817727198e-08,2.947389532437228e-08
1825,1.172004431282403e-06,2.7296873650328735e-08,1.2327619813845558e-08
1826,1.3555487612393335e-06,7.046387195952519e-08,8.807984341885344e-10
1827,9.72422299128084e-07,5.3460184445963677e-08,2.6730091917670507e-08
1828,1.1575443750189152e-06,6.695779797283308e-08,1.3758452155343548e-08
1829,1.2808325209334726e-06,1.0630738156436337e-07,4.4580517055692326e-08
1830,1.101086127164308e-06,8.453837097022188e-08,3.1310506187764986e-08
1831,1.200522888211708e-06,3.1182412651986624e-08,1.2940701310526492e-07
1832,1.239345237991074e-06,1.0959275442701255e-07,1.312406965325863e-07
1833,3.479721954136039e-06,2.3283093664172583e-07,3.01174338801502e-08
1834,1.7548918549437076e-06,5.6007187110296286e-08,2.333632664885954e-08
1835,1.455138090022956e-06,1.4899283229397042e-07,9.529490796467144e-08
1836,9.126778763857146e-07,5.712637474175608e-08,4.2340726480460944e-08
1837,9.664510116635938e-07,1.0575994258132937e-07,1.1132625488130543e-08
1838,8.616100899416779e-07,1.3318661395977927e-07,3.976661844262708e-08
1839,1.0263485137329553e-06,1.1046531156466699e-07,2.23727205650448e-08
1840,7.828347179383854e-07,1.0191502058942703e-07,2.4204817705708592e-08
1841,9.919747299136361e-07,7.897274478807503e-08,1.7977535904378783e-08
1842,8.848201673572476e-07,7.982835281694634e-08,2.2808102073668124e-08
