year,plusieurs_DET anneaux_NOUN,plusieurs_DET panneaux_NOUN
1800,2.200915076855381e-07,2.5153315874604232e-08
1801,2.1906879510424915e-07,7.143547753329926e-09
1802,2.4616241489638924e-07,2.0140561218795483e-08
1803,4.446773367305923e-07,5.851017448321727e-08
1804,1.6314216177981677e-07,1.2359254508709228e-08
1805,1.2224374379421477e-07,0.0
1806,1.5849180101668026e-07,0.0
1807,1.1672516109229036e-07,0.0
1808,1.0650547466184435e-07,1.1330369975581789e-08
1809,1.987946802728402e-07,2.0331274441787173e-08
1810,1.9657065308820165e-07,2.3401267590372754e-09
1811,1.3788921648938413e-07,4.011322740637979e-08
1812,1.0935553973467904e-07,4.267533171287141e-08
1813,7.189353823378042e-08,2.300593315851529e-08
1814,4.090680150170556e-08,3.776012391654149e-08
1815,1.1328339155625144e-07,2.4275012222574333e-08
1816,2.201723674488676e-07,0.0
1817,1.5724421587037796e-07,2.6466848268569265e-08
1818,1.3709353652302525e-07,1.1921177378582115e-09
1819,1.0247539705687814e-07,3.1053151161586356e-09
1820,5.814575754214957e-08,2.0173018810965004e-08
1821,7.790575695665325e-08,1.577838171229473e-08
1822,7.017931125119503e-08,3.0076847679083585e-09
1823,1.096978223813494e-07,6.917880934764753e-09
1824,9.094802067011187e-08,6.736890156844311e-09
1825,6.251864870243651e-08,0.0
1826,6.694067877788257e-08,3.5231937367541377e-09
1827,4.792982133405843e-08,4.608636583469661e-09
1828,1.008953110503974e-07,3.668920500743411e-09
1829,6.85854093518401e-08,6.001223296081548e-09
1830,1.6490200493990415e-07,2.0873671680021744e-09
1831,6.860130752350813e-08,9.354723218280014e-09
1832,1.0282776508052649e-07,3.111892965534935e-08
1833,7.876867158529421e-08,5.791814139399776e-09
1834,1.3255033870507305e-07,1.3068343518440884e-08
1835,1.1117739262545001e-07,1.9664028627630614e-08
1836,6.653542494738929e-08,2.0834325542562482e-08
1837,6.95789097449051e-08,1.1828414692161004e-08
1838,9.02639172295494e-08,2.1461350030449466e-08
1839,8.389769967642735e-08,2.866504900111977e-08
1840,1.5223555749344087e-07,1.6561189752906103e-08
1841,6.934192375851467e-08,2.5682194149112547e-08
1842,6.238686367510127e-08,2.5491406763222813e-08
1843,1.0159887153804448e-07,8.269675610961258e-09
1844,9.056126254458619e-08,1.701453922198226e-08
1845,7.86812153208416e-08,3.57134588568897e-08
1846,1.1299187652191733e-07,8.781752214304106e-09
1847,7.981971261727949e-08,2.1033573105455616e-08
1848,6.918890527174426e-08,1.930853255061038e-08
1849,1.1144621714365144e-07,4.692472543865733e-08
1850,5.091747024010829e-08,3.2587180953669304e-08
1851,5.804494862537979e-08,2.3217979094880548e-08
1852,9.89602870760109e-08,2.799534470909748e-08
1853,7.226037723739864e-08,1.4929829372789527e-08
1854,5.2995776489428437e-08,2.6497889216159365e-08
1855,5.3600064831016425e-08,1.8043586180738203e-08
1856,7.869327589560271e-08,2.4850508650864356e-08
1857,6.980558175939677e-08,1.0739319655783675e-08
1858,6.263905566461503e-08,1.517039538434517e-08
1859,7.587338046732839e-08,1.5276520048956854e-08
1860,5.446848758139389e-08,3.249800428761773e-08
1861,6.790987860938458e-08,2.122183700992153e-08
1862,6.641440131183174e-08,3.5240294682381545e-08
1863,3.5461807268433176e-08,3.446288410202669e-08
1864,8.82229951315594e-08,1.4863656971897399e-08
1865,7.90749825618775e-08,3.0594487832047434e-08
1866,8.417510333202927e-08,2.919367769749215e-08
1867,1.572310939224053e-07,2.038180824115443e-08
1868,1.0521931415041763e-07,4.1494942593089945e-08
1869,7.764795650899714e-08,4.395167341186834e-09
1870,9.002456780038415e-08,1.6628741050794815e-08
1871,9.45284810427438e-08,1.4869647957382881e-08
1872,8.042961452403574e-08,2.6003558306619823e-08
1873,1.1373408542736385e-07,1.0774808378855028e-08
1874,8.96191352239839e-08,2.3300975371398636e-08
1875,9.440519965764338e-08,2.0597497041308088e-08
1876,7.497058041039395e-08,3.325308006729699e-08
1877,8.349501912086055e-08,1.608052180301911e-08
1878,1.219895908177726e-07,5.3747887474031586e-08
1879,7.575563010231434e-08,1.588424503040642e-08
1880,1.0589446031161742e-07,1.9253539207397807e-08
1881,8.924809669075273e-08,3.5559789779426865e-08
1882,1.0582062248687407e-07,2.3293848627758962e-08
1883,1.2069937138647902e-07,4.0443770332743156e-08
