year,aux_ADP airs_NOUN,aux_ADP pères_NOUN
1800,1.5720823043352539e-07,1.3048282738736816e-06
1801,1.7620750725200196e-07,1.1596359286158986e-06
1802,2.0364345232337655e-07,1.7320882648164115e-06
1803,2.262393496987869e-07,2.4106191887085515e-06
1804,1.6808586700278738e-07,2.6770145495902398e-06
1805,1.478296409729296e-07,2.339688293773179e-06
1806,2.4494187300660997e-07,2.115145179004685e-06
1807,8.54086508184082e-08,3.157273297915708e-06
1808,7.931259204951857e-08,2.2932668315434057e-06
1809,1.3102376783535874e-07,2.1212297482975373e-06
1810,1.8721014161116045e-07,1.7691358493721054e-06
1811,1.1783261077980001e-07,1.7248687811388663e-06
1812,9.601949813031752e-08,1.7603574349323026e-06
1813,1.35159851311073e-07,1.4666282659447916e-06
1814,1.384537871018665e-07,1.1894439637671894e-06
1815,4.855002422310406e-08,1.8772675502987113e-06
1816,9.270415368689555e-08,1.4114207260718103e-06
1817,1.4945985393755024e-07,1.7779494214664737e-06
1818,1.1563542035020191e-07,1.4174280522638583e-06
1819,1.8528379808202544e-07,1.983261185500851e-06
1820,1.6257079860082513e-07,1.8262514771549831e-06
1821,1.3608853222102368e-07,1.7158989180643403e-06
1822,1.5639960793123464e-07,1.7615006413507217e-06
1823,9.388552868472289e-08,1.4754851349607634e-06
1824,1.2800091475639874e-07,1.2884302265092629e-06
1825,1.1799293964109836e-07,1.613157223800954e-06
1826,1.2595417842042878e-07,1.9104517718915304e-06
1827,6.267745611410191e-08,3.104377611862219e-06
1828,1.0823315454988602e-07,1.6574348364883917e-06
1829,9.51622528555518e-08,1.738640150961146e-06
1830,1.7533884189013804e-07,1.7022479710249172e-06
1831,1.309661297188569e-07,1.3548758488468593e-06
1832,3.125422969318947e-07,1.16087133505971e-06
1833,1.3089500561225265e-07,1.185005203296896e-06
1834,1.1388127951761362e-07,1.4897910745048648e-06
1835,1.459675971204888e-07,1.5806853639332985e-06
1836,1.196293524241554e-07,2.228600692433247e-06
1837,1.0715152298779174e-07,1.3574845070252195e-06
1838,1.205622943700746e-07,1.4789395095249347e-06
