year,quelques_DET airs_NOUN,quelques_DET pairs_NOUN
1800,3.4585809238762977e-07,9.432493897065797e-09
1801,2.809795489611133e-07,1.1905912922216544e-08
1802,2.0140561218795483e-07,1.7902721083373763e-08
1803,1.8918289867997373e-07,3.90067853572873e-08
1804,4.202146612897195e-07,9.887403562558461e-09
1805,3.041879172993589e-07,5.401467717547348e-08
1806,3.429186392622796e-07,1.729001475325731e-08
1807,1.992868590150465e-07,1.9928686256776018e-08
1808,1.450287356874469e-07,4.305540546312159e-08
1809,1.8524050737767084e-07,6.7770915546105925e-09
1810,2.948559623128233e-07,1.8721014516387413e-08
1811,1.5293167621166504e-07,0.0
1812,5.521121124729689e-07,0.0
1813,5.665210984773239e-07,3.738464116054274e-08
1814,2.6117418938653714e-07,1.8880061958270744e-08
1815,1.8071397800412115e-07,1.240722815598616e-07
1816,1.2515060632267705e-07,2.5493642752394408e-08
1817,2.6933909857973504e-07,4.826307531402563e-08
1818,2.0266001610202977e-07,4.4108355412575406e-08
1819,1.9977527188075328e-07,7.452756123349502e-08
1820,2.254631459308598e-07,8.069207257932476e-08
1821,2.1004970562898961e-07,9.368413600441272e-08
1822,1.9148926355683216e-07,3.709477880420309e-08
1823,1.8381797417532653e-07,7.313188632451784e-08
1824,1.1957980028398651e-07,4.884245452529967e-08
1825,2.932212508355292e-07,4.842993517328864e-08
1826,1.1186140369545683e-07,6.077509240309809e-08
1827,1.4931982822430356e-07,8.572063953105058e-08
1828,1.6051527040872315e-07,1.2290883688592658e-07
1829,1.8603791507310063e-07,1.3459886272215726e-07
1830,3.1832348135196753e-07,1.5237780726096162e-07
1831,1.38761739654214e-07,5.456921936541903e-08
1832,1.4882965615470312e-07,2.43539455269115e-07
1833,3.104412300558579e-07,1.4247863555638673e-07
1834,2.2962945855908856e-07,9.334531014815184e-08
1835,2.1101014624491654e-07,9.15133639978194e-08
1836,1.8885307717653177e-07,5.511014888881505e-08
1837,2.0456199401053254e-07,5.357576116082896e-08
1838,1.6979716122023092e-07,4.418513377402178e-08
1839,1.7059198764712846e-07,6.571986777004213e-08
1840,1.7389249640231697e-07,4.522478957991183e-08
1841,1.489567313939233e-07,1.4125206782011901e-08
1842,1.2678621041928295e-07,3.287050009959103e-08
1843,1.5417037246834298e-07,3.189731945241192e-08
1844,1.1306436009661525e-07,2.0856533056168303e-08
1845,6.807878349945895e-08,9.877003148694996e-08
1846,8.313391930414582e-08,3.4541556503953075e-08
1847,8.41342897572872e-08,3.128069714364301e-08
1848,7.642960653253539e-08,5.470750918945555e-08
1849,7.122502498901895e-08,4.7762663824002516e-08
1850,7.53578577317171e-08,8.622024783022653e-08
1851,6.90089914101577e-08,4.901573569249251e-08
1852,1.2109614822009007e-07,3.5156946243120046e-08
1853,1.260077588938202e-07,4.5983875596178336e-08
1854,1.1534374833033212e-07,2.857615372109379e-08
1855,9.127931832608738e-08,4.8823821430232783e-08
1856,9.991975602474668e-08,1.7084724746041502e-08
1857,1.0446429238308852e-07,4.686248633589685e-08
1858,1.3506546281405463e-07,3.8170673732906835e-08
1859,1.2934120241503422e-07,6.161529642056962e-08
1860,1.281611448078479e-07,3.249800525906288e-08
1861,1.4713807061639272e-07,4.4330057680230794e-08
1862,1.486417464668932e-07,4.789065521926261e-08
1863,1.378515337435715e-07,2.4973104473247076e-08
1864,1.3808816845539695e-07,2.4932585218628844e-08
1865,9.225414704383539e-08,2.2122168097382655e-08
1866,1.0363755720277368e-07,2.238181906477621e-08
1867,1.2374669466908017e-07,4.804283371129259e-08
1868,1.1015918943702019e-07,3.112120605663904e-08
