year,leurs_DET âges_NOUN,leurs_DET ages_NOUN,leurs_DET pages_NOUN
1800,8.174827570428533e-08,0.0,5.973912564627426e-08
1801,1.523956829618811e-07,0.0,7.381666233818862e-08
1802,1.2308120744819462e-07,0.0,5.370816325012129e-08
1803,1.014176405078615e-07,0.0,3.510610468993036e-08
1804,6.426812149129546e-08,0.0,2.2246657849223084e-08
1805,3.695740957709859e-08,0.0,2.55858996212055e-08
1806,9.50950811429152e-08,0.0,6.051504897186533e-08
1807,1.1957211620838848e-07,5.693910232196231e-09,5.97860605466849e-08
1808,4.078933102391602e-08,0.0,8.611080914988634e-08
1809,6.325285539787728e-08,2.259030518203531e-09,9.713831161661801e-08
1810,1.0062544930633521e-07,2.3401267590372754e-09,7.254392642153107e-08
1811,3.008492122091866e-08,0.0,4.262030373070047e-08
1812,4.5342538612658245e-08,0.0,7.468182872116813e-08
1813,1.3228410944421398e-07,5.751483289628823e-09,3.163315653864629e-08
1814,8.810695728556084e-08,0.0,3.776012391654149e-08
1815,4.315557688983063e-08,2.697223555614414e-09,4.315557688983063e-08
1816,7.184571870766376e-08,4.6352077731626196e-09,7.648093003354006e-08
1817,1.1987924608547473e-07,0.0,7.317304806520042e-08
1818,6.675859509641668e-08,0.0,7.391130196765516e-08
1819,5.6930774094965386e-08,3.1053151161586356e-09,1.0558071095179145e-07
1820,9.730514527461764e-08,0.0,7.831877724129299e-08
1821,8.776724769177235e-08,2.9584463767662328e-09,1.2228245871437338e-07
1822,8.622029668003961e-08,0.0,7.118187284049782e-08
1823,4.941343334508019e-08,0.0,1.383576204716519e-07
1824,6.652679118701599e-08,0.0,9.600068562320985e-08
1825,5.28326600246487e-08,8.805443041381977e-10,1.4705090323197112e-07
1826,4.051672597427114e-08,0.0,1.7439809596453415e-07
1827,5.1616730445402936e-08,0.0,6.267745494836774e-08
1828,6.145441955318631e-08,0.0,8.163348264034198e-08
1829,6.858540757548326e-08,6.001223296081548e-09,1.457439897656343e-07
1830,5.740259823028282e-08,1.0436835840010872e-09,1.0436835684579648e-07
1831,7.639690635663499e-08,0.0,1.3720261193839178e-07
1832,1.0418076623608385e-07,0.0,1.204167247026433e-07
1833,6.139323061038482e-08,1.1583628500844156e-09,1.320533606907759e-07
1834,2.8003592333902816e-08,1.8669061851994684e-09,1.6522119383743927e-07
1835,8.016873209726327e-08,1.5126175867408165e-09,1.8605197027454778e-07
1836,4.771732697861353e-08,4.704525213838906e-09,1.5928177710122782e-07
1837,3.409366655660051e-08,2.0873671680021744e-09,1.558567563897384e-07
1838,2.20925673311001e-08,6.312161904276081e-10,1.8873364027172101e-07
1839,4.544458864774725e-08,0.0,1.9086727309769458e-07
1840,6.051204193280313e-08,1.2739377330817092e-09,1.4140709081456038e-07
1841,5.585877183023058e-08,0.0,1.059390526414461e-07
1842,5.702025163145663e-08,4.695785538189057e-09,1.6435249161617094e-07
1843,7.738053264816358e-08,0.0,1.1164061897162014e-07
1844,4.335963410539989e-08,2.195424508855126e-09,1.2019949219288506e-07
1845,3.9061596290856926e-08,5.580227946389016e-10,1.1885885697893173e-07
1846,5.795956425913573e-08,2.9272506640865004e-09,1.4987523955234394e-07
1847,6.25613978399997e-08,5.393223645455691e-10,7.981971084092265e-08
1848,6.757986170669028e-08,0.0,1.214828446172156e-07
1849,6.619738002200393e-08,1.6758829879393033e-09,1.4245006085822354e-07
1850,3.59816780814981e-08,1.3577992064028876e-09,1.1269733590779651e-07
1851,6.642921590582773e-08,6.449438760824933e-10,1.3221350059211545e-07
1852,9.114763432904738e-08,4.557382027314816e-09,1.9726952782406215e-07
1853,5.315019468987714e-08,5.971931837933653e-10,1.1824424994699712e-07
1854,5.2995775989828076e-08,2.0782657816909023e-09,1.158633150533106e-07
1855,7.641989796525195e-08,5.306937111981824e-10,9.446348059327647e-08
1856,5.90199555894344e-08,3.6240323519898254e-09,1.2580570274423053e-07
1857,6.19951672220509e-08,1.464452725752352e-09,1.3180074015517462e-07
1858,8.5149962414377e-08,2.4468380099840203e-09,1.2870367788186954e-07
1859,6.314294864750991e-08,1.9350258062544867e-08,1.5174676026852296e-07
1860,8.05584373375634e-08,1.876645328025006e-08,1.180913482556889e-07
1861,1.0752397283653181e-07,2.3579819208308095e-09,9.809204382094094e-08
1862,3.56920929478477e-08,4.066187719864445e-09,1.1701584501366824e-07
1863,5.6439216855608265e-08,0.0,1.618257107205423e-07
1864,9.877139317548966e-08,1.4384183844029508e-09,1.539107654657812e-07
1865,6.495444893062086e-08,1.8827377989971694e-09,1.2002453786408296e-07
1866,6.568577193277747e-08,2.432806400776144e-09,1.172612720257149e-07
1867,6.163070587206221e-08,4.85281148598915e-10,1.0821769791391489e-07
1868,7.607405905218911e-08,1.975949626142892e-09,1.9808894469175442e-07
1869,8.008971619233307e-08,1.4650557433881772e-09,1.0401895766953828e-07
1870,4.9312818273250514e-08,1.7202146374017957e-09,1.261490769621787e-07
1871,2.973929724703339e-08,0.0,1.072738911034321e-07
1872,5.865918950576088e-08,1.2094678591978436e-09,9.191955863130374e-08
1873,4.0704829895599204e-08,1.7958012854535355e-09,8.260686135130868e-08
1874,6.094101401288299e-08,0.0,8.902167747404377e-08
1875,6.522540996201087e-08,5.721527140956084e-10,9.040013071448527e-08
1876,4.5949712923487596e-08,6.04601479992084e-10,1.0640985870224995e-07
