year,deux_DET iles_NOUN,deux_DET piles_NOUN
1800,3.45858084394024e-08,6.288328657788611e-08
1801,1.904946067554647e-08,7.143547975374531e-08
1802,1.5664880947952042e-08,1.2755688771903806e-07
1803,5.851017448321727e-09,1.8723256367536578e-07
1804,3.707776485839531e-08,2.125791809248767e-07
1805,1.421438877713399e-08,2.302730877090653e-07
1806,2.305335300434308e-08,2.0748018414451508e-07
1807,1.4234775580490577e-08,1.224190668835945e-07
1808,2.7192888385485503e-08,6.34500709750796e-08
1809,6.7770917766551975e-09,2.9367396514601296e-08
1810,5.616304044053777e-08,6.786367556799178e-08
1811,1.2535384286138651e-08,5.164577991934038e-07
1812,1.0668832484128643e-08,1.0935553973467904e-07
1813,2.0130191291656274e-08,1.0065095534805835e-07
1814,1.5733386149463513e-08,1.604805390797992e-07
1815,2.697223555614414e-09,9.170560133497929e-08
1816,1.3905623319487859e-08,4.6352079152711667e-07
1817,7.784366928831332e-09,3.425121486433369e-08
1818,8.34482416500748e-09,5.126106117359086e-08
1819,2.070209959015301e-08,6.728182455617571e-08
1820,1.5426425470366212e-08,1.3527788667033747e-07
1821,1.1833786284221048e-08,3.648750634965836e-08
1822,1.0025615893027862e-08,4.511527151862538e-08
1823,3.557767380701904e-08,6.028438837013539e-08
1824,2.189489389792243e-08,5.5579342017608724e-08
1825,1.937197424695114e-08,9.245715482109063e-08
1826,3.082794441944259e-08,3.8755132436563144e-08
1827,2.3964910667029216e-08,7.92685455053288e-08
1828,1.7427372100975447e-08,1.1648822706433748e-07
1829,4.115124341286247e-08,8.315980970508008e-08
1830,2.5048406682159907e-08,8.036363396968227e-08
1831,7.795603274018958e-09,9.042899762334855e-08
1832,2.841293600397421e-08,1.1635773322637988e-07
1833,7.529358647673234e-08,9.382738852536932e-08
1834,3.360431177767964e-08,1.1201436822538824e-07
1835,4.235329242874286e-08,1.0437061348511634e-07
1836,2.4194700021240578e-08,8.33373010600269e-08
1837,2.991893077730623e-08,1.078473077509301e-07
1838,2.335499993399992e-08,6.690891840577251e-08
1839,1.3283802724473048e-08,1.6919370615653406e-07
1840,4.1402977490889725e-08,1.0509986192452914e-07
1841,2.1829865026745665e-08,6.869986712843001e-08
1842,1.9453968658211807e-08,2.0326043648211112e-07
1843,4.0757687003178944e-08,3.0302453524200246e-07
1844,2.0307677539577185e-08,1.5313085910406699e-07
1845,2.4553003186156275e-08,7.477505636899195e-08
1846,3.21997570829069e-08,1.0011197337789213e-07
