year,seras_VERB heureux_ADJ
1800,4.7162465932615305e-08
1801,2.1430643926123594e-08
1802,4.475680270843441e-09
1803,2.7304748684287006e-08
1804,1.9774807569206132e-08
1805,3.980028751016107e-08
1806,2.881669125542885e-09
1807,0.0
1808,4.5321479902327155e-09
1809,6.7770917766551975e-09
1810,5.148278958699848e-08
1811,1.504245972228091e-08
1812,8.00162425207418e-09
1813,8.627225156487839e-09
1814,1.2586708564299443e-08
1815,1.0788894222457657e-08
1816,0.0
1817,1.2454987263765815e-08
1818,4.768470951432846e-09
1819,4.140420006848444e-09
1820,2.1359666035891678e-08
1821,1.676452932031225e-08
1822,9.023054303725075e-09
1823,3.360113609574e-08
1824,3.03160057057994e-08
1825,7.924898959288385e-09
1826,2.025836387531399e-08
1827,2.3043183361437514e-08
1828,9.172301140836225e-09
1829,1.5431716349212365e-08
1830,3.026682549034376e-08
1831,9.354723218280014e-09
1832,4.058990921151917e-09
1833,2.4325620628928846e-08
1834,3.733812548034621e-08
1835,1.2100940693926532e-08
1836,8.736974699274924e-09
1837,1.7394727436226276e-08
1838,1.1361890983607736e-08
1839,1.8177836125232716e-08
1840,2.5478754661634184e-09
1841,1.2841097074556274e-08
1842,7.379091560011375e-09
1843,2.0674189471492355e-08
1844,1.2623690537338916e-08
1845,2.7901139176833567e-09
1846,1.0538101946622191e-08
1847,7.011190739092399e-09
1848,1.528592186161859e-08
1849,2.1786478399121734e-08
1850,7.467895635215882e-09
1851,8.384270167027807e-09
1852,5.208436348880241e-09
1853,2.149895550473957e-08
1854,1.6626126253527218e-08
1855,1.2205955357558196e-08
1856,1.4496129630003907e-08
1857,1.3180074809326925e-08
1858,3.572383633354548e-08
1859,2.5460867192350634e-08
1860,9.612086238064421e-09
1861,1.9335450573976232e-08
1862,2.84633134839396e-08
1863,1.3485475847119233e-08
1864,1.6302074357099627e-08
1865,2.0710114512212385e-08
1866,1.1677471434268227e-08
1867,9.220341823379385e-09
1868,8.397785578040384e-09
1869,2.783605879130846e-08
1870,1.490852596930381e-08
1871,1.4869648623516696e-08
1872,2.116568786902917e-08
1873,7.781805422268917e-09
1874,2.7483201492373155e-08
1875,1.2015206607429718e-08
1876,1.6324239737741664e-08
1877,3.154256233983688e-08
1878,1.8117265909722846e-08
1879,1.8327975581655664e-08
1880,1.6686399817444908e-08
1881,1.2550513517339823e-08
1882,7.986462158271479e-09
1883,1.8326083761621703e-08
1884,9.242375753615306e-09
1885,7.090199094506033e-09
1886,1.2261581083805595e-08
1887,1.828098916689669e-08
1888,1.3315291091942072e-08
1889,1.4409814674820609e-08
1890,1.6385966361553983e-08
1891,1.784781566982474e-08
1892,2.570090096298827e-08
1893,1.847524977449666e-08
1894,1.0082462864602348e-08
1895,1.8657704714541978e-08
1896,1.3563166589847242e-08
1897,6.409385022720926e-09
1898,1.6975064909274806e-08
1899,1.492446166651007e-08
1900,9.34389543516545e-09
1901,1.0618603774048552e-08
1902,8.347482705062248e-09
1903,7.560307935250421e-09
1904,4.837162670412454e-09
1905,1.2901897328276846e-08
1906,1.1317205839134203e-08
1907,9.257117739025489e-09
1908,1.9154416719402434e-08
1909,1.3752458727367411e-08
1910,2.0307773240801907e-08
1911,1.3832972989291648e-08
1912,1.6670147928721235e-08
1913,2.333315407554437e-08
1914,2.1429579888376793e-08
1915,1.295883844676382e-08
1916,3.186363883855847e-08
1917,1.315970976634162e-08
1918,2.986458014220261e-08
1919,8.287063479883727e-09
1920,9.843901693784574e-09
1921,1.060184651180407e-08
1922,2.7298360905092522e-08
1923,1.2739137744688378e-08
1924,9.02413699321869e-09
1925,2.4195990988573612e-08
1926,1.4489979882625903e-08
1927,2.2298449309232637e-08
1928,1.2568645679778001e-08
1929,8.912325100141061e-09
1930,1.05036033204442e-08
1931,5.7026783295555106e-09
1932,6.575722188983946e-09
1933,9.176529758292418e-09
1934,1.7972370258689807e-08
1935,2.0346082152400413e-08
1936,1.8187071404440758e-08
1937,6.295559185076627e-09
1938,1.2965214679638848e-08
1939,1.3764645423464117e-08
1940,5.0715658339584024e-09
1941,2.6563522936839945e-08
1942,9.102635090130207e-09
1943,5.806470415592457e-09
1944,9.639558484764166e-09
1945,3.267756198965799e-08
1946,1.9489545977080525e-08
1947,3.457052599742383e-08
1948,1.522064252412747e-08
1949,9.817008539414473e-09
1950,3.296961992305114e-08
1951,1.8124383771578323e-08
1952,2.2144087452602434e-08
1953,1.6160740301529586e-08
1954,9.772536557761669e-09
1955,1.9709776921672528e-08
1956,2.0930739808022736e-08
1957,1.0602045463770082e-08
1958,1.0753916868111446e-08
1959,2.40273188012452e-08
1960,1.591791587429725e-08
1961,1.459113452284555e-08
1962,1.585489073363533e-08
1963,1.2932106940866106e-08
1964,1.764350798794112e-08
1965,1.1491291473930687e-08
1966,1.5509408868297214e-08
1967,9.860671390526932e-09
1968,2.2906220920049236e-08
1969,1.407944960618579e-08
1970,1.103694025061941e-08
1971,1.9012070140433934e-08
1972,1.539044092169206e-08
1973,9.923766697284009e-09
1974,7.313243344242437e-09
1975,6.282628195464213e-09
1976,1.199840671262109e-08
1977,1.057820764316375e-08
1978,1.0693064211864112e-08
1979,1.345953837272873e-08
1980,8.527726080842513e-09
1981,1.138598904049104e-08
1982,7.449002747961231e-09
1983,1.136756910824488e-08
1984,5.799008384599347e-09
1985,1.9851341903631692e-08
1986,1.7983456501724504e-08
1987,1.3443797186596385e-08
1988,1.4391728697660255e-08
1989,1.0427432250992297e-08
1990,7.083246433836621e-09
1991,9.37834432335194e-09
1992,7.162927584403178e-09
1993,9.970573700002205e-09
1994,1.1077346151466827e-08
1995,1.2471637056421514e-08
1996,1.2811421257197253e-08
1997,1.5823152565985765e-08
1998,1.4304387896402204e-08
1999,1.3253583119876566e-08
2000,1.5463109903635086e-08
2001,1.3143635513301888e-08
2002,1.0076809608960957e-08
2003,1.2084076850271686e-08
2004,2.026203915761471e-08
2005,1.3511249008502091e-08
2006,1.4824403926638752e-08
2007,1.4779574009082808e-08
2008,1.958422224390688e-08
2009,2.2410505451375684e-08
2010,3.448369056968659e-08
2011,2.7150200310188666e-08
2012,3.540422710557323e-08
2013,3.8489925913154366e-08
2014,4.222617988602906e-08
2015,3.7460125668076216e-08
2016,4.142680154473055e-08
2017,6.012311359882005e-08
2018,5.859929430584998e-08
2019,4.795856867190196e-08
