year,deux_DET âges_NOUN,deux_DET ages_NOUN,deux_DET pages_NOUN
1800,1.0690159513160324e-07,0.0,7.200136806773116e-07
1801,1.0000967165524344e-07,0.0,4.476623136628888e-07
1802,1.0070280609397742e-07,0.0,3.714814624800056e-07
1803,1.677291692203653e-07,3.900678446910888e-09,4.524786945125925e-07
1804,1.5819846055364906e-07,2.4718509461507665e-09,5.0178573118842e-07
1805,2.4164461365216994e-07,0.0,5.060322241234871e-07
1806,1.2679343797117326e-07,2.5935023018064385e-08,4.466587197882177e-07
1807,1.224190668835945e-07,2.8469551160981155e-09,6.51952735353234e-07
1808,1.0197332755979005e-07,2.2660739951163578e-09,6.345007435015759e-07
1809,1.6490922405409947e-07,2.259030518203531e-09,4.314748238698485e-07
1810,2.340126741273707e-07,9.360507036149102e-09,6.271539483293509e-07
1811,1.6045291317823285e-07,0.0,5.941771767936643e-07
1812,1.3069320203840107e-07,2.6672082320544632e-09,8.161657234495578e-07
1813,1.6679301495514665e-07,0.0,6.614205929622585e-07
1814,2.0138733702879108e-07,2.2026739099345605e-08,4.0277467405758216e-07
1815,1.1058616422587875e-07,2.697223555614414e-09,4.504363317892057e-07
1816,7.416332437060191e-08,0.0,5.376840945814365e-07
1817,9.029865566390072e-08,0.0,5.41791920660728e-07
1818,1.1325118265403944e-07,3.5763532135746345e-09,5.865219154799206e-07
1819,8.591371347677068e-08,1.035105001712111e-09,6.376246943773367e-07
1820,8.42520151422832e-08,1.1866481131050932e-09,6.063771795794537e-07
1821,1.203101618330038e-07,0.0,7.317224124392396e-07
1822,8.922798144794797e-08,1.0025615893027862e-09,6.837469754827907e-07
1823,1.6108778955192804e-07,1.9765373782121287e-09,6.759757713581394e-07
1824,8.589535305247864e-08,2.5263338088166165e-09,5.566355554265101e-07
1825,1.4088708999437927e-07,8.805443041381977e-10,8.303532723630269e-07
1826,8.896063974361823e-08,5.2847906051312066e-09,6.068700955097484e-07
1827,9.770309361556428e-08,0.0,5.382887451332863e-07
1828,1.403362119845042e-07,3.668920500743411e-09,5.85192793778333e-07
1829,1.4574398754518825e-07,0.0,7.021430921128058e-07
1830,1.586399023256746e-07,0.0,7.253600884382649e-07
1831,1.4967557149248023e-07,3.1182412207897414e-09,6.376803014518373e-07
1832,2.1242051673198148e-07,1.3529969367098715e-09,7.116763693915118e-07
1833,2.3514765246090974e-07,1.1583628500844156e-09,4.6913695861405813e-07
1834,1.9135788198454406e-07,8.401078055442213e-09,6.646186072600813e-07
1835,1.5428700095299064e-07,3.025235173481633e-09,5.778199110295645e-07
1836,1.411357573033456e-07,1.3441500135158435e-09,6.008350474928648e-07
1837,1.2524203940600387e-07,0.0,6.282975704152705e-07
1838,1.2813688954338431e-07,1.8936485712828244e-09,5.750379727942345e-07
1839,1.3493547612597467e-07,2.09744255297295e-09,6.390208184825497e-07
1840,1.2420892669950945e-07,1.910906599622564e-09,5.834635068424632e-07
1841,1.6436603900160662e-07,1.2841097074556274e-09,5.69502660141552e-07
1842,1.663649680239132e-07,6.708265054555795e-09,5.554443305300083e-07
1843,1.7957009390556777e-07,1.7720733214154905e-09,5.658821002896275e-07
1844,1.2568804663715127e-07,1.097712254427563e-09,5.81238623453828e-07
1845,1.5624638649569533e-07,1.6740683839167048e-09,5.144970138815097e-07
1846,1.2938448024080174e-07,2.3418005312692003e-09,5.473958495372244e-07
1847,1.4292043104546792e-07,5.393223645455691e-10,4.4871622151276824e-07
1848,1.7619036085658735e-07,4.022610855525244e-09,4.98803736093123e-07
1849,2.4132714004920786e-07,2.513824481908955e-09,5.915867120620533e-07
1850,1.690460056380516e-07,1.3577992064028876e-09,5.49229774549076e-07
1851,1.2060450194084638e-07,1.2898877521649865e-09,4.482359923230206e-07
1852,1.738315613675212e-07,5.859490892490271e-09,7.168110514044201e-07
1853,2.3768288670567017e-07,2.9859659189668264e-09,7.052851316302622e-07
1854,1.5742863013201713e-07,1.5586993362681767e-09,5.912666001250955e-07
1855,1.459407634740728e-07,1.5920811335945473e-09,7.519929710042561e-07
1856,1.5842199729831918e-07,2.588594560926083e-09,5.218606524692859e-07
1857,2.0502338271555232e-07,2.4407544874094356e-09,7.454064174794439e-07
1858,1.8498095322172503e-07,3.91494070495213e-09,7.477537202760232e-07
1859,1.3443337820717716e-07,4.073738679721828e-09,7.353098077089726e-07
1860,1.6111687370368166e-07,2.746310373558103e-09,8.463212921583363e-07
1861,2.2353668294172735e-07,6.130753016364565e-09,8.540610565432871e-07
1862,2.0240578013641652e-07,5.873382169507835e-09,7.635396563898666e-07
1863,2.0328106931088996e-07,1.4983862484108101e-09,6.483017784830736e-07
1864,2.1144750617096975e-07,4.794727948009836e-09,7.244833923891747e-07
1865,2.0568909508966726e-07,3.765475486972036e-09,7.201471596829379e-07
1866,2.2333162874588197e-07,1.1677471267734774e-08,7.006482789506663e-07
1867,1.848921122871161e-07,6.79393608038481e-09,7.08995756326658e-07
1868,1.6350983722546175e-07,1.975949626142892e-09,7.143058020631088e-07
1869,1.7287657827491643e-07,1.4650557433881772e-09,8.917305933664466e-07
1870,1.9151723407162535e-07,2.8670243956696595e-09,8.211157656035084e-07
1871,8.709365162395954e-08,8.496941816815706e-09,6.277115502939523e-07
1872,2.3282256056411654e-07,3.628403577593531e-09,6.591599728267283e-07
1873,1.9873534995440423e-07,1.1972008939764578e-09,6.249388881940376e-07
1874,1.899925767823163e-07,1.1949218281515073e-09,6.667664038673138e-07
1875,1.773673403704379e-07,3.4329162845736505e-09,7.643960380221415e-07
