year,aviez_VERB eu_VERB,aviez_VERB pu_VERB
1800,2.4524482000742864e-07,6.60274537267469e-08
1801,3.3336556271024165e-07,8.334139067756041e-08
1802,2.528759353026544e-07,7.832440473976021e-08
1803,1.969842600146876e-07,4.290746247193056e-08
1804,1.3100809326260787e-07,1.1123329102247226e-07
1805,2.6723051860244595e-07,2.55858996212055e-08
1806,2.305335300434308e-07,6.339671898558663e-08
1807,1.679703558465917e-07,1.1387820109121094e-07
1808,2.01680592226694e-07,8.157866204783204e-08
1809,2.191259653727684e-07,2.9367397402779716e-08
1810,3.603795164508483e-07,2.2933242860290193e-07
1811,1.3036799373367103e-07,7.270522672797597e-08
1812,2.453831484672264e-07,3.200649700829672e-08
1813,2.041776525629757e-07,5.463909147351842e-08
1814,2.0453401816666883e-07,1.0384034254684593e-07
1815,1.5643897199879575e-07,7.282503844407984e-08
1816,2.595716352971067e-07,1.367386346373678e-07
1817,2.880215674849751e-07,1.323342360137758e-07
1818,2.062363648747123e-07,1.263644833215949e-07
1819,2.4014437371988606e-07,6.728182455617571e-08
1820,5.767109882981458e-07,1.38837833674188e-07
1821,4.2404400346640614e-07,1.85395975904612e-07
1822,2.2958660395033803e-07,7.418955760840618e-08
1823,2.984571381148271e-07,8.499110748516614e-08
1824,2.0800148092803283e-07,6.231623217445303e-08
1825,2.2101662011664303e-07,6.868245350233337e-08
1826,2.01702846425178e-07,7.927185663447744e-08
1827,1.769716391208931e-07,7.742509211539073e-08
1828,2.568244212852733e-07,8.346793833879929e-08
1829,1.4660130887023115e-07,1.1402324417986165e-07
1830,2.327414421188223e-07,1.0019362406410437e-07
1831,2.5881402621052985e-07,1.4032085005055706e-07
1832,2.773643643649848e-07,1.0959275442701255e-07
1833,2.1545548634094303e-07,1.01935931695607e-07
1834,1.5121939611617563e-07,9.70791234067292e-08
1835,2.3294310835808574e-07,7.941242330389287e-08
1836,1.7272327568207402e-07,1.1156445367532797e-07
1837,3.179756049576099e-07,6.74915412446353e-08
1838,1.666410724965317e-07,7.258986300939796e-08
1839,1.922655741282142e-07,6.641901251214222e-08
1840,2.2357606610512448e-07,1.0701077002295278e-07
1841,1.9004824025614653e-07,8.282507479862034e-08
1842,2.2808100652582652e-07,9.39157089874243e-08
1843,2.0201635209105007e-07,9.864541539172933e-08
1844,2.1460274979290261e-07,1.0702694197561868e-07
1845,2.3771771395786345e-07,8.649353588907616e-08
