year,étais_VERB à_ADP,étais_VERB a_ADP,étais_VERB pas_ADV,etais_VERB à_ADP,etais_VERB pas_ADV
1800,9.432493186523061e-08,0.0,2.421006684016902e-07,0.0,0.0
1801,7.857902772911984e-08,0.0,2.7383600809116615e-07,7.143547975374531e-09,4.7623651688866175e-09
1802,8.727576528144709e-08,0.0,1.9021641151084623e-07,0.0,0.0
1803,7.606323038089613e-08,0.0,1.1897068930011301e-07,0.0,5.851017448321727e-09
1804,1.0628959046243835e-07,0.0,5.388635031522426e-07,0.0,4.943701892301533e-09
1805,6.822906328807221e-08,0.0,1.904728037516179e-07,2.842877711017877e-09,0.0
1806,7.492339904047185e-08,0.0,2.2765186713513685e-07,0.0,2.881669125542885e-09
1807,6.263301344233696e-08,0.0,2.1921555060089304e-07,0.0,0.0
1808,5.4385775882792586e-08,0.0,1.11037628869326e-07,0.0,0.0
1809,1.0843346842648316e-07,0.0,3.5466780445858603e-07,0.0,2.259030518203531e-09
1810,1.1700633706368535e-07,0.0,2.2933242860290193e-07,0.0,4.680253518074551e-09
1811,5.766276700569506e-08,0.0,1.3788921648938413e-07,5.0141535368197765e-09,0.0
1812,6.668020802180763e-08,0.0,2.3204711396829225e-07,0.0,8.00162425207418e-09
1813,9.777521370324394e-08,0.0,2.6169249167651287e-07,2.8757416448144113e-09,0.0
1814,5.034683425719777e-08,3.1466771410748606e-09,1.604805390797992e-07,0.0,0.0
1815,1.1867783911156948e-07,0.0,2.022917726662854e-07,2.697223555614414e-09,0.0
1816,8.57513455798653e-08,0.0,1.6454987417091615e-07,0.0,0.0
1817,7.161617787687646e-08,0.0,4.577207732836541e-07,4.670620334934483e-09,1.556873407970727e-09
1818,9.298518222067287e-08,0.0,5.436056653707055e-07,2.384235475716423e-09,2.384235475716423e-09
1819,9.212434548544479e-08,0.0,2.7844325245496293e-07,1.035105001712111e-09,1.035105001712111e-09
1820,1.2222476186707354e-07,0.0,3.844739921987639e-07,0.0,0.0
1821,2.406203236660076e-07,0.0,5.039220241087605e-07,9.86148829262845e-10,0.0
1822,1.664252238242625e-07,0.0,5.84493420774379e-07,0.0,1.0025615893027862e-09
1823,2.441023525534547e-07,9.882686891060644e-10,4.941343263453746e-07,1.4824030003524058e-08,2.9648061783404955e-09
1824,1.8021181347194215e-07,0.0,5.406354262049717e-07,1.6842225392110777e-09,1.6842225392110777e-09
1825,1.7434777532798762e-07,0.0,4.842993917009153e-07,0.0,2.641632912414593e-09
1826,1.3123896280831104e-07,0.0,2.527891638237634e-07,4.403992281964975e-09,0.0
1827,1.6683264902894734e-07,0.0,4.1109038306785806e-07,4.608636583469661e-09,9.217273055917019e-10
1828,2.2472137573004147e-07,0.0,4.503600052885304e-07,7.337841001486822e-09,5.503380862137419e-09
1829,2.357623429816158e-07,8.57317605795771e-10,6.146967166387185e-07,8.573175946935407e-09,1.714635211591542e-09
1830,2.870129947041278e-07,0.0,5.834191370013286e-07,7.305785310052215e-09,3.1310507520032616e-09
