year,des_DET yeux_NOUN,des_DET pieux_NOUN
1800,1.0602122330283237e-05,1.047006745302781e-06
1801,1.1441582699944775e-05,8.929434702764638e-07
1802,1.090947046122892e-05,1.0450713716636528e-06
1803,1.3311065231391694e-05,8.776526385645411e-07
1804,1.0984905742361661e-05,8.404293136976548e-07
1805,1.0530019238785826e-05,6.56704766788252e-07
1806,8.708404237722789e-06,9.106074685405474e-07
1807,7.980015013231423e-06,4.498189021262533e-07
1808,1.0709465982472466e-05,1.0559905128104674e-06
1809,7.599378562872516e-06,1.1995452222635095e-06
1810,1.1433859754106379e-05,9.805131608864315e-07
1811,7.714275000125781e-06,8.498990222705061e-07
1812,7.158786687000429e-06,8.241673326025989e-07
1813,9.10172251167296e-06,1.268202101556426e-06
1814,6.548235120362733e-06,5.034683567828324e-07
1815,6.613592255177991e-06,3.85702975336244e-07
1816,8.468524598015392e-06,6.00259397742775e-07
1817,1.1369846518505256e-05,6.289768634815118e-07
1818,9.409384986724945e-06,6.926203868218295e-07
1819,9.650284226836447e-06,5.134120986127755e-07
1820,9.022085947663072e-06,6.170569957220096e-07
1821,1.0320047039158453e-05,5.049082050234688e-07
1822,9.027064294286902e-06,6.717162790437214e-07
1823,8.342964719076917e-06,7.006825022415342e-07
1824,8.29816411851425e-06,8.286375017263481e-07
1825,8.9005417152066e-06,8.567696330175067e-07
1826,7.318554139601474e-06,7.416322898023964e-07
1827,6.5516374760932194e-06,7.539729489636215e-07
1828,7.668961146123365e-06,7.136050232947611e-07
1829,9.511081429991464e-06,5.735454502442394e-07
1830,9.024731738804803e-06,7.431026975979194e-07
1831,8.941556956187924e-06,8.481615942912413e-07
1832,1.0300365687498925e-05,8.104451527657375e-07
1833,9.116315631274574e-06,9.41749004113035e-07
1834,8.919143880348201e-06,6.338146416595691e-07
1835,1.071008853159583e-05,7.714349905540985e-07
1836,8.775955805617741e-06,6.34438780622304e-07
1837,8.410002401149086e-06,7.890248392428134e-07
1838,7.925550661980196e-06,6.204854958724582e-07
1839,7.313082996063258e-06,9.144849659747933e-07
1840,7.73216533644927e-06,8.987630693013671e-07
1841,8.010918833178948e-06,7.165331918912443e-07
1842,8.077422386065791e-06,5.480652554012977e-07
1843,8.383087788388366e-06,5.80649380577114e-07
1844,7.862912944744949e-06,6.756418793329999e-07
1845,8.35583313829602e-06,5.959683617717815e-07
1846,7.889526372650835e-06,6.164790171681034e-07
1847,6.610474081014672e-06,5.414796504510377e-07
1848,6.909236233809679e-06,5.67992655575722e-07
1849,7.121664566511754e-06,6.091834805488361e-07
1850,7.33686792386834e-06,6.042206397438576e-07
1851,6.66871976306993e-06,5.353034140398449e-07
1852,7.478012506112464e-06,5.573026733429742e-07
1853,8.465213099384528e-06,6.891609363179896e-07
1854,8.018988957303463e-06,5.180077460309462e-07
1855,8.90769412364989e-06,5.333471584378913e-07
1856,8.179441664424303e-06,4.871735015399281e-07
1857,8.72765006931786e-06,5.931033346673331e-07
1858,9.040087860512358e-06,5.549428760964759e-07
1859,9.33395415358973e-06,5.407887826436308e-07
1860,9.603389365508974e-06,7.231950611696902e-07
1861,8.792913931188195e-06,5.663872535421888e-07
1862,8.384479215806095e-06,5.480317364359166e-07
1863,9.209081497374427e-06,4.834792877161931e-07
1864,8.835245338900677e-06,5.748878564304505e-07
1865,8.830981826690731e-06,5.525835446995586e-07
1866,8.87779745539774e-06,6.451802736506806e-07
1867,9.06553677282318e-06,5.27015323825708e-07
1868,8.191299386339779e-06,5.532658819973335e-07
1869,8.984210325024833e-06,5.030024894381313e-07
1870,8.133748352179282e-06,6.27878316450392e-07
1871,8.069970505175661e-06,5.57611808282843e-07
1872,8.63015821295221e-06,5.563551930265476e-07
1873,8.457027092845237e-06,4.824719637142039e-07
1874,8.333981874386609e-06,6.625841546537004e-07
1875,8.326538633696146e-06,5.401121496717565e-07
1876,8.824158669540338e-06,5.000053997505916e-07
1877,8.998907432555825e-06,7.050689982968095e-07
1878,7.89973223902507e-06,5.894150287844013e-07
1879,8.910450588928143e-06,5.626688679427616e-07
1880,8.535093812156447e-06,5.840240326904222e-07
1881,8.269393568127725e-06,5.905713633680421e-07
1882,9.256975374682952e-06,4.885052709013848e-07
1883,8.229674762105788e-06,5.327202867722036e-07
1884,8.912950931971864e-06,5.056899716748831e-07
1885,8.320026665842306e-06,6.368288190117255e-07
1886,8.24881779237785e-06,5.324107501536446e-07
1887,8.511106543096503e-06,5.784627479243909e-07
1888,8.268161820979003e-06,5.744596727197404e-07
1889,8.056965704383856e-06,4.698852444917634e-07
1890,7.762359771845695e-06,4.994442388550624e-07
1891,7.941003005385028e-06,5.080253515643562e-07
1892,7.870744099136573e-06,3.9867737489096555e-07
1893,7.72696547102214e-06,4.403267732655536e-07
1894,9.011200859276869e-06,5.104247033926868e-07
1895,8.467588543226157e-06,4.646370372896058e-07
1896,8.20217724850636e-06,3.6384667945199567e-07
1897,7.984928060977836e-06,4.3234215318932456e-07
1898,8.161611432910831e-06,3.93821497191027e-07
1899,8.71864924079091e-06,4.831103481706123e-07
1900,8.453629675386765e-06,4.4123952580576997e-07
1901,7.994132587896274e-06,4.269796649580826e-07
1902,7.4243491923198235e-06,4.654948995153063e-07
1903,7.939944296708745e-06,3.9853625910524215e-07
1904,7.487390178084752e-06,4.799540311850592e-07
1905,7.862416140369533e-06,3.509316197636281e-07
1906,8.249214261013549e-06,4.5577475660252276e-07
1907,7.760036396575742e-06,3.8468467655761174e-07
1908,8.377356138566938e-06,4.5430348194486214e-07
1909,9.004010252056105e-06,4.213753452830815e-07
1910,9.120327646883197e-06,4.7509500267217675e-07
1911,8.167838160488827e-06,4.538279156918179e-07
1912,8.427280477008026e-06,3.578872274090372e-07
1913,8.446602080880439e-06,4.364360597364225e-07
1914,8.213556412783873e-06,4.2591290405624704e-07
1915,8.043903903853789e-06,4.535593445265107e-07
1916,9.184419411667477e-06,3.9444989674564113e-07
1917,9.843462436265327e-06,4.145308452052632e-07
1918,9.65774535188757e-06,3.629694864670796e-07
1919,9.517231859490494e-06,3.452943149184762e-07
1920,9.26311066962171e-06,4.444900012501307e-07
1921,1.0362547470776917e-05,4.324038815894937e-07
1922,1.1274223396640082e-05,4.013596894836269e-07
1923,1.0738031221535493e-05,3.1423206303671236e-07
1924,1.0202431752759367e-05,3.081098141066718e-07
1925,1.135121965489816e-05,3.23346420749715e-07
1926,1.0446161070376547e-05,2.9983112526110745e-07
1927,1.283833216803032e-05,2.96569383717582e-07
1928,1.0495961106471441e-05,3.2335697275343023e-07
1929,1.051765781312497e-05,3.2418583728599515e-07
1930,9.208508771507695e-06,3.077555810193644e-07
1931,8.550596334089278e-06,3.638308880837826e-07
1932,8.789548132881464e-06,2.7070055885758393e-07
1933,8.264611778940889e-06,2.879136289379858e-07
1934,8.302036818008673e-06,3.894013467231616e-07
1935,8.929537131052712e-06,2.656959061653197e-07
1936,8.580660221468861e-06,3.613165029392462e-07
1937,8.5367779547596e-06,3.6010597082025697e-07
1938,9.057498800757458e-06,2.91717325850982e-07
1939,8.208316870650378e-06,4.2670400901556604e-07
1940,6.349600219834883e-06,4.817987604432972e-07
1941,9.769473393816952e-06,4.840464207234163e-07
1942,9.715546383404217e-06,3.489343640694642e-07
1943,1.0637453357276172e-05,3.832270474291022e-07
1944,1.0725614970397146e-05,4.980438426116507e-07
1945,1.2559076139950776e-05,2.5270648196240586e-07
1946,1.1352660578722862e-05,2.491877557631028e-07
1947,1.078838843682206e-05,2.396095060142045e-07
1948,1.1165428446702208e-05,2.9245377941578e-07
1949,9.994696398507585e-06,2.6505921990604975e-07
1950,1.0906562806667353e-05,2.669475867023152e-07
1951,1.0490819278174968e-05,3.9447185784524663e-07
1952,1.0525822830231846e-05,3.500875038753293e-07
1953,8.98644941571547e-06,4.2556617430022925e-07
1954,9.890783616128829e-06,3.576748275335717e-07
1955,9.04772610965665e-06,2.947080979254224e-07
1956,1.0580489174571994e-05,2.8605344182253134e-07
1957,9.061214228722747e-06,3.4456647601821544e-07
1958,9.229341571881378e-06,3.027641222175248e-07
1959,8.80252429169559e-06,2.6972603217600977e-07
1960,9.599196204135296e-06,2.636837637126632e-07
1961,9.462003362159521e-06,4.6622147653607726e-07
