year,ses_DET âges_NOUN,ses_DET ages_NOUN,ses_DET pages_NOUN
1800,1.4463157071986643e-07,3.144164484325529e-09,2.546773210099218e-07
1801,7.381665767525192e-08,0.0,5.262413651507813e-07
1802,2.2378401354217203e-08,2.2378401354217203e-09,2.394488944901241e-07
1803,1.8918289867997373e-07,3.900678446910888e-09,2.652461210672641e-07
1804,3.9549615138412264e-08,0.0,3.6089022614760324e-07
1805,1.1087222873129576e-07,0.0,5.74261307839663e-07
1806,3.7461699520235925e-08,0.0,5.331087757909359e-07
1807,4.27043254092041e-08,0.0,4.868293297377591e-07
1808,6.118399653587403e-08,0.0,2.9005747403942905e-07
1809,6.551188391767937e-08,0.0,6.506007901307953e-07
1810,1.8721014072298203e-08,0.0,5.265285318856172e-07
1811,7.521229861140455e-09,0.0,3.8358273357630424e-07
1812,1.600324850414836e-08,5.3344164641089264e-09,3.9207961322063056e-07
1813,3.738464116054274e-08,2.8757416448144113e-09,3.5371621232016537e-07
1814,4.090680150170556e-08,3.1466771410748606e-09,5.286417739114313e-07
1815,1.6183340889597275e-08,0.0,3.964918764420844e-07
1816,5.7940098940889584e-08,4.6352077731626196e-09,2.850652691677169e-07
1817,7.628679554727569e-08,3.113746815941454e-09,4.328107998663455e-07
1818,7.867976847819591e-08,1.1921177378582115e-09,4.816155840803304e-07
1819,9.522965882524659e-08,3.1053151161586356e-09,5.537811553768535e-07
1820,6.170570543417853e-08,8.306536791735653e-09,6.977490691895127e-07
1821,2.859831660373402e-08,1.97229765852569e-09,5.522433159654838e-07
1822,3.909990198280866e-08,2.0051231786055723e-09,6.115625836855543e-07
1823,2.2730180404550993e-08,0.0,5.445360585776271e-07
1824,4.7158231097910175e-08,8.421112696055388e-10,5.288459004049173e-07
1825,6.956300069305144e-08,7.924898959288385e-09,1.0672196579797344e-06
1826,2.8185549894033102e-08,5.284790383086602e-09,9.424543336855606e-07
1827,8.664236617050847e-08,9.217273055917019e-10,5.816099572508726e-07
1828,3.760643352279658e-08,0.0,6.448127622959987e-07
1829,7.801590129474789e-08,8.57317605795771e-10,6.584199456760587e-07
1830,6.262101237552997e-08,0.0,5.802880509442332e-07
1831,7.795603096383275e-08,0.0,7.109589894582768e-07
1832,6.088486514954639e-08,1.3529969367098715e-09,7.062643927469026e-07
1833,1.1467792404573629e-07,0.0,7.900034578733894e-07
1834,8.961149688957448e-08,9.334530925997342e-10,7.878344379097513e-07
1835,1.013453783116347e-07,1.5126175867408165e-09,7.646281900974827e-07
1836,1.0954822471376247e-07,6.720750067579218e-10,8.34717137188079e-07
1837,9.671468603755784e-08,6.957890930081589e-10,1.004023658879305e-06
1838,6.375283589932224e-08,6.312161904276081e-10,8.685534780283888e-07
1839,6.082583325905944e-08,1.3982950353153e-09,7.571767768332904e-07
1840,7.38883869644269e-08,1.910906599622564e-09,6.974809125814829e-07
1841,6.292137300079048e-08,0.0,6.568221020408771e-07
1842,5.2324466537356784e-08,0.0,7.922461326970165e-07
1843,7.029224491361674e-08,1.7720733769266417e-09,6.202256461751432e-07
1844,8.946354768113451e-08,1.2074834521147437e-08,9.182363181481357e-07
1845,6.138250796539069e-08,0.0,7.09804995224772e-07
1846,4.4494210982293225e-08,5.854501328173001e-10,6.539477972467012e-07
