year,petits_ADJ airs_NOUN,petits_ADJ pères_NOUN
1882,1.0448954412822786e-07,7.986461936226874e-09
1883,8.720687627583601e-08,9.479008356017005e-09
1884,8.978307874940583e-08,1.9805090900604227e-08
1885,8.894977576723306e-08,1.9336907353117994e-08
1886,5.872652208971374e-08,3.0976626153034204e-08
1887,7.96528805135921e-08,8.487601954598745e-09
1888,9.764546771151572e-08,4.438430289965822e-09
1889,1.0024218788373673e-07,2.8819629349641218e-08
1890,7.734175966334078e-08,1.6385966306042832e-08
1891,6.437962229988159e-08,1.4660706204594476e-08
1892,7.71027024448756e-08,1.3163875767219224e-08
1893,4.249307411496872e-08,7.390100087434348e-09
1894,7.62486271899121e-08,1.2603078580752936e-08
1895,7.342709884561316e-08,2.467631921021507e-08
1896,8.25584047792205e-08,3.774098544795379e-08
1897,5.943247960438214e-08,1.0488084289939081e-08
1898,7.41244515767292e-08,9.61920332276378e-09
1899,7.130576129554811e-08,1.9899282222013426e-08
1900,7.682758473848139e-08,3.0627213654099705e-08
1901,5.47696430430733e-08,1.676621691482083e-08
1902,4.4192555059829886e-08,2.4060391012881155e-08
1903,7.884321706619346e-08,2.376096919221027e-08
1904,7.309490346329994e-08,2.794805009642687e-08
1905,6.502556426646322e-08,2.7352022868853965e-08
1906,5.0413006547067596e-08,9.773950648828134e-09
1907,4.11427484858784e-08,1.2342823818567439e-08
1908,9.822777857770859e-08,1.9154417163491644e-08
1909,8.581534005625002e-08,8.801573692096554e-09
1910,1.0581418208310822e-07,1.0153886176311744e-08
1911,9.417061996863652e-08,2.0217421958790283e-08
1912,7.657848899444986e-08,9.376958098883392e-09
1913,1.1083248385723721e-07,1.696956736241262e-08
1914,9.24150601044893e-08,8.705766774141921e-09
1915,7.068457108516668e-08,4.712304657594757e-09
1916,7.031975557403314e-08,2.0876177453388323e-08
1917,7.2378403381812e-08,3.618920207948406e-08
1918,5.2837331843136326e-08,6.89182577673364e-09
1919,4.4197672688373046e-08,1.1970202828948118e-08
1920,9.768178621527568e-08,9.843901249695364e-09
1921,1.2797943083064922e-07,1.3630945538967154e-08
1922,1.0107771863943071e-07,2.877394889022611e-08
1923,9.766671915656389e-08,2.1231895797058087e-08
1924,9.797634858976778e-08,7.734974660777993e-09
1925,1.0008341710943114e-07,2.089653761139232e-08
1926,8.916910765321973e-08,3.901148382112751e-08
1927,1.0145794293592303e-07,5.574612549352764e-09
1928,8.683791696828536e-08,7.998228745975666e-09
1929,9.914961429657865e-08,1.3368487650211591e-08
1930,1.197410816056177e-07,1.7856126355297874e-08
1931,6.501053473328966e-08,3.193499864551086e-08
1932,9.315606286364186e-08,5.4797684168050864e-09
1933,7.914757071958434e-08,1.6058927299056336e-08
1934,5.511527056967225e-08,8.38710612072191e-09
1935,5.385727863682632e-08,8.377798899061872e-09
1936,8.244806171120445e-08,1.2124714121597435e-08
1937,4.029157785190307e-08,2.0145789036973838e-08
1938,3.759912092782258e-08,1.2965214679638848e-08
1939,6.576441791139587e-08,1.070583532936098e-08
1940,3.0429394115571995e-08,7.607348750937604e-09
1941,1.092055943452408e-07,0.0
1942,6.675266206457309e-08,1.517105863158008e-08
1943,7.548411717905879e-08,2.6129117092210663e-08
1944,1.0603513977969214e-07,2.2492303131116387e-08
1945,7.189063211399116e-08,1.5249528306782167e-08
1946,6.12528578969318e-08,4.1763312808029696e-09
1947,6.198852808836364e-08,1.1920871179071924e-08
1948,6.196975999017695e-08,6.523132700664291e-09
1949,8.049946620403148e-08,7.85360643185129e-09
1950,6.487570614055471e-08,2.4461331626923766e-08
1951,4.584402590879222e-08,1.8124382550332996e-08
1952,6.643226135860658e-08,2.1089607393776078e-08
1953,7.110726008008328e-08,1.8315506444821494e-08
1954,8.893008085486542e-08,1.07497895029951e-08
1955,6.945349717568661e-08,9.385607846468247e-09
1956,5.7559534027973314e-08,1.1337483840634377e-08
1957,6.096176169423373e-08,1.2369052782013057e-08
1958,6.700517257707261e-08,9.099467956907858e-09
1959,6.355613180186737e-08,3.487836597315663e-08
1960,6.297958421441763e-08,2.422291700554524e-08
1961,6.04489848177181e-08,1.7370397620286582e-08
1962,6.532215202081915e-08,3.170978191135987e-08
1963,5.884108655873632e-08,7.759263898066138e-09
1964,7.665800411116308e-08,1.8860302208878466e-08
1965,6.238129401925363e-08,1.7510539351839327e-08
1966,7.976267712983542e-08,1.883285472015217e-08
1967,7.642020460885135e-08,1.0353704726906443e-08
1968,1.0779397774385302e-07,1.033025637253715e-08
1969,5.041351092138768e-08,1.725867893043187e-08
1970,6.254266013416832e-08,3.495031042355379e-08
1971,9.557419544670154e-08,2.4150468069805697e-08
1972,1.205584509444968e-07,1.43644114936059e-08
1973,6.064524288307283e-08,1.433432950115332e-08
1974,5.400548674927563e-08,1.9689501307151858e-08
1975,4.9118729972263964e-08,1.8276736568623164e-08
1976,3.9994688449951354e-08,1.8854638961229853e-08
1977,4.7601932451346585e-08,1.7042667554978408e-08
1978,7.603957252744209e-08,2.970295731596906e-08
1979,5.7934536279447e-08,2.45782879604306e-08
1980,4.4344176552968406e-08,2.3877632482349753e-08
1981,6.705082677971319e-08,1.454876419337836e-08
1982,6.393727314257802e-08,2.296775836185816e-08
1983,3.6628833299801045e-08,2.2735137661378246e-08
1984,7.828661746644983e-08,2.2036231728250755e-08
1985,4.8726019219458294e-08,1.082800415996843e-08
1986,5.2751473411660754e-08,1.1389522658333817e-08
1987,7.944061980458272e-08,1.2221634038134255e-08
1988,3.537966714040053e-08,2.698449175220219e-08
1989,5.1039535819974446e-08,2.0306052173069133e-08
1990,7.791570688642224e-08,2.016000849591748e-08
1991,5.392547935967329e-08,1.4653662949726254e-08
1992,5.6752426758066576e-08,1.6529832780332043e-08
1993,5.0960709707670304e-08,1.606370148010683e-08
1994,5.380425294188029e-08,1.3714809066200928e-08
1995,6.994961387896126e-08,2.3858784337082994e-08
1996,7.526709899785544e-08,2.508903329534462e-08
1997,5.322332752299985e-08,1.2946214877906925e-08
1998,6.627699511430052e-08,1.9072516788121163e-08
1999,5.9412613412357373e-08,1.6909744438020624e-08
2000,6.052702983261327e-08,2.120655140380734e-08
2001,5.564139093916509e-08,1.3581756719283078e-08
2002,3.680225996172126e-08,1.664864129891086e-08
2003,5.208653752752923e-08,1.583430719875878e-08
2004,8.192911671311975e-08,2.8631143678126136e-08
2005,5.989986806564929e-08,1.756462331137243e-08
2006,7.082770669963878e-08,1.729513776638214e-08
2007,8.867744283325152e-08,1.8374605753601614e-08
2008,7.109924093917641e-08,1.915847844258245e-08
2009,6.198650326361133e-08,1.907277002999308e-08
2010,7.36911718313138e-08,2.267420695645228e-08
2011,6.615471703774745e-08,1.9502257253556365e-08
2012,6.638292970873039e-08,2.076594202149451e-08
2013,7.279616043298631e-08,1.561910029090896e-08
2014,8.726743945530746e-08,1.927246284783024e-08
2015,9.243119147850365e-08,1.6624315479774054e-08
2016,9.445310353295433e-08,2.029913256929028e-08
2017,5.484032605806988e-08,1.5596790192695664e-08
2018,7.047404254612033e-08,2.5298373063087354e-08
2019,8.443769278221325e-08,1.5816123688505712e-08
