year,nos_DET eaux_NOUN,nos_DET pots_NOUN
1800,1.6978488170948935e-07,3.772997558826319e-08
1801,2.5240534040626983e-07,1.4287095950749062e-08
1802,5.572221937200084e-07,2.2378401354217203e-09
1803,5.558466682487051e-07,2.3404069793286908e-08
1804,1.9033252907085796e-07,7.4155526164076946e-09
1805,2.4448747981686836e-07,2.842877711017877e-09
1806,1.123850950079941e-07,1.729001475325731e-08
1807,1.7366425675291453e-07,5.693910232196231e-09
1808,2.1074488509853495e-07,0.0
1809,3.4789070069152217e-07,6.7770917766551975e-09
1810,6.248138508802015e-07,9.360507036149102e-09
1811,2.0307322312618226e-07,2.757784400841956e-08
1812,5.521120840512594e-07,0.0
1813,2.5594099395398473e-07,0.0
1814,1.5733385794192145e-07,0.0
1815,2.0498898534171417e-07,2.697223555614414e-09
1816,2.0394914201915526e-07,1.8540831092650478e-08
1817,4.125714561098448e-07,2.80237220096069e-08
1818,9.393887872022333e-07,2.384235475716423e-09
1819,2.950049129424315e-07,6.210630232317271e-09
1820,2.7530235424677585e-07,1.542642635854463e-08
1821,4.4376696273218386e-07,9.86148829262845e-10
1822,3.258325307342602e-07,9.023054303725075e-09
1823,2.2137218458340158e-07,1.9765373782121287e-09
1824,2.206331588539001e-07,0.0
1825,1.6994505336320742e-07,6.163809906922779e-09
1826,1.8849086469430176e-07,0.0
1827,5.382887540150705e-07,6.452091305675367e-09
1828,4.797113555277122e-07,0.0
1829,9.199018062844289e-07,1.714635211591542e-09
1830,3.965997514843167e-07,3.026682549034376e-08
1831,3.710706950599274e-07,4.677361609140007e-09
1832,3.0983630083802893e-07,8.117981842303834e-09
1833,1.646033624069787e-06,9.266902800675325e-09
1834,4.060521003879103e-07,1.5868701908061666e-08
1835,4.250455489795968e-07,3.781543966852041e-09
1836,3.75017862097593e-07,1.5457725766054864e-08
1837,4.049492597912874e-07,8.349468672008697e-09
1838,2.670044372266034e-07,4.418513332993257e-09
1839,2.7126923396458835e-07,1.3982950353153e-09
1840,2.223021389191615e-07,1.9109065441114126e-09
1841,3.5698249689630757e-07,3.017657945747487e-08
1842,2.5223075894587055e-07,1.341653010911159e-08
1843,3.538239612410621e-07,1.7130041385371442e-08
1844,3.507190520779524e-07,1.756339523817374e-08
1845,3.1026068048056743e-07,1.562463758375543e-08
1846,3.2199757704631793e-07,1.0538101946622191e-08
1847,2.1518961723643315e-07,1.240441438454809e-08
1848,2.244616927882248e-07,3.218088684420195e-09
1849,4.7678869941059077e-07,2.011059585527164e-08
1850,2.0706437897644037e-07,8.82569484161877e-09
1851,3.3021126988330707e-07,1.2898877521649865e-08
1852,5.462347409945778e-07,1.2370036550635177e-08
1853,5.303075720775041e-07,1.7318601663873778e-08
1854,3.7720523471396206e-07,1.558699302961486e-08
1855,3.0886374702276953e-07,4.2455496895854594e-09
1856,2.7335559593666403e-07,2.3815070804289462e-08
1857,3.8075769914769353e-07,2.6848299583548396e-08
1858,3.2445070619058214e-07,4.404308473482388e-09
1859,2.7344970776610467e-07,7.638259802433822e-09
1860,3.7212506143191604e-07,1.0527522853465143e-08
1861,3.437937690087267e-07,1.0846716413936974e-08
1862,3.3930077683597126e-07,7.680577063240435e-09
1863,4.1255567762021883e-07,4.994620717013731e-09
1864,3.015883973667144e-07,7.1920918109924514e-09
1865,3.751355008851931e-07,1.4591217123438582e-08
1866,3.5129725728388905e-07,1.5083399418358567e-08
1867,4.682963172797372e-07,1.261730986357179e-08
1868,4.954693952896605e-07,1.6301584082611953e-08
1869,3.750542578728755e-07,9.278686263769487e-09
1870,6.748975378556565e-07,5.734048791339319e-09
1871,3.016414447110094e-07,1.1683295220166201e-08
1872,5.140238581446965e-07,1.6327815544059376e-08
1873,4.561335344988038e-07,2.454261860407314e-08
1874,4.098581971589965e-07,2.3898437007119355e-08
1875,5.321020166704216e-07,2.1169650921137873e-08
1876,3.845265357238503e-07,1.753344314181504e-08
1877,4.490176337412777e-07,9.27722432209066e-09
1878,3.2973425279081425e-07,3.6234530931267273e-09
1879,4.765273846629725e-07,5.498392852132383e-09
1880,3.5426511679759187e-07,2.0537108014195837e-08
1881,3.186436088320477e-07,1.4642266066289267e-08
1882,4.166271019290235e-07,6.655385131892899e-09
1883,3.791603362945928e-07,1.1374810426900694e-08
1884,3.307450313627669e-07,2.442627788923346e-08
1885,5.143617218816843e-07,1.8692343783932586e-08
1886,4.175391046246091e-07,7.098810428374236e-09
1887,4.119751542130956e-07,7.834709769838355e-09
