year,vos_DET heureux_ADJ
1800,1.8864987794131594e-08
1801,7.619784270218588e-08
1802,2.6854081625060644e-08
1803,3.900678358093046e-08
1804,4.449331569844617e-08
1805,4.264316522117895e-08
1806,2.5935023018064385e-08
1807,6.263301344233696e-08
1808,1.2236799662446174e-07
1809,5.6475763621222086e-08
1810,6.552355102940055e-08
1811,1.0028307073639553e-08
1812,8.00162469616339e-09
1813,7.189353823378042e-08
1814,2.2026739543434815e-08
1815,1.0788894222457657e-08
1816,1.622322720606917e-08
1817,2.4909973861397816e-08
1818,4.291623745267259e-08
1819,4.968504185853817e-08
1820,4.746592452420373e-08
1821,2.7612167663448872e-08
1822,2.105379337535851e-08
1823,3.5577674140085946e-08
1824,2.863178405476674e-08
1825,2.553578504205234e-08
1826,3.2589542175998076e-08
1827,3.226045630633223e-08
1828,2.2013522837927013e-08
1829,1.2002446148073886e-08
1830,2.6092090266160994e-08
1831,9.354723218280014e-09
1832,1.488296597074168e-08
1833,4.2859426230279496e-08
1834,2.0535968259238757e-08
1835,2.4201881387853064e-08
1836,1.4113575197427508e-08
1837,1.6698937344017395e-08
1838,1.2624323808552163e-08
1839,1.1186360393544703e-08
1840,3.184844299397582e-08
1841,1.4125206782011901e-08
1842,1.542900918138912e-08
1843,5.31621990873532e-09
1844,1.2074834465636286e-08
1845,4.464182468133515e-09
1846,1.0538101946622191e-08
1847,6.47186837454683e-09
1848,1.6090443422100975e-09
1849,1.927265347312357e-08
1850,2.2403686017469226e-08
1851,2.06382047007736e-08
1852,1.1718981340891332e-08
1853,8.957897534855874e-09
1854,2.234135720868835e-08
1855,1.751289246954002e-08
1856,1.3978411039783367e-08
1857,1.513267827712994e-08
1858,1.663849857891364e-08
1859,1.476730293603623e-08
1860,1.785101666484934e-08
1861,1.2733101961703852e-08
1862,1.536115412648087e-08
1863,1.0988165932701577e-08
1864,1.9178912680217763e-08
1865,6.1188974997961054e-09
1866,1.0217787504984699e-08
1867,9.220341823379385e-09
1868,4.445886658821507e-09
1869,1.3185501357426688e-08
1870,2.2936194721268066e-08
1871,4.248470908407853e-09
1872,6.652073447632745e-09
1873,5.38740402289406e-09
1874,6.572069888299836e-09
1875,1.3731665138294602e-08
1876,4.836811839936672e-09
1877,2.9068635831741574e-08
1878,1.0870359723469392e-08
1879,7.331190321480108e-09
1880,1.7328184442888528e-08
1881,1.2550513517339823e-08
1882,9.983077475794744e-09
1883,1.3902545781263598e-08
1884,1.2543224237049344e-08
1885,5.80107206715752e-09
1886,4.5174246565693466e-09
1887,8.48760173255414e-09
1888,1.0779045211961602e-08
1889,4.385595886446936e-09
1890,3.2771931834929546e-09
1891,5.099376032546843e-09
1892,3.1342561879199593e-09
1893,1.847525021858587e-09
1894,3.150769645188234e-09
1895,4.814891596538473e-09
1896,5.307326134129653e-09
1897,7.574727511894253e-09
1898,3.960848315998078e-09
1899,5.527578395003729e-09
