year,des_DET eaux_NOUN,des_DET peaux_NOUN
1800,1.2161627836348998e-05,2.0751484584025093e-06
1801,1.0810568916497232e-05,2.0906784046204052e-06
1802,1.0750584408469877e-05,2.640651302954211e-06
1803,1.2193521158110343e-05,2.0771113198314595e-06
1804,1.1934096463050992e-05,2.1060169053122024e-06
1805,1.0493061409988513e-05,1.2025373052892974e-06
1806,8.725694257805117e-06,1.4667695538150838e-06
1807,1.0451171831959982e-05,1.301058460967397e-06
1808,9.442730757314166e-06,1.54772848937057e-06
1809,1.143069447095968e-05,2.0850850814824184e-06
1810,9.154575806746834e-06,1.5912861499600695e-06
1811,1.0775416043884434e-05,1.7198546449215257e-06
1812,1.0788856940280311e-05,2.0590847702450787e-06
1813,9.303023773554742e-06,1.0180125258330008e-06
1814,7.325464238761015e-06,1.047843450674435e-06
1815,9.127404766218206e-06,8.927809811432041e-07
1816,8.081484850208653e-06,1.6988036790621663e-06
1817,7.968077664344264e-06,9.932852034211237e-07
1818,8.528410489816451e-06,1.1968862194677854e-06
1819,8.172153641794466e-06,1.2617929909808367e-06
1820,7.181594508409717e-06,1.7419994673417705e-06
1821,6.7215905588113856e-06,1.0374285626113533e-06
1822,8.149823329972605e-06,9.454155502908179e-07
1823,6.7113327801848754e-06,1.2452185202960209e-06
1824,7.527632703840936e-06,1.0854814265215396e-06
1825,7.487268231187727e-06,9.289742450846461e-07
1826,8.103345280119356e-06,1.4770990190982047e-06
1827,7.783987014065019e-06,1.1106813850858543e-06
1828,7.69739506267797e-06,8.374311247227872e-07
1829,8.64176151793572e-06,9.910591526329782e-07
1830,8.167867537878237e-06,1.3954049187248074e-06
1831,8.966502967666656e-06,1.1272441815535217e-06
1832,8.223515258976022e-06,1.1135164879050308e-06
1833,9.679280147167901e-06,1.6726759615171005e-06
1834,8.237723786663764e-06,1.362841530294645e-06
1835,8.491078808958719e-06,1.4702642516795095e-06
1836,6.8820482610476574e-06,1.141183405106716e-06
1837,7.70795137583491e-06,1.1668382957630286e-06
1838,7.458450674846517e-06,9.82172417174354e-07
1839,6.9446324175714835e-06,1.2472791688367124e-06
1840,7.442981001304361e-06,1.0331635393878713e-06
1841,7.3110786047436704e-06,1.2462284986192174e-06
1842,6.6042869377724855e-06,1.2048043549484078e-06
1843,7.415536231292208e-06,8.97850464420813e-07
1844,7.332169111862186e-06,9.440325507981129e-07
1845,7.733079932847886e-06,9.173895043623759e-07
1846,7.986125666548105e-06,9.671636469477107e-07
1847,6.925438384541849e-06,8.300171439046267e-07
1848,6.943831074579521e-06,1.2051741666851967e-06
1849,7.152668619170299e-06,8.136411988601822e-07
1850,6.721785084096155e-06,1.0068080875669239e-06
1851,7.5155312018182485e-06,1.0009528923493605e-06
1852,8.450037128682197e-06,9.166848158326246e-07
1853,7.715138671926525e-06,1.193789225695241e-06
1854,8.09380572519558e-06,1.0380937669474122e-06
1855,8.42688534419267e-06,9.133238840774993e-07
1856,7.945431899969435e-06,7.600113534067532e-07
1857,8.011532955265466e-06,1.0407377075694058e-06
1858,7.1614053993585e-06,8.192013849495083e-07
1859,8.112850899522073e-06,8.473376338358207e-07
1860,7.203114428477875e-06,9.685321336050379e-07
1861,7.572423086799063e-06,1.0035570587874076e-06
1862,7.998191151159517e-06,8.118821561708955e-07
1863,7.627784853525554e-06,8.385968177648806e-07
1864,7.602041137033666e-06,7.714717495943546e-07
1865,7.054618528457013e-06,8.924177024027813e-07
1866,7.208892000676315e-06,7.746055628032877e-07
1867,7.036091247414333e-06,9.142697088293517e-07
1868,7.288290028384381e-06,9.252384014502013e-07
1869,6.767580892130809e-06,7.730610800393833e-07
1870,7.1973782382883655e-06,7.557476298103438e-07
1871,6.624428294799145e-06,8.741229158282238e-07
1872,6.733107710488184e-06,8.804925775152128e-07
1873,8.112831608286797e-06,9.79310331494787e-07
1874,7.736521247636574e-06,8.370427431181326e-07
1875,7.623934770606411e-06,8.204669850186974e-07
1876,7.904559844007508e-06,1.0423329070974319e-06
1877,7.546712389228105e-06,8.819547412386441e-07
1878,7.1859116275163615e-06,9.167336338933296e-07
1879,7.152798069398614e-06,8.937943025699724e-07
1880,7.279762776590815e-06,8.632003307695868e-07
1881,7.238857200775328e-06,9.684812933841158e-07
1882,7.0413976160921266e-06,8.146191623481513e-07
1883,7.053014144275949e-06,9.921362007503376e-07
1884,6.847280161537128e-06,9.235773923421675e-07
1885,7.208154563898006e-06,8.559804154373296e-07
1886,6.695468691475526e-06,1.0299728288032384e-06
1887,7.375726312375264e-06,8.79446165669151e-07
1888,6.678569661744405e-06,8.077943220996531e-07
1889,6.352222271743813e-06,9.209751103966823e-07
1890,6.851300383914349e-06,9.222021919441659e-07
1891,6.857385699277074e-06,8.821920403079275e-07
1892,7.3040705999005695e-06,8.236825248530977e-07
1893,6.971327501048563e-06,6.638773037970225e-07
1894,7.339402820605301e-06,8.582696562342562e-07
1895,6.161255665659837e-06,7.944571134288481e-07
1896,6.510909507539964e-06,7.388977021349774e-07
1897,6.841144177371916e-06,7.621341584496122e-07
1898,6.608392482121417e-06,7.672729056551475e-07
1899,6.924950255893236e-06,7.605947658362311e-07
1900,6.856861965331973e-06,7.807343775922959e-07
1901,6.472318631267626e-06,7.438611477894597e-07
1902,6.062236636239504e-06,9.275526062779704e-07
1903,7.404242083453028e-06,7.463104179095126e-07
1904,6.919829928619947e-06,7.218121718111092e-07
1905,6.729629639323775e-06,7.059918480933902e-07
1906,6.96574034719788e-06,7.520797753457487e-07
1907,6.356554379749468e-06,6.721696088618501e-07
1908,6.3288159140029165e-06,8.270779290331376e-07
1909,6.2133607130476776e-06,7.987428247702155e-07
1910,7.122683996385604e-06,8.406348719347534e-07
1911,6.413179164610483e-06,7.331475582184055e-07
1912,6.157015072005834e-06,7.011880871488074e-07
1913,5.958439423636719e-06,9.365079876033633e-07
1914,5.755851248068211e-06,8.4914709486128e-07
1915,5.268356662924134e-06,6.997772361572174e-07
1916,4.6861523514962755e-06,7.39456203824318e-07
1917,4.420565666407583e-06,7.808094091288353e-07
1918,4.654279464944011e-06,6.708043809311448e-07
