year,deux_DET airs_NOUN,deux_DET pères_NOUN
1800,1.131899196593622e-07,5.973912653445268e-08
1801,4.286128785224719e-08,2.1430643926123594e-08
1802,3.1329761895904085e-08,8.280008501060365e-08
1803,9.166594594489652e-08,7.411289004721766e-08
1804,6.921182338359699e-08,5.932442159739537e-08
1805,1.2224374312808095e-07,1.9615855428867235e-07
1806,4.8988376022407465e-08,6.051505074822217e-08
1807,6.547996633798903e-08,1.3095993312006726e-07
1808,1.1556977064230978e-07,1.540930298915555e-07
1809,6.09938268780752e-08,7.680703717483084e-08
1810,3.97821557918121e-08,1.638088735766985e-07
1811,8.77476873384353e-08,1.2033968488367464e-07
1812,5.3344166417446104e-08,7.73490369532226e-08
1813,1.5241430628698538e-07,8.91479885467561e-08
1814,8.81069599500961e-08,6.608021774212602e-08
1815,5.664169400176888e-08,1.4025562578012796e-07
1816,4.6352077731626196e-09,4.1716869958463576e-08
1817,3.42512151974006e-08,1.3389110942174653e-07
1818,6.079800130009971e-08,1.382856602560878e-07
1819,4.5544620519422097e-08,1.5630085936635396e-07
1820,5.3399165977907614e-08,5.814575843032799e-08
1821,1.4792232327920374e-08,2.1300814445623928e-07
1822,5.514088741165324e-08,8.72228582693424e-08
1823,1.680056804787e-08,1.8875931484529929e-07
1824,6.06320114115988e-08,8.757956937444078e-08
1825,3.78634048558979e-08,1.4000654147139358e-07
1826,2.9947145208097936e-08,1.2155018014325947e-07
1827,5.7147091836462494e-08,1.3180700575432525e-07
1828,7.888178754633657e-08,1.3666729109518272e-07
1829,6.086954873474326e-08,2.1604403654951199e-07
1830,4.5922077696047836e-08,1.5550885379411739e-07
1831,5.145097770054008e-08,6.39239452482343e-08
1832,2.8412935559885e-08,1.5559465182946042e-07
1833,4.865123881536704e-08,1.2741992017062387e-07
1834,4.853956059314157e-08,1.5775357442571192e-07
1835,4.0840674842002045e-08,1.5277437626082246e-07
1836,5.578222345148376e-08,1.814602509919716e-07
1837,6.88831186534955e-08,1.468114965152978e-07
1838,4.229148320433751e-08,1.9315214672133152e-07
1839,3.2859933885021064e-08,9.228747377409974e-08
1840,4.33138822586443e-08,1.4777677970201353e-07
1841,7.512042010660025e-08,1.9133234552271006e-07
1842,3.8237111255057243e-08,2.0393125677031776e-07
1843,6.143187425422525e-08,1.872490789089909e-07
1844,3.45779343491337e-08,2.102118976665679e-07
1845,4.7431936656128215e-08,1.6238463196316388e-07
1846,2.2832555401919308e-08,1.9436944942441414e-07
1847,1.941560512364049e-08,1.8390892897457434e-07
1848,3.298541073615269e-08,9.815170654015049e-08
1849,3.686942506853086e-08,8.463209200115784e-08
1850,5.838536765168101e-08,1.2966982687601103e-07
1851,3.353708155628965e-08,1.3995281733514275e-07
1852,6.445439737490233e-08,1.3151301536673543e-07
1853,4.598387448595531e-08,1.6064496288770158e-07
1854,7.118060402211412e-08,1.662612678643427e-07
1855,6.156047405170284e-08,1.7937447793769934e-07
1856,5.694908311593139e-08,1.812016234836733e-07
1857,7.175818117488575e-08,1.8159213777124705e-07
1858,8.172439253106845e-08,1.5072522474568473e-07
1859,3.97189512391094e-08,1.7058780166223642e-07
1860,5.8130236957332215e-08,1.313651765144641e-07
1861,5.847795042646098e-08,1.3817773503177477e-07
1862,8.177555432808958e-08,1.5632232708284732e-07
1863,2.2975256364077268e-08,1.5183647583683069e-07
1864,7.096197229827794e-08,2.1624222856786446e-07
1865,4.2832282387550435e-08,2.3157674333695866e-07
1866,5.1088934416299026e-08,1.7418894104892502e-07
1867,6.939520247328801e-08,1.6305446948194913e-07
1868,4.6434817546625595e-08,1.7240160588016806e-07
1869,8.399653195212409e-08,2.7982563821637996e-07
1870,4.587238944253613e-08,1.96677872210671e-07
1871,2.1242353653860846e-08,2.1667200922337315e-07
1872,5.019291648977742e-08,1.705349701452974e-07
1873,6.105724315030869e-08,1.490515098012679e-07
1874,4.779687134970345e-08,1.2725917475364668e-07
1875,5.893172794202428e-08,1.9395976647018642e-07
1876,6.287855258690911e-08,1.9226327196975035e-07
1877,7.050690165044671e-08,2.152315885517453e-07
1878,1.316521327510145e-07,2.0049773796770864e-07
1879,3.6655949942066e-08,2.419292783883975e-07
1880,5.005920211686998e-08,1.6814756875760395e-07
1881,9.41288524902717e-08,1.4711991314086958e-07
1882,7.587138917131142e-08,1.61060321968165e-07
1883,7.140853064413477e-08,1.8642049859352028e-07
1884,4.291103117282091e-08,1.9541022577840295e-07
1885,4.318576085626802e-08,1.4115942503778456e-07
1886,4.9046325889534614e-08,1.7230748650121086e-07
1887,5.35371814103236e-08,1.7366939797369696e-07
1888,4.755461202599065e-08,1.6802628977075074e-07
1889,5.889228527067303e-08,1.8732758721995424e-07
1890,2.9494738484903138e-08,1.3829755496352902e-07
1891,4.653180718516836e-08,1.7401621210666463e-07
1892,2.820830502514582e-08,1.2662395310059082e-07
1893,5.4194064402768305e-08,1.7489902637279897e-07
1894,4.2850465620247746e-08,1.5564802069434336e-07
1895,6.43991759918805e-08,1.631044579397667e-07
1896,4.0099797649073565e-08,1.692447300083444e-07
1897,4.3700353113962365e-08,1.6139996272812596e-07
1898,4.413516951906615e-08,1.9408157880818067e-07
1899,4.5878900678530954e-08,1.7798802609547693e-07
1900,4.412395127051383e-08,1.713047543816515e-07
1901,3.5767929285057676e-08,1.5033707478906422e-07
1902,2.995273185035785e-08,1.335597161755686e-07
1903,4.6981915247101824e-08,1.69566916508046e-07
1904,4.568431410945095e-08,1.821997948070475e-07
1905,4.4898605056076235e-08,1.4450125318532514e-07
1906,3.9610220603503166e-08,1.7335901192350178e-07
1907,7.611407992769159e-08,1.583995725695786e-07
1908,6.041008471235898e-08,1.1099739416486898e-07
1909,3.960708294670212e-08,1.4907665413232962e-07
1910,5.0235016701982715e-08,1.843731984862984e-07
1911,3.724261854465283e-08,1.409899170745632e-07
1912,6.668059038261731e-08,1.7764126081232234e-07
1913,7.848425115364321e-08,1.91968229756867e-07
1914,8.906668824693043e-08,1.6340054553865002e-07
1915,2.8273827723523937e-08,1.4372530010575701e-07
1916,1.0987461607214755e-08,1.252570720478019e-07
1917,3.947912752266802e-08,9.869782024995999e-08
1918,1.8378202071289707e-08,1.5162016531178324e-07
1919,5.5247090680055067e-08,1.611373453558329e-07
1920,7.04217537617069e-08,1.2569904317416558e-07
1921,6.739745078698789e-08,1.2873670574009566e-07
1922,5.459672369756419e-08,2.3535613902225805e-07
1923,7.006525715169687e-08,1.3906892259996084e-07
1924,3.867487285980076e-08,1.572778196567981e-07
1925,5.27912540349007e-08,2.3536101156906852e-07
1926,3.901148493135054e-08,1.4712902340896505e-07
1927,6.801026863900717e-08,1.72812984366999e-07
1928,1.0626218438503088e-07,1.5653676488369683e-07
1929,6.01581959802644e-08,1.3925507769130263e-07
1930,9.348206830850359e-08,1.4705045270346773e-07
1931,7.185374428786417e-08,1.3800481468706494e-07
1932,7.342889585260082e-08,1.6000923608316953e-07
1933,7.341223895451776e-08,9.291236557906757e-08
1934,7.7880272897346e-08,1.1262685362112279e-07
1935,6.582556189016486e-08,1.5319403612323867e-07
1936,1.0790995830234351e-07,1.794457777926084e-07
1937,3.147779614742774e-08,1.34724962519428e-07
1938,7.779128574636474e-08,1.0242519499215064e-07
1939,4.129393449403551e-08,1.5599931657561683e-07
1940,2.02862628917444e-08,1.4961119099154985e-07
1941,1.0330259003765718e-07,1.416721282510025e-07
1942,6.675265851185941e-08,1.4260794989340297e-07
1943,4.0645293575281016e-08,9.290352775970234e-08
1944,5.7837349132228155e-08,1.1246151565558193e-07
1945,7.189063611079405e-08,1.1110370756739485e-07
1946,1.238978297735116e-07,1.1415306033768502e-07
1947,6.198852764427443e-08,1.1920870868209477e-07
