year,aux_ADP iles_NOUN,aux_ADP piles_NOUN
1800,4.496155243671751e-07,5.345079756580162e-08
1801,7.000676796042882e-07,1.904946067554647e-08
1802,5.326059522303694e-07,2.9091921760482364e-08
1803,3.4521004543819345e-07,2.145373123596528e-08
1804,4.301020488650664e-07,2.7190360185613827e-08
1805,1.9900143732876074e-07,4.83289206432147e-08
1806,2.766402280585112e-07,1.2103009794373065e-07
1807,3.4448157260058565e-07,2.8469550272802735e-08
1808,3.965629673530202e-07,3.172503681980743e-08
1809,4.111435498721505e-07,1.0391540428145163e-07
1810,4.610049728626109e-07,1.5678848797051614e-07
1811,3.6352613763668273e-07,1.7549536934780008e-08
1812,2.987273219900999e-07,5.067695596494559e-08
1813,3.5946771603789784e-07,5.463909147351842e-08
1814,5.034683385751748e-07,6.293354459785405e-08
1815,4.2616133177908466e-07,3.506390555685357e-08
1816,4.4497993201275676e-07,1.0660977523002657e-07
1817,3.580808964898097e-07,3.580808893843823e-08
1818,3.0875849166278613e-07,2.026600220972341e-08
1819,2.69127307106487e-07,2.2772310259711048e-08
1820,3.809140345367723e-07,2.3732962262101864e-09
1821,2.682324885538989e-07,5.621048249082605e-08
1822,4.3009892181089526e-07,1.0025615893027862e-08
1823,4.802986026675171e-07,3.656594316225892e-08
1824,3.326339594877936e-07,4.463189640091514e-08
1825,4.693300967861802e-07,6.780191341704267e-08
1826,4.835583506945795e-07,5.5490301242855367e-08
1827,5.134020985009258e-07,5.8068820862899884e-08
1828,4.815458063411882e-07,4.035812395386529e-08
1829,4.415185808070987e-07,7.030004667285539e-08
1830,5.228854744743217e-07,5.4271545479878114e-08
1831,2.0580392656732727e-07,8.107426907599802e-08
1832,3.6260318314607076e-07,7.712082350508354e-08
1833,8.386547283301127e-07,6.950177322551099e-08
1834,4.816617957814628e-07,3.733812548034621e-08
1835,4.6815515020171006e-07,4.764745398233572e-08
1836,4.583551405090702e-07,3.1587525484155776e-08
1837,5.621975959213543e-07,6.888311787633938e-08
1838,4.33014290424083e-07,3.66105403770689e-08
1839,5.383435839334538e-07,9.088918062616358e-08
1840,4.649872768491825e-07,1.1210651962301199e-07
1841,4.500804391405211e-07,3.146068783266287e-08
1842,5.004365610794537e-07,5.567859817645626e-08
1843,4.5187870800766916e-07,1.287706679620193e-07
1844,5.340370253792415e-07,6.366730787021879e-08
1845,4.374898772141478e-07,6.696273208151027e-08
1846,4.437712106675207e-07,7.259581380480995e-08
1847,5.301538710256182e-07,6.633664995092659e-08
1848,4.167424765277872e-07,5.792559676365272e-08
1849,3.9718425659529544e-07,6.116972794956155e-08
1850,4.2159665003538294e-07,5.5669765686161554e-08
1851,3.7342250625016504e-07,4.385618268543112e-08
1852,3.7956479936873677e-07,6.836072685700856e-08
1853,4.269931452860476e-07,8.719020416769752e-08
1854,3.507073543795869e-07,1.2157855167060916e-07
1855,5.710264403546716e-07,7.005156987816008e-08
1856,4.2401179500828334e-07,1.3823095246223716e-07
1857,5.257385335966092e-07,1.0299984204431567e-07
1858,3.7583431533594336e-07,1.6540625019656474e-07
1859,5.132910798621992e-07,1.3850711577667596e-07
1860,3.6297067951274187e-07,8.971280252012548e-08
1861,4.121752169017334e-07,1.023364122332282e-07
1862,3.0541587481280885e-07,1.0210649065145461e-07
1863,3.9257719763874377e-07,5.6439215079251426e-08
1864,4.315255180964428e-07,1.404855338726918e-07
1865,4.344417311452631e-07,1.021385208632708e-07
1866,3.6151503479686653e-07,7.493044051898323e-08
1867,3.8337209851135867e-07,1.5480468462669705e-07
1868,3.467791616085236e-07,1.4177438667495323e-07
1869,3.628454621207311e-07,8.790334271591149e-08
1870,3.3544185917833147e-07,1.0550649509610821e-07
1871,3.228837925917105e-07,7.434824311758348e-08
1872,3.192995086109818e-07,1.5541661380069627e-07
1873,6.907849074977435e-07,1.221144896867976e-07
1874,4.97087469852886e-07,1.1530995286390677e-07
1875,6.247907595735569e-07,2.8435989030128894e-07
1876,5.616747644765496e-07,1.0399145433659385e-07
1877,4.675720770563885e-07,1.2184087760935824e-07
1878,4.577629320046128e-07,1.1595050503077076e-07
1879,3.824437526667168e-07,9.774920473049065e-08
1880,4.7042813799968997e-07,1.4311797169597185e-07
1881,5.180573050544979e-07,2.58680017295454e-07
1882,4.525661880805387e-07,2.529046312371719e-07
1883,4.916445659475244e-07,2.4771809292722935e-07
1884,5.202137112192418e-07,1.993712492875943e-07
1885,5.865528489579219e-07,2.3655483361029184e-07
1886,7.014915244241138e-07,2.4587698482791964e-07
1887,6.372230556550562e-07,3.5321483171646406e-07
1888,6.486448889120311e-07,2.726464314317667e-07
1889,6.691165976846492e-07,2.5499107186854886e-07
1890,8.828758542023252e-07,2.4316773528099134e-07
1891,8.3693510433136e-07,2.454074703450715e-07
1892,6.801335876716053e-07,1.8116001387902259e-07
1893,8.129109740906415e-07,1.5519209745074036e-07
1894,6.944296506716796e-07,1.9597787548342183e-07
1895,1.0580724048026013e-06,1.534746687514854e-07
1896,6.858244701035687e-07,1.2914493408011651e-07
1897,6.595839829870442e-07,1.5265990083168646e-07
1898,7.893404943004612e-07,1.4089303967956823e-07
1899,8.534581006358621e-07,1.3155636935380244e-07
1900,8.061705569772926e-07,1.5625070570735033e-07
1901,7.365957763738606e-07,1.4083622140725893e-07
1902,8.720664377293019e-07,2.2145380357274647e-07
1903,7.171492546476088e-07,1.674068306201093e-07
1904,6.890269501624857e-07,1.3651548336213182e-07
1905,7.503743866266177e-07,9.186150795592596e-08
1906,7.16070473139041e-07,1.2809019461768045e-07
1907,6.639410869979656e-07,1.398853409773082e-07
1908,6.360248692161008e-07,1.5962014443537953e-07
1909,6.260119427281552e-07,1.5292734789618123e-07
1910,7.342863010961764e-07,9.993561678189877e-08
1911,6.703671369123754e-07,1.44714182859218e-07
1912,5.271934462314221e-07,1.1877480043942512e-07
1913,6.671161010274318e-07,1.092415880532549e-07
1914,6.830678502822707e-07,6.763711218882307e-08
1915,6.161338568233532e-07,9.306801729280778e-08
1916,5.372868945308085e-07,6.482602388224734e-08
1917,4.6497639694109694e-07,8.99246801466802e-08
1918,6.616152852245705e-07,5.168869421368072e-08
1919,5.994309371093465e-07,4.4197672688373046e-08
1920,7.829687658222895e-07,8.40517748734726e-08
1921,7.459156026179414e-07,1.400958338226843e-07
1922,8.528893555848072e-07,1.0550447626656023e-07
1923,7.930113130605321e-07,1.3694573475220295e-07
1924,7.876782353033462e-07,9.41088620365349e-08
1925,7.379777275939858e-07,1.0448269005536304e-07
