year,mêmes_ADJ hommes_NOUN,mêmes_ADJ pommes_NOUN
1800,1.8707778508542106e-06,6.288328968651058e-09
1801,2.1025841761002084e-06,0.0
1802,1.2330499430390773e-06,0.0
1803,1.6343842617061455e-06,3.900678446910888e-09
1804,1.7154645775008248e-06,2.7190360185613827e-08
1805,1.4185959571477724e-06,5.685755422035754e-09
1806,1.0806259069795487e-06,0.0
1807,1.4377122852238244e-06,0.0
1808,9.834760703597567e-07,2.2660739951163578e-09
1809,9.939734582076198e-07,2.0331274441787173e-08
1810,8.307450229949609e-07,0.0
1811,8.699556133251463e-07,2.5070767684098882e-09
1812,1.03487684555148e-06,0.0
1813,1.1157877679579542e-06,2.8757416448144113e-09
1814,2.611742047520238e-06,0.0
1815,2.9183959213696653e-06,0.0
1816,1.9004352225238108e-06,0.0
1817,2.259023403894389e-06,1.71256075987003e-08
1818,2.787171297313762e-06,3.5763532135746345e-09
1819,2.3041436634230195e-06,3.1053151161586356e-09
1820,2.7150508685735986e-06,0.0
1821,2.121206080119009e-06,0.0
1822,1.7314238220933476e-06,5.012807946513931e-09
1823,1.745282474985288e-06,4.941343334508019e-09
1824,1.9562244233384263e-06,8.421112696055388e-10
1825,1.4960447742851102e-06,0.0
1826,1.6779209772721515e-06,0.0
1827,1.952218326550792e-06,0.0
1828,2.3646191493753577e-06,1.0089531266022078e-08
1829,1.5448863450728822e-06,8.573175946935407e-09
1830,1.5947484826028813e-06,2.817945610189554e-08
1831,1.9535780211299425e-06,9.354723218280014e-09
1832,1.641185235712328e-06,1.3529969367098715e-09
1833,1.679626166151138e-06,0.0
1834,1.9471831365081016e-06,2.8003592777992026e-09
1835,1.6767365877967677e-06,0.0
1836,1.642551296754391e-06,2.688300027031687e-09
1837,1.5989232906576945e-06,1.3915781860163179e-09
1838,1.4517972886096686e-06,0.0
1839,1.5611964272466139e-06,1.3982950353153e-09
1840,1.8586752048577182e-06,8.280594876453051e-09
1841,1.492135424996377e-06,1.2841097074556274e-09
1842,1.5395468153656111e-06,2.683306021822318e-09
1843,1.4985832876845961e-06,7.678984559333912e-09
1844,1.5439322851307224e-06,1.097712254427563e-09
1845,1.433002580597531e-06,2.1204865419122143e-08
1846,1.516901306786167e-06,2.0490754204516293e-08
1847,1.670820665822248e-06,1.0786447290911383e-09
1848,1.4835388810752193e-06,4.02261068899179e-09
1849,1.6993453755276278e-06,5.865590679832167e-09
1850,1.507836032033083e-06,1.3577992064028876e-09
1851,1.5723732076367014e-06,0.0
1852,1.2597905652000918e-06,1.9531636308300904e-09
1853,1.1919976259378018e-06,3.5831591027601917e-09
1854,1.114470023821923e-06,1.558699391779328e-09
1855,1.0948210729111452e-06,6.8990182455763716e-09
1856,1.063912350218743e-06,1.5531567698623405e-09
1857,1.2101261290808907e-06,1.9526036898476207e-09
1858,1.1876951475642272e-06,2.9362056674919756e-09
1859,1.3718314448851743e-06,4.582956014687056e-09
1860,1.235839704349928e-06,1.373155145145688e-09
1861,1.4751534536117106e-06,1.131831339762357e-08
1862,1.2451570228222408e-06,0.0
1863,1.1547563190106302e-06,4.994620828036034e-10
1864,1.1982025398538099e-06,0.0
1865,1.1249358067288995e-06,5.177528850097701e-09
1866,1.2480296618377906e-06,9.731225825149181e-10
1867,1.008414187708695e-06,9.7056229719783e-09
