year,tours_NOUN heureux_ADJ
1800,3.144164395507687e-08
1801,6.667310969987739e-08
1802,2.4616241489638924e-08
1803,4.4857802805609026e-08
1804,4.69651695311768e-08
1805,7.391481915419718e-08
1806,2.881669125542885e-08
1807,6.263301344233696e-08
1808,2.039466551195801e-07
1809,6.325285539787728e-08
1810,1.8018975822542416e-07
1811,7.270522672797597e-08
1812,6.13457871168066e-08
1813,4.3136125782439194e-08
1814,1.2586708564299443e-08
1815,1.3486118000116676e-08
1816,3.9399267848239106e-08
1817,3.7364962679475866e-08
1818,9.06009489654025e-08
1819,4.140419918030602e-08
1820,4.50926265216367e-08
1821,6.01550809165019e-08
1822,9.825103575167304e-08
1823,6.522573414713406e-08
1824,3.705289586264371e-08
1825,6.075755720758025e-08
1826,4.668231667892542e-08
1827,4.424290978022327e-08
1828,3.0268594741755805e-08
1829,2.4862210068476998e-08
1830,7.410153557430021e-08
1831,2.8064171431196883e-08
1832,2.3000948701223933e-08
1833,2.548398292390175e-08
1834,1.9602515166639023e-08
1835,3.7059130875150004e-08
1836,2.016225053580456e-08
1837,2.7135774516295896e-08
1838,1.830527018853445e-08
1839,3.355908262392404e-08
1840,4.1402977046800515e-08
1841,2.760835826620678e-08
1842,3.018719141323345e-08
1843,5.0208743829216473e-08
1844,3.732221642849254e-08
1845,2.7901139176833567e-08
1846,2.9272506196775794e-08
1847,2.9123407685460734e-08
1848,3.700802153616678e-08
1849,4.022119171054328e-08
1850,1.765138968323754e-08
1851,3.805168802273329e-08
1852,1.6927417689771573e-08
1853,2.269334054005867e-08
1854,2.8576154775805662e-08
1855,3.131092896069276e-08
1856,2.5368226630462232e-08
1857,2.636014961865385e-08
1858,3.0830157982109085e-08
1859,2.9025388315062628e-08
1860,4.531412045594152e-08
1861,4.291527133659656e-08
1862,3.027050965442868e-08
1863,2.6471489888990618e-08
1864,1.0068928801842958e-08
1865,2.6829013677343028e-08
1866,2.3841502994059738e-08
1867,2.8631587767335986e-08
1868,2.222943251695142e-08
1869,1.4650557211837167e-08
1870,1.490852596930381e-08
1871,1.1683295220166201e-08
1872,2.660829245826335e-08
1873,1.0176207432266438e-08
1874,2.2106053876314036e-08
1875,1.6592428764283795e-08
1876,3.929909553335165e-08
1877,1.793596560162314e-08
1878,4.227361927178208e-08
1879,2.2604503158163425e-08
1880,2.631317030932223e-08
1881,1.1853263259808955e-08
1882,2.4624924321869912e-08
1883,1.516641390253426e-08
1884,2.2445769687351458e-08
1885,2.8360796378024133e-08
1886,3.291266637006629e-08
1887,9.140494583448344e-09
1888,2.1558090423923204e-08
1889,1.566284169030041e-08
1890,6.554386366985909e-09
1891,1.6572972327821844e-08
1892,1.56712811616444e-08
1893,9.23762488724833e-09
1894,7.561847148451761e-09
1895,2.347259631108045e-08
1896,1.47425724961181e-08
1897,2.4472196713531957e-08
1898,1.9804241802034994e-08
1899,8.291367592505594e-09
1900,8.30568502863116e-09
1901,6.706486921359556e-09
1902,5.892340837476695e-09
1903,3.2401321625741275e-09
1904,4.837162670412454e-09
1905,9.28936660926638e-09
1906,9.259531807970234e-09
1907,1.2857108266928208e-08
1908,1.3260750719723546e-08
1909,1.8153246017504898e-08
1910,8.550641084070776e-09
1911,7.448523575703803e-09
1912,3.125652625612929e-09
1913,1.2727175757731857e-08
1914,5.357394972094198e-09
1915,1.1780761921542648e-09
1916,2.197492410260793e-09
1917,4.386569774084137e-09
1918,5.743188147278033e-09
1919,1.1049418269237776e-08
1920,1.2115570768855832e-08
1921,6.058197943303867e-09
1922,3.6889677978990676e-09
1923,3.1847844361720945e-09
1924,6.445812328337297e-09
1925,9.898360353588487e-09
1926,1.0031524944054127e-08
1927,3.3447675740205796e-09
1928,6.8556245125250825e-09
1929,1.0026365515614089e-08
1930,1.1553964007759987e-08
1931,6.843213995466613e-09
1932,6.575722188983946e-09
1933,1.1470662197865522e-09
1934,3.5944740517379614e-09
1935,8.377798899061872e-09
1936,2.424942913137329e-09
1937,1.2591118148108649e-09
1938,6.482607339819424e-09
1939,7.647025235257843e-09
1940,0.0
1941,0.0
1942,1.2136847082899749e-08
1943,5.806470415592457e-09
1944,6.4263723231761105e-09
1945,2.178504043826024e-09
1946,8.352662561605939e-09
1947,9.536696765621855e-09
1948,7.610321262063735e-09
1949,6.8719057111366055e-09
1950,4.2541445921528975e-09
1951,4.264560704569931e-09
1952,3.1634410646574906e-09
1953,0.0
1954,6.840775057526116e-09
1955,7.508486277174597e-09
1956,4.360570571293465e-09
1957,7.951533653738352e-09
1958,5.790570245522986e-09
1959,0.0
1960,3.460416619915918e-09
