year,des_DET autos_NOUN,des_DET poteaux_NOUN
1800,3.144164484325529e-09,6.759953365964577e-07
1801,0.0,5.548155428414248e-07
1802,0.0,5.370816609229223e-07
1803,7.801356893821776e-09,4.485780298324471e-07
1804,1.9774807569206132e-08,3.8808058633321707e-07
1805,0.0,3.3261667908845993e-07
1806,0.0,4.1496036828903016e-07
1807,0.0,3.9003283802685473e-07
1808,2.039466551195801e-08,3.353789392868123e-07
1809,1.3554183553310395e-08,4.924686596297079e-07
1810,0.0,4.4228397033663214e-07
1811,1.2535384286138651e-08,4.287101198485743e-07
1812,0.0,4.054156548249921e-07
1813,2.8757416004054903e-08,4.256097740906739e-07
1814,0.0,6.639488567827811e-07
1815,5.394447111228828e-09,4.801057684744592e-07
1816,0.0,4.5888557842488353e-07
1817,0.0,4.3436767782623065e-07
1818,0.0,3.6121167323877046e-07
1819,5.175524897538253e-09,3.8195373619487327e-07
1820,1.1866481131050932e-09,4.829657731519887e-07
1821,9.86148829262845e-10,2.3470342114251252e-07
1822,5.012807946513931e-09,2.807172307939254e-07
1823,1.087095569118901e-08,4.625097451693705e-07
1824,0.0,2.3915960500886513e-07
1825,0.0,4.420332457844012e-07
1826,8.80798456392995e-09,2.9330586537312797e-07
1827,7.373818444733615e-09,4.1477728096595e-07
1828,1.8344602503717056e-09,3.512991448850755e-07
1829,5.143905745796928e-09,4.535210161304981e-07
1830,0.0,5.63589130919695e-07
1831,3.897801548191637e-08,4.583814607883596e-07
1832,0.0,3.260722603037891e-07
1833,0.0,5.872899855319247e-07
1834,0.0,4.3498912738471063e-07
1835,2.2689263801112247e-09,4.802560837902092e-07
1836,4.704525213838906e-09,4.664200456971912e-07
1837,1.1828414692161004e-08,4.1051556376459075e-07
1838,5.680945491803868e-09,4.3617039757748444e-07
1839,8.3897702118918e-09,4.677296772115369e-07
1840,0.0,3.541546888530256e-07
1841,2.5682194149112547e-09,4.905299211266367e-07
1842,1.2745703603656011e-08,3.7834614019516266e-07
1843,1.8902115872521108e-08,4.247069167462314e-07
1844,2.195424508855126e-09,4.687231447420004e-07
1845,7.254296274794569e-09,5.937362770325194e-07
1846,1.7563503984519002e-09,5.995009288994879e-07
1847,7.550513103637968e-09,4.411656862046698e-07
1848,1.126331028444838e-08,3.9502039633765307e-07
1849,1.6758829879393033e-09,3.695321950658581e-07
1850,6.1100964288129944e-09,5.037435109045418e-07
1851,3.2247193804124663e-09,5.365933155587754e-07
1852,7.812654523320361e-09,5.377710472487252e-07
1853,1.7915795513800958e-09,6.437742445797312e-07
1854,3.117398617025202e-09,4.7592286023245833e-07
1855,5.837630823180007e-09,5.657195103481172e-07
1856,3.106313539724681e-09,3.489425415281744e-07
1857,8.78671624349181e-09,4.671604214578906e-07
1858,2.936205500958522e-09,4.908357107424877e-07
1859,7.129042689513199e-09,5.066712640555693e-07
1860,9.154367819341758e-10,4.700767748389012e-07
1861,6.130752905342263e-09,4.583916632938667e-07
1862,4.066187719864445e-09,4.7122596846804754e-07
1863,2.996772441310469e-09,5.014599357977545e-07
1864,1.5343129766698382e-08,7.618822905897105e-07
1865,6.118897610818408e-09,5.290493305665223e-07
1866,0.0,4.2525456933617534e-07
1867,1.94112459439566e-09,5.304122758786889e-07
1868,1.2349684830326169e-08,4.4211872562982535e-07
1869,5.860222973552709e-09,5.484191820670503e-07
1870,5.676708303425926e-08,4.713388097599136e-07
1871,9.55905954391767e-09,5.172513324325223e-07
1872,6.047339518033823e-09,4.789492749068813e-07
1873,9.57760748487857e-09,5.130005682474348e-07
1874,1.6728906260254917e-08,6.129948708633037e-07
1875,3.4329162845736505e-09,6.253629258878846e-07
1876,1.209202959984168e-09,4.981916283952614e-07
1877,3.0924081073635534e-09,5.8322814666667e-07
1878,8.454724254036705e-09,5.700899947669313e-07
1879,1.2829583173612491e-08,4.478135284813334e-07
1880,8.343200352811664e-09,4.864727465303531e-07
1881,4.8807553554297556e-09,5.787181081018389e-07
1882,1.3310770263785798e-09,5.670388141254534e-07
1883,1.895801682305631e-09,6.079204339926036e-07
1884,7.2618666635548834e-09,6.733730835151164e-07
1885,3.86738152613475e-09,7.966805766201901e-07
1886,7.744156427236248e-09,6.201779045866829e-07
1887,8.48760173255414e-09,6.966362544602589e-07
1888,1.268122939990235e-09,5.148579180769275e-07
1889,1.8795410228200637e-09,5.958145319340247e-07
1890,3.932631831293776e-09,5.931719879725961e-07
1891,4.461953917456185e-09,7.037139209131738e-07
1892,5.014809900671935e-09,6.262243701371517e-07
1893,3.0792083327568776e-09,8.135268139142227e-07
1894,0.0,7.177453067441775e-07
1895,3.611168697403855e-09,6.867239044083817e-07
1896,2.358811590497112e-09,6.681334046021448e-07
1897,1.5149455578900017e-08,7.708742089107545e-07
1898,8.487532454637403e-09,8.006572436158876e-07
1899,4.9748205555033564e-09,8.396391493192823e-07
1900,6.2292638824956725e-09,6.359039996794991e-07
1901,1.1177477832191585e-09,6.605889355526529e-07
1902,6.383369222096036e-09,8.656830434716767e-07
1903,1.8900770282215262e-08,7.625110960418624e-07
1904,9.674325340824907e-09,7.8684513660221e-07
1905,2.47716436252432e-08,6.419984046601712e-07
1906,4.063905750806285e-08,7.865458169220574e-07
1907,4.0628463704450724e-08,6.98398123333277e-07
1908,6.630375382066234e-08,7.799286088072677e-07
1909,4.840865636124292e-08,6.92023757409288e-07
1910,3.580581120488091e-08,7.300109947649958e-07
1911,6.756875492452963e-08,8.438113159314753e-07
1912,5.417798187856704e-08,5.277143966253561e-07
1913,1.0765069202722799e-07,7.678729101456838e-07
1914,1.1585366294086796e-07,6.837375305934756e-07
1915,3.157244066187559e-07,6.679692061695164e-07
1916,6.196928623580789e-07,6.032116885990035e-07
1917,4.825226653792924e-07,7.676497215669542e-07
1918,3.2621308587721387e-07,5.570892325224008e-07
1919,3.462150885980009e-07,6.334999884671788e-07
1920,2.407969716955449e-07,5.52015682941942e-07
1921,2.597452350983076e-07,5.588687397306558e-07
1922,2.995441755748729e-07,6.367158356113123e-07
1923,2.707066890650367e-07,5.764459558577073e-07
1924,2.3978420848891346e-07,4.550743417652825e-07
1925,2.6285645660095724e-07,4.586240205384229e-07
1926,2.853411338321621e-07,4.569916685071007e-07
1927,3.1886783702361754e-07,3.9133778528821495e-07
1928,3.199291618294353e-07,4.798937220940047e-07
