year,avez_VERB assez_ADV,avez_VERB passé_VERB
1800,2.6096566330124915e-07,2.4524482000742864e-07
1801,2.905042890688492e-07,3.881327472754492e-07
1802,2.4840025503181096e-07,4.050490645113314e-07
1803,3.842168325718376e-07,1.8723255834629526e-07
1804,3.6583392670763715e-07,3.757213562494144e-07
1805,3.411453235457884e-07,3.1840230008128856e-07
1806,3.9478865687669895e-07,3.2562860496909707e-07
1807,2.0213381901612593e-07,2.1067468480850948e-07
1808,2.5606635745134554e-07,2.2887347483901976e-07
1809,2.439753075123008e-07,2.4623432182124816e-07
1810,5.171680186322192e-07,3.182572356763558e-07
1811,2.2563691004506836e-07,2.2312983105621242e-07
1812,3.7340916492212273e-07,2.2671270016871858e-07
1813,2.70319702622146e-07,2.5881675469463516e-07
1814,2.926409763404081e-07,2.108273662315696e-07
1815,2.8590568490471924e-07,2.4814457333377504e-07
1816,3.383701709935849e-07,3.3605255111979204e-07
1817,2.6778221240419953e-07,2.771234619558527e-07
1818,2.777634335870971e-07,2.8610824642782973e-07
1819,2.7637304356176173e-07,2.5877625375869684e-07
1820,4.260066646111227e-07,3.18021704970306e-07
1821,6.222599040484056e-07,5.256173380985274e-07
1822,4.822321102437854e-07,4.080425810570887e-07
1823,3.755421005280368e-07,3.2316387432729243e-07
1824,3.9831863318795513e-07,3.0147583629513974e-07
1825,3.0114614446574706e-07,2.386275070875854e-07
1826,2.536699525990116e-07,2.739283218033961e-07
1827,2.912658203513274e-07,2.7098784016743593e-07
1828,3.3754068340385857e-07,3.0635484904451005e-07
1829,3.000611741299508e-07,1.723208384873942e-07
1830,3.1101771469366213e-07,2.6196457270089013e-07
1831,2.307498476739056e-07,2.899964215430373e-07
1832,3.030713173757249e-07,2.8548234354275337e-07
1833,3.3013341749210667e-07,2.965408896216104e-07
1834,2.202949360707862e-07,3.351096609094384e-07
1835,3.6832238947681617e-07,3.418515746034245e-07
1836,3.299888362562342e-07,3.1184279691842676e-07
1837,2.783156389796204e-07,2.504840779238293e-07
1838,2.840472745901934e-07,2.7016054104933573e-07
1839,3.544678008893243e-07,2.6917180662167084e-07
1840,2.5287664584539016e-07,2.2930879595151055e-07
1841,3.280900386926078e-07,2.741574292031146e-07
1842,2.978469808567752e-07,3.092510212354682e-07
1843,2.3686713745973975e-07,2.545878601267759e-07
1844,2.8101433713345614e-07,2.6619522941473406e-07
1845,2.7566326821215625e-07,1.5792045360285556e-07
1846,2.0256574373433978e-07,1.7622049597321165e-07
1847,2.2651539666185272e-07,1.7689774267637404e-07
1848,2.252662056889676e-07,2.2446168657097587e-07
1849,1.835091865132199e-07,2.32109798048441e-07
1850,2.1860567755993543e-07,2.797066258608538e-07
1851,2.0315732740527892e-07,1.6962023607902665e-07
1852,2.3763490730743797e-07,2.389370195032825e-07
1853,2.645565757575241e-07,3.045685161850997e-07
1854,3.704508628743497e-07,2.5926365765371884e-07
1855,2.573864605892595e-07,2.722458702919539e-07
1856,2.3763298884205142e-07,2.448810505484289e-07
1857,2.7434080607235956e-07,2.3187168096683308e-07
1858,3.303231324025546e-07,2.892162456191727e-07
1859,3.3710188063196256e-07,2.561363316999632e-07
1860,3.2040287578638527e-07,2.622726356094063e-07
1861,3.636008045759809e-07,3.098388106081984e-07
1862,2.493928548119584e-07,3.1400003308590385e-07
1863,3.046718575205887e-07,3.416320737414935e-07
1864,3.548098561623192e-07,2.1624222767968604e-07
1865,2.8711750132970337e-07,2.8570545396178204e-07
1866,2.598237358597544e-07,2.763668192073965e-07
1867,2.717574432153924e-07,2.9359509312598675e-07
1868,2.277281936358122e-07,1.9808895501682855e-07
1869,2.4515264840374584e-07,2.895926911605784e-07
1870,1.9209063850667008e-07,2.500045184206101e-07
1871,2.2623108009156567e-07,2.8677177965619194e-07
1872,2.2979889990892843e-07,2.9269122592268104e-07
1873,2.2986256453805254e-07,2.669758032425307e-07
1874,2.2345038530602324e-07,2.473488223131426e-07
1875,3.0038017939659767e-07,3.221219913029927e-07
1876,3.0048693133721827e-07,2.3821297645554296e-07
1877,2.6347316861574654e-07,2.789352038234938e-07
1878,1.9204301793251943e-07,1.642632128096011e-07
1879,2.4620581484668946e-07,2.3154342443376663e-07
1880,2.0601287076260633e-07,2.2334104698984447e-07
1881,2.440377784296288e-07,2.698360503927688e-07
1882,2.51573567311425e-07,2.682120339159155e-07
1883,1.6493474674916797e-07,2.2370460328602348e-07
1884,1.676830976293786e-07,2.000314225369948e-07
1885,2.4300047130054736e-07,1.6565283544878184e-07
1886,1.6714471939849318e-07,1.561738258715195e-07
1887,1.7823964526542113e-07,1.8933882017790893e-07
1888,2.0797216393475537e-07,1.9972935660916846e-07
1889,1.917131839945796e-07,2.0173740722384537e-07
1890,1.9269896256446373e-07,1.638596671682535e-07
1891,1.338586201882208e-07,2.0397504840730107e-07
1892,1.1283322010058328e-07,1.4856374264127226e-07
1893,1.5026536459572526e-07,1.5026536459572526e-07
1894,1.8274464252954203e-07,1.4997662844962178e-07
1895,1.4023372330029815e-07,2.0884591833691957e-07
1896,1.9047404009597813e-07,1.6924472845403216e-07
1897,1.7363606730214087e-07,1.5732126712464378e-07
1898,1.5673643360969436e-07,1.4145886950700515e-07
1899,1.69696662055685e-07,1.5145565157581586e-07
1900,1.6663280177908746e-07,1.5521248997174553e-07
1901,1.4363058653543703e-07,1.7325091050679475e-07
1902,1.4338029075133818e-07,1.2766737711444875e-07
1903,1.0854442678009946e-07,1.382456389364961e-07
1904,1.4189009789333795e-07,1.3974025137031276e-07
1905,1.847551800437941e-07,1.4088871580497653e-07
1906,1.4866692765735934e-07,1.5278227749604412e-07
1907,1.650852681223114e-07,1.5891386340172176e-07
1908,1.596201428810673e-07,1.5372647510503157e-07
1909,1.512770495537552e-07,1.4522596814003919e-07
1910,1.9345824853189697e-07,1.9345824853189697e-07
1911,1.4045787111172103e-07,1.8248883293381368e-07
1912,1.6201299501972244e-07,1.547198138496242e-07
1913,1.3522624442430242e-07,1.4583221741304442e-07
1914,1.2924715520057362e-07,1.2656845171932218e-07
1915,1.201637758185825e-07,1.5668413766434242e-07
1916,1.1756584683553228e-07,1.1317085579776176e-07
1917,1.1295416868506436e-07,1.5024001243091334e-07
1918,1.0108011139209339e-07,1.2405286042849184e-07
1919,8.471220525052559e-08,1.4732557929164614e-07
1920,1.5068741276991204e-07,1.7643300509462279e-07
1921,1.128339377487464e-07,1.4918312274403434e-07
1922,1.7633266224947874e-07,1.5198547487216274e-07
1923,1.7834793197835097e-07,1.6030081440021604e-07
1924,1.7661525930634525e-07,2.0755514640313777e-07
1925,2.1446446396566898e-07,2.0126665845054958e-07
1926,2.3183967812201445e-07,2.0285972368583316e-07
1927,2.2186956982750417e-07,2.4305310830641247e-07
1928,1.805314582270512e-07,1.5653677110094577e-07
1929,1.6376397127260134e-07,1.6376397127260134e-07
1930,1.7646054573106085e-07,1.974677417138082e-07
1931,1.0378874293337503e-07,1.2203732069338002e-07
