year,toutes_DET eaux_NOUN,toutes_DET peaux_NOUN
1800,6.288328968651058e-09,0.0
1801,0.0,0.0
1802,2.2378401354217203e-09,0.0
1803,0.0,0.0
1804,3.9549616470679894e-08,0.0
1805,4.264316633140197e-08,0.0
1806,1.152667650217154e-08,0.0
1807,0.0,0.0
1808,0.0,0.0
1809,3.162642769893864e-08,0.0
1810,2.3401267590372754e-09,0.0
1811,2.2563691359778204e-08,0.0
1812,0.0,0.0
1813,1.1502966579257645e-08,0.0
1814,0.0,0.0
1815,0.0,2.697223555614414e-09
1816,0.0,0.0
1817,3.113746815941454e-09,0.0
1818,3.5763532135746345e-09,0.0
1819,0.0,0.0
1820,5.933240565525466e-09,0.0
1821,0.0,0.0
1822,2.0051231786055723e-09,0.0
1823,9.882686891060644e-10,3.162459805139406e-08
1824,1.9368560089105813e-08,0.0
1825,2.641632912414593e-09,0.0
1826,2.642395191543301e-09,3.5231937367541377e-09
1827,9.217273055917019e-10,0.0
1828,0.0,0.0
1829,4.286587973467704e-09,0.0
1830,5.218417697960831e-09,4.174734336004349e-09
1831,0.0,0.0
1832,6.764984572527055e-09,0.0
1833,1.9692168784501973e-08,0.0
1834,2.8003592777992026e-09,0.0
1835,6.806779140333674e-09,0.0
1836,2.016224964762614e-09,0.0
1837,3.478945576063097e-09,0.0
1838,1.0730675015224733e-08,0.0
1839,6.9914751765765e-10,0.0
1840,8.280594876453051e-09,0.0
1841,7.704658244733764e-09,1.2841097074556274e-09
1842,3.3541325272778977e-09,0.0
1843,5.906910960362666e-09,0.0
1844,1.4270259640625227e-08,0.0
1845,1.1160455892778032e-09,0.0
1846,5.854501328173001e-10,2.3418005312692003e-09
1847,7.011190739092399e-09,0.0
1848,8.045221711050488e-10,0.0
1849,5.865590679832167e-09,0.0
1850,6.788996032014438e-10,6.788996032014438e-10
1851,8.384270167027807e-09,6.449438760824933e-10
1852,1.5625309046640723e-08,0.0
1853,2.388772735173461e-09,1.1346670270029335e-08
1854,3.63696517347023e-09,3.117398783558656e-09
1855,5.306937111981824e-10,4.776243400783642e-09
1856,1.7084724746041502e-08,0.0
1857,7.810414537345878e-09,1.4644527812635033e-09
1858,8.31924928945682e-09,1.468102750479261e-09
1859,6.61982535454797e-09,2.036869339860914e-09
1860,7.323494255473406e-09,3.204028820036342e-09
1861,8.017138064531082e-09,9.431927461278633e-10
1862,8.132375661773494e-09,0.0
1863,7.991393324857654e-09,0.0
1864,2.349416661218129e-08,4.794727948009836e-10
1865,0.0,4.706844358715045e-10
1866,0.0,9.731225825149181e-10
1867,3.396968040192405e-09,4.85281148598915e-10
1868,7.903798504571569e-09,9.87974813071446e-10
1869,4.883519144627257e-10,2.441759683335931e-09
1870,7.454262984651905e-09,4.013834153937523e-09
1871,1.6993883633631413e-08,0.0
1872,1.2094678591978436e-09,3.628403577593531e-09
1873,1.3169209722718733e-08,5.986004469882289e-10
1874,2.2106053876314036e-08,2.9873046258899194e-09
1875,1.716458086775674e-09,5.721527140956084e-10
