year,ses_DET yeux_NOUN,ses_DET pieux_ADJ
1800,3.450406188676425e-05,8.174827570428533e-08
1801,3.3608010426178225e-05,5.714838380299625e-08
1802,2.996467912907974e-05,1.0070280609397742e-07
1803,3.191730081653077e-05,1.1897068930011301e-07
1804,3.6257108490644896e-05,8.898663139689234e-08
1805,3.653950864190847e-05,5.401467717547348e-08
1806,2.7900320105800347e-05,1.210301041609796e-07
1807,2.5616901552893978e-05,3.9857372513552036e-08
1808,2.9701432595174992e-05,9.064296024874352e-08
1809,2.538472597279906e-05,1.6265019375794054e-07
1810,3.952474207835621e-05,1.1700633706368535e-07
1811,2.8826368634327082e-05,9.025476543911282e-08
1812,2.6912131033896003e-05,1.440292436427626e-07
1813,3.0379334930330515e-05,1.6391726842535093e-07
1814,2.5497525143691746e-05,1.5104049566616595e-07
1815,2.351709167669469e-05,1.6722785556311237e-07
1816,2.675673772500886e-05,1.622322773897622e-07
1817,2.7477259322949976e-05,1.7281294617532694e-07
1818,3.165191753851104e-05,1.8239401811115385e-07
1819,3.0402068318835518e-05,1.8838910875729198e-07
1820,3.261027802636818e-05,1.6138414959954162e-07
1821,2.9223534284028574e-05,1.6567300142877883e-07
1822,3.093103043738665e-05,1.4737655362750957e-07
1823,2.8087584837521717e-05,1.729470178180037e-07
1824,3.0324426234074053e-05,2.3410693827941031e-07
1825,2.9271052994772617e-05,2.6152165433224184e-07
1826,2.7310917516842892e-05,1.6030531924116076e-07
1827,2.4136350816661434e-05,1.2443318908594847e-07
1828,2.6153899625569466e-05,1.6877034170192928e-07
1829,2.669258390142204e-05,1.4660131020249878e-07
1830,3.08471114749409e-05,1.8473199103752336e-07
1831,2.804078428653156e-05,1.621485496983155e-07
1832,3.4198352295788936e-05,1.758896017722833e-07
1833,3.1413643000632874e-05,1.7607115765372328e-07
1834,2.9645537324540783e-05,1.4935249748049273e-07
1835,3.165833015827957e-05,2.768090041627147e-07
1836,3.0483977525364025e-05,2.654696165116377e-07
1837,2.8849502314187703e-05,1.6351044163087636e-07
1838,2.710189926347084e-05,1.7484688630275969e-07
1839,2.691787892672437e-05,2.048502292240073e-07
1840,2.7604320052887488e-05,1.7070765157001233e-07
1841,2.719680185236939e-05,2.2215098116618037e-07
1842,2.9066241268083104e-05,2.455225001085637e-07
1843,2.808913404805935e-05,2.469088835610478e-07
1844,3.03308877391828e-05,2.3326385356625678e-07
1845,3.0301753554340394e-05,2.4162387468606994e-07
1846,2.741311720910744e-05,2.663798222002356e-07
1847,2.5968371005546942e-05,2.3676251181825592e-07
1848,2.4697221988390083e-05,2.3089785905483495e-07
1849,2.4393314902226848e-05,2.12837142576916e-07
1850,2.5292405553045683e-05,2.5458734764782776e-07
1851,2.3733934881420282e-05,2.528179869898395e-07
1852,2.6593624511406233e-05,1.875037094478671e-07
1853,2.850403097909293e-05,2.1737831534807128e-07
1854,2.9359140512497106e-05,3.153768304287041e-07
1855,3.1411229883815395e-05,2.886973717863839e-07
1856,2.945717051261454e-05,2.9975926096881267e-07
1857,2.9637593456754985e-05,2.75805266181095e-07
1858,3.2142153486347524e-05,2.7551396453162624e-07
1859,3.377689392891625e-05,2.3322153630545017e-07
1860,3.403914411137521e-05,2.265706071646889e-07
1861,3.206100916486321e-05,2.471164997075448e-07
1862,3.181746592417767e-05,2.2228491847187115e-07
1863,3.1499575811722025e-05,2.5822188653989997e-07
1864,3.088284211116843e-05,2.685047686412645e-07
1865,3.0833125492790714e-05,2.2357510953696647e-07
1866,3.026362662694737e-05,1.9949013041475894e-07
1867,2.9755984428447846e-05,2.22744047206902e-07
1868,2.7807538685920008e-05,2.4798168141160204e-07
1869,3.133558868739783e-05,2.0168934433684171e-07
1870,2.7837659672513837e-05,1.7603529256504657e-07
1871,2.523166926948761e-05,1.3488895689306446e-07
1872,2.850897101325245e-05,2.001669259232841e-07
1873,2.59906325936754e-05,1.5743191772443765e-07
1874,2.674354573173332e-05,1.4996268982159222e-07
1875,2.760522409062105e-05,1.430381786349244e-07
1876,2.577174291218398e-05,1.3301232293372323e-07
1877,2.7753742756431166e-05,1.1070820971070816e-07
1878,2.380186060690903e-05,1.558084932185011e-07
1879,2.6109422719855502e-05,1.1607718075623552e-07
1880,2.544547635352501e-05,1.078198148540821e-07
1881,2.6306573772671982e-05,1.3526664077723183e-07
1882,2.7382916186979855e-05,2.0165817460338076e-07
1883,2.506439420812967e-05,1.301783836282766e-07
1884,2.6408109079056885e-05,1.2807292382177593e-07
1885,2.534423981614964e-05,1.0377473191880426e-07
1886,2.5025241370713047e-05,1.2648789571301222e-07
1887,2.5954434477171162e-05,1.299255971698443e-07
1888,2.543030336710217e-05,1.1413106371094273e-07
1889,2.489201551725273e-05,9.397705369451614e-08
1890,2.4050009869824862e-05,1.1994527238101682e-07
1891,2.3258890792021703e-05,1.1154885015685068e-07
1892,2.3844168026698753e-05,7.835640714048964e-08
1893,2.403075677648303e-05,9.483961393996765e-08
1894,2.451361785915651e-05,9.389293786910002e-08
1895,2.5231236463696405e-05,9.6899694934649e-08
1896,2.5228078925465525e-05,9.199365202938736e-08
1897,2.4360906650144898e-05,8.565269171700862e-08
1898,2.444579104121658e-05,1.0920625137522677e-07
1899,2.457008554301865e-05,1.3321464642501724e-07
1900,2.5483398189862783e-05,1.0174464459833388e-07
1901,2.4263509772026737e-05,8.383108296428077e-08
1902,2.0536279976113292e-05,6.628883486570203e-08
1903,2.296767604548222e-05,6.156250975664079e-08
1904,2.162480484457774e-05,7.793206524553398e-08
1905,2.1227749357422e-05,6.450948897285258e-08
1906,2.3070638349054207e-05,5.452835583064086e-08
1907,2.2676854200653906e-05,5.759984550435249e-08
1908,2.4040759058152616e-05,5.107844547325158e-08
1909,2.5009121486618824e-05,7.09626872819058e-08
1910,2.574544578237692e-05,7.855901507092256e-08
1911,2.3100532303033106e-05,6.597264123886504e-08
1912,2.394510534031724e-05,6.720153444828014e-08
1913,2.3600955387337308e-05,5.992378393493425e-08
1914,2.313256209163228e-05,5.9601018564947594e-08
1915,2.030414259479585e-05,4.9479201069679846e-08
1916,2.251770524708263e-05,6.812226716057523e-08
1917,2.385964899076498e-05,4.386569829595288e-08
1918,2.3923824073790456e-05,4.479686577241182e-08
1919,2.4282016966026276e-05,5.1563951330990676e-08
1920,2.517615621400182e-05,4.240449769099541e-08
1921,2.6653041459212545e-05,5.3766507912555994e-08
1922,3.0297491548481048e-05,4.943216813657614e-08
1923,2.939556088676909e-05,4.564857780664511e-08
1924,2.855623733921675e-05,4.769901074119787e-08
1925,2.9337639489313005e-05,5.829034321891413e-08
1926,2.8118362706663902e-05,6.576221522891501e-08
1927,3.374758989593829e-05,5.3516280407173156e-08
1928,2.7269389647699427e-05,7.08414584771333e-08
1929,2.776300607365556e-05,7.352667896753928e-08
1930,2.4234965167124756e-05,3.571225093423891e-08
1931,2.3296581730392063e-05,3.079446297959976e-08
1932,2.393891554675065e-05,4.822195975862087e-08
1933,2.244120264549565e-05,4.702971678760548e-08
