year,progrès_NOUN heureux_ADJ
1800,1.5720821977538435e-08
1801,2.3811825844433088e-09
1802,8.951360541686881e-09
1803,1.1702034896643454e-08
1804,2.7190360185613827e-08
1805,2.842877711017877e-09
1806,8.645007376628655e-09
1807,3.131650672116848e-08
1808,3.3991110370834576e-08
1809,0.0
1810,7.020380277111826e-09
1811,1.2535384286138651e-08
1812,2.6672083208723052e-08
1813,4.3136125782439194e-08
1814,0.0
1815,1.6183340889597275e-08
1816,2.0858434979231788e-08
1817,6.227493631882908e-09
1818,2.1458118837358597e-08
1819,3.1053151161586356e-09
1820,9.493184904840746e-09
1821,9.86148829262845e-10
1822,1.804610860745015e-08
1823,1.9765373782121287e-09
1824,9.263223965660927e-09
1825,1.937197424695114e-08
1826,1.4092774947016551e-08
1827,3.6869092223668076e-09
1828,2.0179061976932644e-08
1829,2.571952872898464e-09
1830,9.39315203396518e-09
1831,7.795603274018958e-09
1832,1.6235963684607668e-08
1833,1.7375443306377747e-08
1834,2.7070139907436896e-08
1835,9.075705520444899e-09
1836,1.344150035720304e-08
1837,2.2961039292113128e-08
1838,1.2624323808552163e-08
1839,3.076248944466897e-08
1840,7.64362617644565e-09
1841,1.4125206782011901e-08
1842,2.817471411731276e-08
1843,2.4218335781256428e-08
1844,1.920996517412732e-08
1845,7.254296274794569e-09
1846,8.196302303531411e-09
1847,1.5640349459999925e-08
1848,1.769948809737798e-08
1849,2.3462362719328667e-08
1850,3.1229383523623255e-08
1851,1.1608989325395669e-08
1852,1.9531636308300904e-09
1853,5.3747388761848924e-09
1854,1.0391328686409906e-08
1855,7.429711956774554e-09
1856,1.3978411317339123e-08
1857,2.0990489346672803e-08
1858,8.31924928945682e-09
1859,6.110608019582742e-09
1860,2.242820151820979e-08
1861,1.1789909493131745e-08
1862,1.1294965851504912e-08
1863,1.6482248454963155e-08
1864,1.821996598039277e-08
1865,6.589582213223366e-09
1866,3.4059290943133647e-09
1867,2.6690463172940326e-08
1868,6.421836395986702e-09
1869,2.0999133099053324e-08
1870,9.17447806614291e-09
1871,7.434824311758348e-09
1872,3.0236697590169115e-09
1873,1.97538145840781e-08
1874,2.9873046258899194e-09
1875,5.149374260327022e-09
1876,4.232210137899983e-09
1877,8.040260901509555e-09
1878,1.0266450800600069e-08
1879,1.221865097988939e-08
1880,1.3477476912271413e-08
1881,2.7890030285249168e-09
1882,6.655385131892899e-09
1883,1.2638677882037541e-09
1884,4.621187876807653e-09
1885,5.80107206715752e-09
1886,5.162771099520569e-09
1887,5.223139698529167e-09
1888,6.340614699951175e-09
1889,8.771191772893872e-09
1890,6.554386478008212e-10
1891,3.1871101313640793e-09
