year,telles_ADJ eaux_NOUN,telles_ADJ peaux_NOUN
1800,1.8864987794131594e-08,6.288328968651058e-09
1801,3.333655484993869e-08,0.0
1802,2.6854081625060644e-08,0.0
1803,1.3652374342143503e-08,0.0
1804,6.426812149129546e-08,4.943701892301533e-09
1805,5.685755422035754e-08,1.421438877713399e-08
1806,0.0,0.0
1807,8.540865792383556e-09,0.0
1808,6.798221985349073e-09,0.0
1809,2.25903047379461e-08,0.0
1810,1.4040760554223652e-08,0.0
1811,1.7549536934780008e-08,0.0
1812,0.0,0.0
1813,2.8757416448144113e-09,0.0
1814,0.0,0.0
1815,0.0,0.0
1816,3.9399267848239106e-08,0.0
1817,1.556873407970727e-09,3.113746815941454e-09
1818,3.5763532135746345e-09,0.0
1819,1.035105001712111e-09,1.035105001712111e-09
1820,8.306536791735653e-09,0.0
1821,1.7750679148775816e-08,0.0
1822,7.017931125119503e-09,0.0
1823,2.174191138237802e-08,0.0
1824,5.052667617633233e-09,0.0
1825,1.6730341556581152e-08,0.0
1826,8.80798456392995e-09,0.0
1827,1.3825909306319772e-08,0.0
1828,1.559291185060374e-08,0.0
1829,1.7146351893870815e-08,0.0
1830,1.2524203008013046e-08,0.0
1831,1.091384405071949e-08,0.0
1832,2.0294953273491956e-08,0.0
1833,3.01174338801502e-08,0.0
1834,5.3206826944318664e-08,0.0
1835,2.193295500774184e-08,0.0
1836,4.704525213838906e-09,0.0
1837,5.566312522020667e-09,0.0
1838,7.574594285131298e-09,0.0
1839,9.788065469251706e-09,0.0
1840,1.9109065885203336e-08,0.0
1841,1.6051371343195342e-08,0.0
1842,1.609983613093391e-08,0.0
1843,1.3585895075607368e-08,0.0
1844,3.128479897362979e-08,0.0
1845,2.4553002853089367e-08,0.0
1846,1.5807152919933287e-08,0.0
1847,1.240441438454809e-08,0.0
1848,5.148941895072312e-08,0.0
1849,2.8490011239057367e-08,0.0
1850,1.6972489191857676e-08,0.0
1851,7.094382858952031e-09,0.0
1852,2.2135854038651814e-08,0.0
1853,2.2693340318014066e-08,0.0
1854,1.4028293748857834e-08,0.0
1855,2.0697054736729115e-08,3.1841622671890946e-09
1856,2.5368226630462232e-08,0.0
1857,1.7085282522089074e-08,0.0
1858,4.502182093801821e-08,0.0
1859,3.3608343885660474e-08,0.0
1860,1.9224172476128842e-08,4.577183909670879e-10
1861,2.2165028923382124e-08,0.0
1862,1.8523744316212287e-08,0.0
1863,2.347471755870245e-08,4.994620828036034e-10
1864,3.5001512799226475e-08,0.0
1865,2.165148416111151e-08,4.706844358715045e-10
1866,2.77339928800302e-08,0.0
1867,2.91168689159349e-08,0.0
1868,4.396487862656784e-08,0.0
1869,1.3185501579471293e-08,9.767038289254515e-10
1870,1.9495765446464475e-08,0.0
1871,3.18635318130589e-09,0.0
1872,8.4662747923403e-09,0.0
1873,1.3169209722718733e-08,5.986004469882289e-10
1874,2.5690820137924675e-08,5.974609140757536e-10
1875,2.0025345548457807e-08,0.0
1876,6.04601479992084e-09,0.0
1877,1.0514186854493346e-08,0.0
1878,1.509772218355465e-08,6.039088784604019e-09
1879,4.27652757650776e-09,0.0
1880,5.776061562379198e-08,0.0
1881,2.8587281875047665e-08,0.0
1882,9.317538740560849e-09,0.0
1883,8.847074184359371e-09,0.0
1884,2.442627788923346e-08,0.0
1885,3.738468579150833e-08,0.0
1886,7.098810428374236e-09,0.0
1887,3.852065688647599e-08,0.0
