year,souvenirs_NOUN heureux_ADJ
1800,3.144164395507687e-08
1801,3.5717739876872656e-08
1802,8.951360541686881e-09
1803,1.950339267864365e-08
1804,9.887403784603066e-09
1805,1.7057265822018053e-08
1806,3.7461699520235925e-08
1807,5.693910232196231e-09
1808,0.0
1809,4.518061036407062e-09
1810,7.020380277111826e-09
1811,2.5070767684098882e-09
1812,4.800974906515876e-08
1813,1.7254450312975678e-08
1814,5.034683425719777e-08
1815,2.1577788444915313e-08
1816,2.3176038865813098e-09
1817,3.269434145636296e-08
1818,4.410835785506606e-08
1819,1.3456364911235141e-08
1820,2.8479554714522237e-08
1821,5.9168927535324656e-09
1822,2.90742860897808e-08
1823,2.668325471688604e-08
1824,1.431589158329416e-08
1825,4.4027217427355936e-09
1826,4.403992281964975e-09
1827,1.935627302884768e-08
1828,1.1006761724274838e-08
1829,1.1145129263923081e-08
1830,3.235419043789989e-08
1831,1.5591206103948707e-09
1832,3.9236911608675484e-08
1833,3.59092489077284e-08
1834,3.267085801894609e-08
1835,5.294161553592858e-09
1836,8.064899859050456e-09
1837,9.045257876039159e-09
1838,1.4517972157790382e-08
1839,2.0974425751774106e-08
1840,5.732719632334238e-09
1841,8.988768396278601e-09
1842,2.2808102073668124e-08
1843,5.906911071384968e-09
1844,1.975882080174074e-08
1845,1.9530798311961917e-08
1846,2.4588905134237393e-08
1847,5.9325460100012606e-09
1848,1.367687652020777e-08
1849,1.005529792763582e-08
1850,2.308258650884909e-08
1851,5.159551230704551e-09
1852,1.6927418133860783e-08
1853,2.5082113275232132e-08
1854,1.0910895298366086e-08
1855,1.963566731433275e-08
1856,2.3815069916111042e-08
1857,3.856392183365642e-08
1858,4.991549573674092e-08
1859,2.4951648525117776e-08
1860,3.295572481576414e-08
1861,3.5369728479395235e-08
1862,2.0782737308877586e-08
1863,2.0477945561481192e-08
1864,2.9247840149793092e-08
1865,1.9298061815220535e-08
1866,1.897589108068587e-08
1867,3.4454963326879806e-08
1868,2.865126980111654e-08
1869,1.6115612955225345e-08
1870,1.4335121978348297e-08
1871,1.274541228113435e-08
1872,2.660829245826335e-08
1873,7.183205141814142e-09
1874,1.4936522574338085e-08
