year,ses_DET oies_NOUN,ses_DET pois_NOUN
1800,1.8864987794131594e-08,7.231578535993322e-08
1801,5.714838380299625e-08,4.286128785224719e-08
1802,4.475680270843441e-09,1.3427040812530322e-08
1803,0.0,0.0
1804,7.4155526164076946e-09,3.707776552452913e-08
1805,5.685755422035754e-09,1.421438877713399e-08
1806,1.729001475325731e-08,6.339671898558663e-08
1807,2.562259604488304e-08,2.8469551160981155e-09
1808,6.798221985349073e-09,6.798221985349073e-09
1809,5.421673421324158e-08,9.036122072814123e-09
1810,4.680253518074551e-09,1.6380887757350138e-08
1811,2.757784400841956e-08,3.259199798932855e-08
1812,1.0668832928217853e-08,2.6672082320544632e-09
1813,0.0,0.0
1814,9.440030979135372e-09,1.2586708120210233e-08
1815,1.0788894222457657e-08,8.091670444798638e-09
1816,2.3176038865813098e-09,0.0
1817,1.556873407970727e-09,9.341240669868967e-09
1818,3.5763532135746345e-09,4.768470951432846e-09
1819,0.0,1.9666995143552413e-08
1820,1.6613073583471305e-08,7.119888678630559e-09
1821,9.861488403650753e-09,2.2681422962023134e-08
1822,2.0051231786055723e-09,1.9048670196752937e-08
1823,3.261286707356703e-08,4.941343334508019e-09
1824,1.9368560089105813e-08,0.0
1825,7.044354433105582e-09,1.4088708866211164e-08
1826,3.5231937367541377e-09,2.1139161532346407e-08
1827,2.8573547083965423e-08,6.452091305675367e-09
1828,1.3758452155343548e-08,1.1923991571904935e-08
1829,8.57317605795771e-10,3.3435387791769244e-08
1830,7.305785310052215e-09,2.1917355041978226e-08
1831,1.091384405071949e-08,6.236482219534878e-09
1832,1.7588959622116818e-08,1.0823975604701275e-08
1833,8.108539617524002e-09,4.6334514003376626e-09
1834,6.534171426153534e-09,2.146942135183849e-08
1835,2.0420337421001022e-08,1.5126175867408165e-08
1836,1.68018754465038e-08,2.6882999992761114e-08
1837,9.74104708006962e-09,1.3219992989199625e-08
1838,8.2058102535143e-09,1.009945904684173e-08
1839,7.690622583211848e-09,9.788065469251706e-09
1840,8.280594876453051e-09,1.1465439264668476e-08
1841,2.5682194149112547e-09,1.6051370899106132e-08
1842,4.695785538189057e-09,6.037438549100216e-09
1843,7.088293507706567e-09,5.906911071384968e-10
1844,1.0977122322231025e-08,1.2074834687680891e-08
1845,1.339254718235594e-08,2.120486702894553e-08
1846,1.5807152919933287e-08,2.6930706553685013e-08
1847,7.011190739092399e-09,1.294373674909366e-08
1848,1.045878850192139e-08,9.65426583121598e-09
1849,1.5920887719289567e-08,7.541473445726865e-09
1850,8.146795238417326e-09,2.987158254086353e-08
1851,1.870337307252612e-08,6.4494389828695375e-09
1852,1.3672145193766028e-08,8.463708844885787e-09
1853,1.2541057081705276e-08,2.5679307569248522e-08
1854,2.0782657927931325e-08,1.1430461910322265e-08
1855,1.3798036491152743e-08,1.2205955357558196e-08
1856,2.174419400091665e-08,1.346069211649592e-08
1857,1.4644527368545823e-08,3.4658715009072694e-08
1858,7.34051397444091e-09,1.957470441293907e-08
1859,2.6479302084325695e-08,3.411756188675952e-08
1860,2.380135608048839e-08,1.9224172476128842e-08
1861,2.5466203590340797e-08,2.8767378090766016e-08
1862,1.3553958982948089e-08,1.7168348520613108e-08
1863,2.2975255475898848e-08,1.5982786649715308e-08
1864,1.821996631345968e-08,1.3904710605139314e-08
1865,2.7299698113214532e-08,2.3534221293974866e-08
1866,7.784980660119345e-09,1.459683868221262e-08
1867,5.338092634588065e-09,7.76449837758264e-09
1868,1.1361710683388537e-08,7.903798615593871e-09
1869,1.9534076356464425e-08,1.855737197242746e-08
1870,7.454262984651905e-09,1.3761717099214366e-08
1871,2.230447138096281e-08,1.5931766128574054e-08
1872,3.205089793567595e-08,6.047339295989218e-09
1873,8.979006871356887e-09,1.5563610844537834e-08
1874,3.226288780577846e-08,2.2703515512034755e-08
1875,3.2612703648737806e-08,9.7265964171811e-09
1876,5.441413541973361e-09,1.6324239737741664e-08
1877,2.22653372405901e-08,1.9172929910382663e-08
1878,1.509772218355465e-08,1.0266450745088918e-08
1879,7.94212251520321e-09,7.331190210457805e-09
1880,1.3477476912271413e-08,7.701415505323439e-09
1881,2.6495528548942104e-08,1.1156012114099667e-08
1882,1.5972924316542958e-08,2.5956001792337702e-08
1883,1.7062215640351042e-08,1.6430281413182257e-08
1884,1.8484752395409032e-08,1.9144920315739e-08
1885,1.933690724209569e-08,2.0626033769843843e-08
1886,3.033128009866104e-08,1.1616235084943582e-08
1887,1.828098916689669e-08,7.834709769838355e-09
1888,2.9800888867725916e-08,1.902184343371971e-08
1889,1.50363277384713e-08,1.3783300722991498e-08
1890,2.3595790488162294e-08,9.176140736144589e-09
1891,1.5298128430707436e-08,1.784781566982474e-08
1892,2.570090096298827e-08,1.0656471260972467e-08
1893,1.539604177480669e-08,1.4164357908796887e-08
1894,1.5753848003896564e-08,1.3233232287745977e-08
1895,1.865770427045277e-08,1.1435367319734269e-08
1896,1.1794058174530164e-08,1.592197840238896e-08
1897,1.5149455578900017e-08,1.1070755867592652e-08
1898,1.4711722506888236e-08,1.4145887350380804e-08
1899,3.8693048765026106e-08,2.1557555740514545e-08
1900,2.855079306307573e-08,4.15284251431558e-09
1901,7.824234593556412e-09,1.7325090695408107e-08
1902,2.160524809058373e-08,5.4013122863239005e-09
1903,1.7820727560291516e-08,1.4580594509538969e-08
1904,2.0961038238453966e-08,9.13686282189019e-09
1905,7.225062881310862e-09,5.676835002077496e-09
1906,3.806696469155213e-08,7.201858220895474e-09
1907,4.525702124169584e-08,1.5428530231176296e-08
1908,2.1610112144188065e-08,9.331639461152008e-09
1909,2.2003934396774838e-08,8.251475502873973e-09
1910,2.672075316567657e-08,1.656686721140943e-08
1911,3.724261865567513e-08,1.2236860968961594e-08
1912,1.8753916364300238e-08,5.2094213387476884e-09
1913,2.227255713194154e-08,7.424185766158331e-09
1914,3.281404303834279e-08,3.348371857558874e-09
1915,7.068456930880984e-09,7.068456930880984e-09
1916,2.966614687238689e-08,1.2086208478478966e-08
1917,1.315970976634162e-08,1.4256351654751143e-08
1918,1.9526840588923733e-08,3.44591288836682e-08
