year,leurs_DET eaux_NOUN,leurs_DET pots_NOUN
1800,2.37384421630793e-06,2.2009151834367913e-08
1801,2.4002320841987057e-06,4.0480102825313224e-08
1802,2.9673759058823634e-06,1.6336232988578558e-07
1803,2.1278201174368405e-06,5.655983770225248e-08
1804,3.220821721328093e-06,1.1864884186252311e-07
1805,2.1748014358280443e-06,1.4782963830839435e-07
1806,1.948008243601862e-06,3.1698359492793315e-08
1807,2.334503134804322e-06,5.978605699397121e-08
1808,2.0893201906346803e-06,9.064295980465431e-09
1809,2.069272007076961e-06,9.93973401364201e-08
1810,2.2114197371081445e-06,4.680253340438867e-08
1811,1.9028712952007254e-06,4.888799960411916e-07
1812,2.02974537266698e-06,2.6672083208723052e-08
1813,1.9785103546610117e-06,0.0
1814,1.9540865867639923e-06,1.0069366851439554e-07
1815,1.801745327156823e-06,4.8550024445148665e-08
1816,1.5921939109375671e-06,1.1588019432906549e-08
1817,1.3046598770216633e-06,4.670620157298799e-08
1818,1.6534673044077408e-06,4.768470951432846e-09
1819,1.3715141626846616e-06,3.415846450138815e-08
1820,1.664867284034699e-06,1.0679833017945839e-08
1821,1.3411623509540505e-06,6.903041693817613e-09
1822,1.7695212051194176e-06,4.110502516141423e-08
1823,1.4280482449890997e-06,9.882686669016039e-09
1824,1.7524335866880847e-06,1.1789557774477544e-08
1825,1.8350543555811782e-06,3.0819052199149155e-08
1826,1.8408687090243347e-06,3.6112734136395375e-08
1827,1.3263655525008744e-06,4.516463647519231e-08
1828,1.5528705574752166e-06,4.494427585655103e-08
1829,1.8449474730175552e-06,7.11573591161141e-08
1830,1.7147720896559804e-06,3.652892388572582e-08
1831,1.8849768714801485e-06,2.494592976631793e-08
1832,1.4341768022063661e-06,6.088486514954639e-08
1833,2.2703911355392847e-06,4.749287541017111e-08
1834,1.9247802338639985e-06,4.853956059314157e-08
1835,1.8537128951834347e-06,4.61348363955949e-08
1836,1.6707784595837438e-06,3.36037508930076e-08
1837,1.6810264291677868e-06,5.357576071673975e-08
1838,1.8191650958954142e-06,4.7341213615936795e-08
1839,1.5234424424193094e-06,2.307186797168015e-08
1840,1.603250655790589e-06,2.229391071750797e-08
1841,1.357303966997847e-06,3.0818632978935057e-08
1842,1.4758182649288187e-06,6.104521332872537e-08
1843,1.3916682206627229e-06,1.8311423488626133e-08
1844,1.4314167691154012e-06,3.677336124496833e-08
1845,1.4346766352701934e-06,4.2409730838244286e-08
1846,1.3178481932385466e-06,2.6345256642912318e-08
1847,1.2911377176294536e-06,3.074137566727586e-08
1848,1.242986698457571e-06,2.413566591030758e-08
1849,1.4136072472581418e-06,2.513824526317876e-08
1850,1.3306432302684357e-06,1.9009188889640427e-08
1851,1.3118157955460674e-06,4.6435957301582675e-08
1852,1.3424744675916145e-06,4.6224872818356744e-08
1853,1.461928928137013e-06,3.2248433257109355e-08
1854,1.3550292843333978e-06,3.16935526711859e-08
1855,1.4100531942062844e-06,3.661786607267459e-08
1856,1.3900753312867664e-06,8.697678255398245e-08
1857,1.4498081668534724e-06,6.053070933376148e-08
1858,1.3071008506670978e-06,4.697928801533635e-08
1859,1.2455456204207849e-06,4.073738679721828e-08
1860,1.2436208720600916e-06,4.027921818305913e-08
1861,1.342634897483208e-06,4.9517618727623613e-08
1862,1.3874736257690756e-06,4.472806480748659e-08
1863,1.2971030667330297e-06,7.242200439350199e-08
1864,1.458556289080093e-06,4.17141343689309e-08
1865,1.2684945289720417e-06,3.2006543193574544e-08
1866,1.2431641103205493e-06,3.600553455385125e-08
1867,1.1714686873887104e-06,5.774845845962773e-08
1868,1.3061026660210473e-06,3.902500367303219e-08
1869,1.3317356568620653e-06,2.3929244363785074e-08
1870,1.406562120109811e-06,4.0711746862598375e-08
1871,1.1173478124959502e-06,2.442870794538976e-08
1872,1.1465755296313773e-06,3.0236694925633856e-08
1873,1.2187505653571407e-06,2.8732820567256567e-08
1874,1.3251683341763965e-06,2.9275584623178474e-08
1875,1.2764727213010474e-06,4.005068987567029e-08
1876,1.4395560707924915e-06,3.143927784776679e-08
1877,1.478171014923646e-06,5.1952454782622226e-08
1878,1.2029865033014175e-06,2.4156355138416075e-08
1879,1.3183924245652179e-06,3.4823152361695975e-08
1880,1.2457039346713827e-06,3.273101611966922e-08
1881,1.3680059565146507e-06,5.787181223126936e-08
1882,1.1893173095245402e-06,5.923292789589141e-08
1883,1.2802980187132107e-06,3.728409936343269e-08
1884,1.1658596577035496e-06,2.3766109080725073e-08
1885,1.3155542504250661e-06,4.447488777259423e-08
1886,1.0938621457512454e-06,4.130216879616455e-08
1887,1.1477849781726945e-06,4.7661149693567495e-08
1888,1.0512739123669235e-06,3.360525724360741e-08
1889,1.122712486534283e-06,4.385595886446936e-08
1890,1.1135903026371352e-06,3.0150179242127706e-08
1891,9.873666328985564e-07,3.378336543846672e-08
1892,1.2223599092919812e-06,3.949162774574688e-08
1893,1.1091308387278787e-06,3.87980243488073e-08
1894,1.182798868626378e-06,6.805662167153059e-08
1895,1.0255718585483464e-06,4.634333095054899e-08
1896,1.116897330177835e-06,4.0689499769541726e-08
1897,9.142113661653184e-07,3.96216535136773e-08
1898,1.0864041177782724e-06,3.055511754723739e-08
1899,9.535072944544254e-07,4.0351324059884064e-08
1900,1.0812963360251615e-06,2.7512581213251508e-08
1901,1.02273922308882e-06,3.4650181390816215e-08
1902,8.376944222732163e-07,3.191684572190212e-08
1903,9.909404106167585e-07,3.2401322069830485e-08
1904,9.486213539133814e-07,3.278521276683932e-08
1905,1.0636324176971357e-06,4.1286072782753536e-08
1906,1.0067168751959343e-06,4.423998589686562e-08
1907,1.030111567601466e-06,4.6799875974556926e-08
1908,1.0613511740587e-06,3.781769564170645e-08
1909,8.565031279772484e-07,3.300590023513905e-08
1910,1.091810023723383e-06,2.939282950364941e-08
1911,9.816089772129999e-07,3.830669548232635e-08
1912,8.710152243907032e-07,3.438218010298755e-08
1913,8.452965651883915e-07,4.348451554392341e-08
1914,9.187932459298054e-07,2.9465672568562695e-08
1915,8.505709878647849e-07,5.183535378705528e-08
1916,8.097759307545971e-07,3.625862632361532e-08
1917,8.246751193041746e-07,4.496234140560773e-08
1918,7.546549269932257e-07,5.054005569604669e-08
1919,6.832223444774854e-07,3.867296488602179e-08
1920,6.565124976987136e-07,5.5277292076993945e-08
1921,7.345565116168018e-07,2.423279099605935e-08
1922,8.366578896357169e-07,3.24629176873259e-08
1923,7.484243660371703e-07,2.1231896241147297e-08
1924,8.792087937692372e-07,3.867487308184536e-08
1925,9.579412996174597e-07,4.9491799103407175e-08
1926,7.612812815693815e-07,4.124071362188175e-08
1927,7.726413127073783e-07,4.2367055641534535e-08
1928,8.032506730870637e-07,4.913197670930458e-08
1929,8.656096017745085e-07,3.4535258208734376e-08
1930,7.100435919227266e-07,2.2057568216382606e-08
1931,7.00288884658562e-07,4.5621426636444085e-08
1932,8.121016694673244e-07,3.1782654730250215e-08
1933,6.744749416753848e-07,2.982372038218273e-08
1934,6.110605959008808e-07,3.5944740517379614e-08
1935,6.259412757003702e-07,2.752705441366743e-08
1936,7.068708445245875e-07,2.182448710641438e-08
1937,7.013253018328669e-07,2.6441348666139675e-08
1938,6.210337772927232e-07,3.630260181353151e-08
1939,7.310556071615792e-07,2.5999884911698246e-08
1940,7.50591727438632e-07,3.803674530900025e-08
1941,7.644391892824842e-07,1.1806010391524069e-08
1942,7.555187195862345e-07,2.7307905936524435e-08
1943,6.067761706418651e-07,2.6129116648121453e-08
1944,5.815866721547991e-07,2.8918675454292497e-08
1945,5.315549813644793e-07,1.089252066321933e-08
1946,5.554520754458281e-07,4.037120149291695e-08
1947,4.816031857757253e-07,3.099426448827103e-08
1948,4.7510149592255857e-07,3.696441908118686e-08
1949,6.253434357006427e-07,2.0615717910565934e-08
1950,6.26422774985258e-07,2.9779011700981073e-08
1951,6.51411619756459e-07,3.838104589704017e-08
1952,6.35851671759724e-07,2.4253048791500476e-08
1953,6.572034489948919e-07,2.1547654327491728e-08
1954,5.482392735345343e-07,2.8340354063516315e-08
1955,5.302868579803999e-07,2.3464020060259827e-08
1956,5.119310024781498e-07,3.4884565680570745e-08
1957,5.48655819443411e-07,3.268964121616591e-08
