year,quels_PRON ont_VERB,quels_DET ponts_NOUN
1800,5.973912564627426e-07,6.288328968651058e-09
1801,8.000773732419475e-07,0.0
1802,5.102275508761522e-07,0.0
1803,4.5637936807452206e-07,0.0
1804,5.413353534322596e-07,0.0
1805,4.0368863096773566e-07,0.0
1806,6.426122070024576e-07,0.0
1807,5.01064093327841e-07,0.0
1808,4.940041264944739e-07,0.0
1809,4.7439640837865227e-07,0.0
1810,6.996979351470145e-07,0.0
1811,4.613021360455605e-07,0.0
1812,5.147711874542438e-07,2.400487453257938e-08
1813,4.6011867027573317e-07,0.0
1814,6.38775475181319e-07,0.0
1815,4.693168875746778e-07,0.0
1816,5.029200593753558e-07,0.0
1817,4.7017577031738256e-07,0.0
1818,5.722165212773689e-07,0.0
1819,5.154822915187651e-07,0.0
1820,5.363649577816432e-07,0.0
1821,6.429690273535016e-07,0.0
1822,5.734652290811937e-07,0.0
1823,6.937646332971781e-07,0.0
1824,5.498986723750932e-07,0.0
1825,5.071935262890293e-07,0.0
1826,5.205518789352936e-07,0.0
1827,6.45209127014823e-07,0.0
1828,5.118144059679253e-07,0.0
1829,6.146967166387185e-07,0.0
1830,6.710885571692415e-07,0.0
1831,5.753154965759677e-07,0.0
1832,5.006088770187489e-07,0.0
1833,4.587117032883725e-07,0.0
1834,5.992768663531933e-07,0.0
1835,6.753837240580651e-07,0.0
1836,5.746241313886458e-07,0.0
1837,6.679575363932599e-07,0.0
1838,5.863998566724149e-07,3.787297142565649e-09
1839,6.348259660171607e-07,0.0
1840,6.427015932786162e-07,0.0
1841,6.29213772640469e-07,0.0
1842,5.661775688281523e-07,1.341653010911159e-09
1843,7.448614951499621e-07,0.0
1844,5.274507515196092e-07,1.097712254427563e-09
1845,7.070148839716239e-07,5.580227946389016e-10
1846,6.949293265279266e-07,0.0
1847,7.199953699910111e-07,0.0
1848,7.771684238377929e-07,4.82713291560799e-09
1849,9.158700464695357e-07,0.0
1850,7.05376706378047e-07,0.0
1851,6.642922016908415e-07,7.739326512989919e-09
1852,6.158975978109993e-07,7.812654523320361e-09
1853,5.965959957165978e-07,5.971931837933653e-10
1854,5.964622857845825e-07,0.0
1855,7.594227042773127e-07,0.0
