year,belles_ADJ heures_NOUN,belles_ADJ peurs_NOUN
1800,6.288328791015374e-08,3.144164484325529e-09
1801,9.762848662830947e-08,0.0
1802,3.3567602031325805e-08,2.2378401354217203e-09
1803,5.851017448321727e-09,0.0
1804,7.662737822045074e-08,0.0
1805,5.1171799242411e-08,0.0
1806,7.492339904047185e-08,0.0
1807,6.263301344233696e-08,0.0
1808,2.7192887941396293e-08,0.0
1809,2.0331274663831778e-08,0.0
1810,7.488405318056834e-08,0.0
1811,7.019815129183371e-08,0.0
1812,1.4402924719547627e-07,0.0
1813,5.751483289628823e-09,0.0
1814,1.5733385705374303e-08,0.0
1815,8.091670444798638e-09,0.0
1816,3.9399267848239106e-08,0.0
1817,2.1796228155679387e-08,0.0
1818,4.053200264308998e-08,1.1921177378582115e-09
1819,2.5877625930981196e-08,0.0
1820,3.322614716694261e-08,0.0
1821,4.141825016290568e-08,0.0
1822,1.2030739071633434e-08,0.0
1823,4.15072847204101e-08,0.0
1824,1.7684335773537896e-08,0.0
1825,5.459374641247905e-08,0.0
1826,8.807984341885344e-09,0.0
1827,1.3825909306319772e-08,0.0
1828,5.5951038746560045e-08,0.0
1829,2.571952872898464e-09,1.714635211591542e-09
1830,1.669893712197279e-08,0.0
1831,4.365537620287796e-08,0.0
1832,8.794479811058409e-08,0.0
1833,1.030942939905799e-07,1.2741991461950875e-08
1834,8.587768762780001e-08,6.534171426153534e-09
1835,3.554651328840919e-08,2.0420337421001022e-08
1836,6.25029770162655e-08,1.3441500135158435e-09
1837,5.914207301671581e-08,1.3915781860163179e-09
1838,6.185918977053007e-08,1.8936485712828244e-09
1839,1.1605848460050083e-07,0.0
1840,6.242294903202605e-08,6.369688665408546e-10
1841,7.89727430117182e-08,0.0
1842,6.909512872965706e-08,6.708265054555795e-10
1843,7.14736210216671e-08,0.0
1844,6.860701706745687e-08,1.097712254427563e-09
1845,4.575786827221151e-08,0.0
1846,3.33706573485415e-08,0.0
1847,2.9123408573639153e-08,2.1572894581822766e-09
1848,5.148941895072312e-08,0.0
1849,4.273501508222921e-08,0.0
1850,6.788995854378754e-08,6.788996032014438e-10
1851,5.804495017969202e-08,1.2898877521649865e-09
1852,9.17986930915049e-08,1.3021090872200602e-09
1853,7.464914730803685e-08,5.971931837933653e-10
1854,4.9878379648760074e-08,1.558699391779328e-09
1855,8.491099379170919e-08,2.1227748447927297e-09
1856,6.885661552047395e-08,1.5531567143511893e-09
1857,1.4498082046010552e-07,2.4407544874094356e-09
1858,1.1940569155655112e-07,0.0
1859,1.227213797250215e-07,6.619825576592575e-09
1860,1.6157458926358004e-07,9.154367819341758e-10
1861,1.1648430486843608e-07,2.357981809808507e-09
1862,1.2017843520339966e-07,1.3553959066214816e-09
1863,1.1587520098998993e-07,4.994620828036034e-10
1864,9.205877793405648e-08,4.794727948009836e-10
1865,1.0402125916186833e-07,9.41368871743009e-10
1866,9.439289350154922e-08,1.4596839292835284e-09
1867,1.1986444548028885e-07,3.88224918879132e-09
1868,9.286963242871593e-08,2.4699371437009177e-09
1869,1.0548401485621639e-07,0.0
