year,quels_DET airs_NOUN,quels_DET pères_NOUN
1800,9.432493897065797e-09,3.144164484325529e-09
1801,4.7623651688866175e-09,7.143547975374531e-09
1802,0.0,2.2378401354217203e-09
1803,0.0,0.0
1804,1.730295684509997e-08,4.943701892301533e-09
1805,8.528633133053631e-09,0.0
1806,2.881669125542885e-09,5.76333825108577e-09
1807,2.562259604488304e-08,3.131650538890085e-08
1808,1.1330369975581789e-08,2.4926814390369145e-08
1809,2.259030518203531e-09,0.0
1810,7.020380277111826e-09,2.3401267590372754e-09
1811,3.259199843341776e-08,1.0028307073639553e-08
1812,2.6672082320544632e-09,0.0
1813,2.8757416448144113e-09,0.0
1814,3.1466771410748606e-09,0.0
1815,5.1247248222807684e-08,0.0
1816,1.1588019432906549e-08,1.3905623319487859e-08
1817,2.1796227045456362e-08,1.2454987263765815e-08
1818,2.384235475716423e-09,1.1921177378582115e-09
1819,1.9666995143552413e-08,5.175525008560555e-09
1820,4.746592452420373e-09,8.306536791735653e-09
1821,8.875339130298698e-09,1.5778381046160916e-08
1822,4.010246357211145e-09,3.0076847679083585e-09
1823,8.894418535021487e-09,0.0
1824,1.0947446504872005e-08,1.2631669044083083e-08
1825,7.924898959288385e-09,1.0566532093747583e-08
1826,3.5231937367541377e-09,0.0
1827,2.7651818612639545e-09,9.217273055917019e-10
1828,5.503380862137419e-09,1.8344601671049787e-08
1829,5.143905579263475e-09,4.286587973467704e-09
1830,1.0436835617966267e-08,2.0873671680021744e-09
1831,7.795603274018958e-09,1.2472964883158966e-08
1832,2.1647950543268735e-08,1.7588959622116818e-08
1833,1.1583628833911064e-08,3.475088550253247e-09
1834,4.667265685043276e-09,9.334531148041947e-09
1835,1.2100940693926532e-08,4.5378527602224494e-09
1836,1.0081124712790768e-08,1.3441500135158435e-09
1837,2.7831562610103333e-09,8.349468672008697e-09
1838,1.8936485712828244e-09,1.8936485712828244e-09
1839,1.5381245721535208e-08,4.894032845648155e-09
1840,3.821813199245128e-09,1.2739377330817092e-09
1841,1.219904222082846e-08,6.420548537278137e-10
1842,1.2074876654111222e-08,9.391571520467323e-09
1843,1.00417489878879e-08,1.1223131313187196e-08
1844,1.2074834687680891e-08,0.0
1845,1.50666157328061e-08,1.395056986597254e-08
1846,8.196301859442201e-09,2.8687056508047704e-08
1847,9.168480197274675e-09,1.0247124926365814e-08
1848,1.769948809737798e-08,2.413566457803995e-09
1849,2.011059585527164e-08,1.6758829879393033e-09
1850,2.7155984128057753e-09,3.394498016007219e-09
1851,1.289887774369447e-08,9.0292140431103e-09
1852,9.114763388495817e-09,6.510545436100301e-09
1853,1.3138249599364826e-08,1.7318602552052198e-08
1854,1.558699391779328e-08,6.234797567117312e-09
1855,1.6982198758341838e-08,1.326734277995456e-08
1856,6.730345836203355e-09,7.248064815001953e-09
1857,1.0739320099872884e-08,5.857810903009408e-09
1858,1.6149130477316476e-08,6.361778992491907e-09
1859,2.34239969643113e-08,6.61982535454797e-09
1860,1.9681890783829203e-08,6.408057529050382e-09
1861,2.0750241080946807e-08,1.3676294985387472e-08
1862,9.487771568394976e-09,1.355395878865906e-09
1863,1.548332440037825e-08,1.8480097119244476e-08
1864,1.9178911903061646e-08,1.102787416940032e-08
1865,2.2592852699787613e-08,6.118897610818408e-09
1866,1.3137154475373336e-08,2.4328065117984465e-09
1867,1.261730986357179e-08,2.426405742994575e-09
1868,6.9158236915001225e-09,5.9278488784286765e-09
1869,1.2697149998075474e-08,1.465055732285947e-08
1870,8.601073187008978e-09,1.204150246181257e-08
1871,0.0,2.54908245622687e-08
1872,1.0280476914203973e-08,6.65207322558814e-09
1873,1.9753814750611554e-08,4.1902030178953e-09
1874,1.3741600746186577e-08,8.364452408482492e-09
1875,9.15444320348513e-09,6.2936798550516926e-09
1876,1.0278225159865428e-08,2.418405919968336e-09
1877,1.855444820009211e-08,1.2369632207409609e-08
1878,1.6909448730118015e-08,3.623453259660181e-09
1879,1.832797580370027e-09,4.276527687530063e-09
1880,1.6686400261534118e-08,1.2835692508872398e-08
1881,9.761510488814906e-09,6.972507515801141e-09
1882,2.1962770269112752e-08,1.3310770263785798e-09
1883,1.8958016156922497e-08,3.791603475633565e-09
1884,1.3203393933736152e-08,5.281357573494461e-09
1885,1.6758653131887513e-08,7.090199316550638e-09
1886,1.5488313298561707e-08,5.808117431449489e-09
1887,1.3057849246322917e-08,1.3057849246322917e-09
1888,6.340614699951175e-09,6.340614699951175e-09
1889,5.6386229019267375e-09,2.506054641582267e-09
1890,3.277193239004106e-09,1.9663159989136147e-09
1891,5.099376032546843e-09,9.561329505913818e-09
1892,5.641661138255927e-09,6.268512375839919e-10
1893,1.23168328869383e-08,1.2316833108982905e-09
1894,7.561846926407156e-09,6.301539290376468e-10
1895,1.1435367985868083e-08,0.0
1896,1.2973464080801023e-08,4.1279202278587945e-09
1897,1.2818770045441852e-08,5.826713556089658e-10
1898,9.053368055234046e-09,1.13167097914868e-09
1899,4.4220627160029835e-09,1.6582735185011188e-09
1900,1.349673794948103e-08,1.5573159428683425e-09
1901,1.1177477832191585e-08,1.1177477832191585e-09
1902,1.1293653123800595e-08,0.0
1903,1.1880484596105134e-08,2.1600881083827517e-09
