year,autres_ADJ airs_NOUN,autres_ADJ pairs_NOUN
1800,6.60274537267469e-08,3.772997425599556e-08
1801,6.429193177837078e-08,6.905429472681135e-08
1802,3.5805442166747525e-08,2.9091921760482364e-08
1803,4.6808139586573816e-08,1.3652374786232713e-08
1804,8.651478111687538e-08,2.471850879537385e-08
1805,3.980028751016107e-08,9.665784261869703e-08
1806,1.2103009794373065e-07,1.0085842205853623e-07
1807,2.8469550272802735e-08,3.4163463169534225e-08
1808,3.172503681980743e-08,9.970725534103053e-08
1809,9.036122294858728e-09,4.743964066022954e-08
1810,9.594519356781461e-08,1.1466621430145096e-07
1811,4.763445815569867e-08,5.0141537144554604e-08
1812,8.801787032552966e-08,6.401299401659344e-08
1813,3.163315653864629e-08,9.489947183638492e-08
1814,1.5733386149463513e-08,1.6362720955953591e-07
1815,1.8880564667256294e-08,2.2656677223231725e-07
1816,5.7940098940889584e-08,9.502176112619054e-08
1817,8.56280379935015e-08,1.1987925252476828e-07
1818,6.079800130009971e-08,1.8597037065859467e-07
1819,7.866798057420965e-08,3.467601850104529e-07
1820,4.390598107306687e-08,1.8511710209168086e-07
1821,5.719663320746804e-08,1.0453177612390618e-07
1822,6.015369535816717e-08,1.2532019866284827e-07
1823,4.249555374258307e-08,1.640526035018297e-07
1824,5.3053010873327366e-08,1.8610659413553776e-07
1825,6.251864448358901e-08,3.081905095569937e-07
1826,5.5490302908189904e-08,4.721079580605192e-07
1827,3.041700225026034e-08,1.9356273506243582e-07
1828,2.7516904310687096e-08,1.9445279031415907e-07
1829,2.4862210068476998e-08,6.061235198195902e-07
1830,5.218418053232199e-08,3.0371192139000414e-07
1831,4.5214498811674275e-08,1.5591206548037917e-07
1832,3.788391467196561e-08,2.597754242827932e-07
1833,7.52935847003755e-08,1.5985407131324791e-07
1834,3.733812548034621e-08,1.1294782398252323e-07
1835,3.6302822081779595e-08,2.1252276383165736e-07
1836,1.0753200108126748e-08,1.7003497632117615e-07
1837,2.99189295560609e-08,1.9412516116812384e-07
1838,4.86036455527028e-08,2.0703890868389863e-07
1839,5.2436064379435265e-08,2.335152657906292e-07
1840,5.159447979963261e-08,2.7708146754790164e-07
1841,2.6966304744746594e-08,7.383630595825252e-08
1842,3.287049921141261e-08,1.791106707393908e-07
1843,2.4809025944705354e-08,1.264078961504822e-07
1844,3.622450606144412e-08,1.920996475224257e-07
1845,4.0177642546268544e-08,1.1104653641069717e-07
1846,1.5807152919933287e-08,1.2470088073257557e-07
1847,2.9123407685460734e-08,8.251631911093682e-08
1848,2.654923214606697e-08,6.114368433784989e-08
1849,2.8490010350878947e-08,6.619738002200393e-08
1850,1.425689166723032e-08,9.233034248268268e-08
1851,3.353708066811123e-08,4.901573480431409e-08
1852,6.640756566866912e-08,1.0091345359342085e-07
1853,3.4040009921909586e-08,1.1406389877066658e-07
1854,2.5458755104068587e-08,1.5379167273010808e-07
1855,3.131092896069276e-08,7.058226358935826e-08
1856,4.711242240773572e-08,1.4340814846747207e-07
1857,2.0502337605421417e-08,2.445636115844252e-07
1858,1.859596826525589e-08,1.0276719342172669e-07
1859,3.258990943777462e-08,1.1813842260011143e-07
1860,2.654766717569146e-08,1.2587256037477346e-07
1861,3.3483342321005694e-08,7.40406340682398e-08
1862,3.7047489076513784e-08,5.783022460903453e-08
1863,2.8469337998160427e-08,3.4962344408473456e-08
1864,1.1986819536957682e-08,9.253824651000997e-08
1865,2.3534221682552925e-08,1.4779491497307617e-07
1866,2.6274308950746672e-08,6.179328693178832e-08
1867,1.0190904120577216e-08,9.99679166113765e-08
1868,2.9639243948054173e-08,1.2448482689109142e-07
1869,1.904572499711321e-08,1.4748227827876548e-07
1870,2.0069171213776826e-08,6.708837219093766e-08
1871,4.354682658913589e-08,7.859671158350068e-08
1872,3.8702971494330995e-08,8.587222133371597e-08
1873,2.3944018323618366e-08,1.2450889758097716e-07
1874,2.6885741633009275e-08,8.902167536462002e-08
1875,3.0324094124623e-08,7.666846357778923e-08
1876,1.4510435741854621e-08,9.794543665009314e-08
1877,3.339800647150781e-08,9.33907180478144e-08
1878,4.227361927178208e-08,9.360587138740328e-08
1879,7.331190321480108e-09,9.04180126326537e-08
1880,4.428314070992201e-08,1.6622221465922848e-07
