year,ces_DET eaux_NOUN,ces_DET pots_NOUN
1800,5.684649579507095e-06,1.9493819181093386e-07
1801,5.643402516852802e-06,2.5478654208654916e-07
1802,6.4516930251556914e-06,3.0434625841735397e-07
1803,6.761826284673589e-06,5.324425913499908e-07
1804,5.571551923821971e-06,4.622361302608624e-07
1805,5.142765701293683e-06,2.729162549286457e-07
1806,5.339733093023824e-06,1.1238509856070777e-07
1807,6.146575913135166e-06,3.4163463169534225e-07
1808,5.429513464605407e-06,2.0621272511789357e-07
1809,5.292908269893815e-06,6.957814093766501e-07
1810,5.354210145469551e-06,1.8252988454037222e-07
1811,7.263001293722482e-06,5.26486132912396e-07
1812,6.075900216728769e-06,2.587191882952311e-07
1813,5.115944532008143e-06,1.351598559740097e-07
1814,6.104553847308125e-06,9.125363575890333e-08
1815,9.742371503307368e-06,1.2407228666688752e-07
1816,5.126539804223285e-06,2.897004840463069e-07
1817,4.107031941202877e-06,2.0083667351400436e-07
1818,4.881721963556629e-06,1.1205906602640425e-07
1819,4.499601629959216e-06,1.0558071394939361e-07
1820,3.7462481827787997e-06,5.458581409101271e-08
1821,3.828229665714389e-06,1.6863145191337026e-07
1822,5.578252512350446e-06,1.5740216952053743e-07
1823,3.3670313541733776e-06,1.3440454438296e-07
1824,3.2926551227774326e-06,1.642116984612585e-07
1825,3.863828311523321e-06,1.2679837979590047e-07
1826,5.975336648589291e-06,1.3388135933212197e-07
1827,4.558863054171525e-06,1.2535491222820383e-07
1828,3.9239105262822704e-06,1.229088333332129e-07
1829,4.626085683412384e-06,1.6460498475368013e-07
1830,4.214394380142039e-06,1.3046044600173445e-07
1831,5.174721195544407e-06,1.6058941998409182e-07
1832,3.6436207437873236e-06,1.8671357615573925e-07
1833,6.72777133559066e-06,2.1893057322586174e-07
1834,3.985844699627705e-06,1.0828056140610443e-07
1835,4.484911244162504e-06,1.4521128832711838e-07
1836,3.472611638244416e-06,1.1425275481258268e-07
1837,4.68266074449275e-06,1.4194097097686154e-07
1838,4.6318646127474494e-06,1.243495937330863e-07
1839,3.5265000803974544e-06,1.3913035701307308e-07
1840,4.054306941725372e-06,1.1083258399935403e-07
1841,3.982024338711199e-06,1.0722315835209884e-07
1842,3.382978036370332e-06,8.452414235193828e-08
1843,3.3887948802657775e-06,8.033398835038952e-08
1844,3.5006043503926776e-06,1.5093543126454279e-07
1845,3.841986853103663e-06,1.233230371155969e-07
1846,4.366872587979742e-06,1.1006462585783083e-07
1847,3.4074387258442584e-06,7.172987182002544e-08
