year,leurs_DET hommes_NOUN,leurs_DET pommes_NOUN
1800,2.955514704083839e-07,5.345079756580162e-08
1801,2.3811826554975823e-07,2.4288061695187935e-07
1802,3.3343818017783633e-07,2.2378401354217203e-08
1803,2.827991920639761e-07,2.5354410126965377e-08
1804,7.662737999680758e-08,8.898663206302615e-08
1805,1.59201146265886e-07,2.55858996212055e-08
1806,1.123850950079941e-07,2.0171683878800195e-08
1807,1.9643989901396708e-07,2.562259560079383e-08
1808,2.22075257738652e-07,3.6257183921861724e-08
1809,1.8975856619363185e-07,6.777091687837355e-08
1810,1.7316938283329364e-07,1.1700633351097167e-08
1811,3.3093414231188945e-07,6.518399686683551e-08
1812,2.2137828636914492e-07,2.9339290108509886e-08
1813,2.3581081132206805e-07,5.176335093892703e-08
1814,5.632552220191656e-07,9.440030979135372e-09
1815,1.4025562222741428e-07,2.6972235556144142e-08
1816,1.3442102009264545e-07,3.244645441213834e-08
1817,3.2071591249405174e-07,4.0478710161551135e-08
1818,4.6373381223929755e-07,3.9339884239097955e-08
1819,3.219176676338975e-07,2.277231081482256e-08
1820,4.6041947143748985e-07,3.5599443393152796e-09
1821,3.579720271318365e-07,2.465372084259343e-08
1822,4.42129646671674e-07,7.017931125119503e-09
1823,7.303305791239723e-07,1.581229902569703e-08
1824,7.570580224935952e-07,2.3579115548955087e-08
1825,1.1517519566961454e-06,2.1133063299316746e-08
1826,8.402817002206575e-07,3.082794464148719e-08
1827,6.230876579138567e-07,4.5164637085814974e-08
1828,5.796894176346434e-07,2.384798314380987e-08
1829,4.440905301272835e-07,1.8860987438529264e-08
1830,6.408217245734704e-07,5.114049428378564e-08
1831,4.1160783581517535e-07,1.02901957177437e-07
1832,3.964281076740406e-07,4.464889891142576e-08
1833,6.857508090263309e-07,5.90765054653275e-08
1834,5.703398260337167e-07,6.067445035284891e-08
1835,7.358884488439799e-07,1.9664028627630614e-08
1836,7.238247774488116e-07,5.1749775575871126e-08
1837,6.950933322258379e-07,4.6617870452791976e-08
1838,1.0560247243329712e-06,3.1560809077291196e-08
1839,1.020056269229741e-06,5.9427538667833346e-08
1840,9.936713789571172e-07,3.630722389402763e-08
1841,7.698237780573436e-07,4.55858959469424e-08
1842,7.352258784010246e-07,2.2808102073668124e-08
1843,8.092468339881975e-07,3.7213540027281056e-08
1844,1.0450220495616946e-06,3.293136879856107e-08
1845,6.735335320584568e-07,5.4128212856330293e-08
1846,7.546452138740278e-07,5.1519611243833197e-08
1847,7.771635264219867e-07,5.2314271137277046e-08
1848,9.091100565683519e-07,2.8962797882226e-08
1849,6.242664269962006e-07,4.860060531797217e-08
1850,8.493033760714752e-07,5.2275270334689594e-08
1851,8.513259217579616e-07,2.96674187438839e-08
1852,6.530077021338343e-07,3.4505890367242387e-08
1853,6.563153078786854e-07,5.4941771576721976e-08
1854,7.419408856179643e-07,3.169355233811899e-08
1855,6.957394340645351e-07,4.617035287424187e-08
1856,8.066060566136457e-07,3.31340110903966e-08
1857,6.799942404711601e-07,4.4421732070532016e-08
1858,8.338824084574981e-07,4.893676125439228e-08
1859,6.461967778648159e-07,4.4811126365118525e-08
1860,6.50875578767085e-07,3.524431457790911e-08
1861,8.757544840420906e-07,5.0932407735793106e-08
1862,7.477267520705766e-07,3.569209305887e-08
1863,7.12232941291191e-07,7.09236124274426e-08
1864,7.422238663679082e-07,3.3563095747091154e-08
1865,7.733345190885643e-07,5.9306239030831875e-08
1866,9.356573618113373e-07,3.7951781550749075e-08
1867,7.609208356740282e-07,3.639608614491863e-08
1868,1.239414452847143e-06,4.791677810089823e-08
1869,7.388764462490371e-07,3.271957993433716e-08
1870,7.328114235427563e-07,2.695002976338401e-08
1871,1.8406499693313094e-06,6.054071044481191e-08
1872,1.5311863208467003e-06,1.753728340325722e-08
1873,1.1247702715877494e-06,5.327543917132971e-08
1874,1.1764005360959118e-06,3.0470506118263074e-08
1875,8.4735814276371e-07,2.517471980878483e-08
1876,7.853773196231373e-07,3.506688628363008e-08
1877,9.17826682211853e-07,2.5976228057444928e-08
1878,8.949929268808887e-07,2.0532901601200138e-08
1879,1.1803216608541334e-06,5.131833247240536e-08
1880,7.977382967538915e-07,2.6313168977054602e-08
1881,1.13930770684334e-06,2.5101027034679646e-08
1882,9.636997582163076e-07,4.924984930987364e-08
1883,8.512149278772085e-07,4.107570372724467e-08
1884,1.0113799291389114e-06,3.1027975744279956e-08
1885,1.0029408690215291e-06,4.4474886162770844e-08
1886,1.1448444432460292e-06,5.485444226627223e-08
1887,1.0113304345082952e-06,4.374379503069292e-08
1888,1.024009318228991e-06,3.487338173790988e-08
1889,9.773613323105224e-07,2.8193115397812107e-08
1890,1.084095490710979e-06,4.32589507548542e-08
1891,8.707184484535446e-07,3.378336788095737e-08
1892,9.528138562586719e-07,2.5074049503359674e-08
1893,1.0592476664683659e-06,3.202376674948937e-08
1894,1.1273453908167141e-06,3.843939100356408e-08
1895,1.0658966838050787e-06,3.851913255026318e-08
1896,1.085053354943355e-06,4.953504351146165e-08
1897,9.200380644003303e-07,4.894439487035385e-08
1898,9.828562124170048e-07,6.280773967581865e-08
