year,les_DET anneaux_NOUN,les_DET panneaux_NOUN
1800,2.42415086404435e-06,6.131120642294263e-07
1801,1.8716094700721442e-06,3.5479620663636524e-07
1802,1.9334938201609475e-06,4.7665994884482643e-07
1803,3.4716038328497234e-06,3.4521005431997764e-07
1804,2.251856159318777e-06,6.451531149309631e-07
1805,2.8570921983828157e-06,6.169044439729987e-07
1806,1.887493311869548e-06,4.6971207545709603e-07
1807,1.2270376394951654e-06,5.266866907049916e-07
1808,1.5703893154750403e-06,2.7192887053217873e-07
1809,4.0617369734263775e-06,6.528598248678463e-07
1810,1.3502531714948418e-06,4.797259904876228e-07
1811,1.017873181297091e-06,4.688233516958462e-07
1812,2.149769755988018e-06,7.441510874173218e-07
1813,1.3918589445438556e-06,4.687458812213663e-07
1814,3.2662508431258175e-06,9.188297482864982e-07
1815,1.092375526923206e-06,2.7781403089122136e-07
1816,1.0169646287749856e-05,2.5261882186100593e-07
1817,2.687163544123905e-06,4.2502643182729116e-07
1818,1.6856544817756003e-06,3.0518213733898847e-07
1819,1.595096854600797e-06,2.0805611100627175e-07
1820,1.3159927760852952e-06,3.5599443748424164e-07
1821,1.836209136740763e-06,4.210855486519449e-07
1822,1.7344315352829653e-06,2.7169419070105505e-07
1823,1.5792533361036476e-06,4.822751158428673e-07
1824,1.7692757268150672e-06,3.528446370637539e-07
1825,1.6290070163904602e-06,8.972746385893515e-07
1826,1.4533174379494085e-06,3.170874229851961e-07
1827,1.6434397664966127e-06,4.193859268752931e-07
1828,1.8968318613588053e-06,5.888617309324218e-07
1829,1.6186156486241998e-06,5.169625136858258e-07
1830,2.0769303432643937e-06,7.577142824288785e-07
1831,1.7056779881841067e-06,4.864456393249839e-07
1832,2.862941585135559e-06,8.672710087864743e-07
1833,2.580832529019972e-06,7.355603841574521e-07
1834,2.0638647981741087e-06,8.289063444522071e-07
1835,2.1562364054261707e-06,5.937024170066252e-07
1836,1.8186350132509688e-06,4.684362870932546e-07
1837,2.189648256489818e-06,5.962912297263756e-07
1838,2.4945663597009116e-06,4.5763174938429074e-07
1839,1.6101367776855113e-06,5.921779333561972e-07
1840,2.2701571253946895e-06,5.56073835866755e-07
1841,1.6706267231825223e-06,6.677370407714989e-07
1842,1.8105607750840136e-06,5.319654121649364e-07
1843,1.5783266178459598e-06,7.365918150981088e-07
1844,2.079067016325098e-06,8.836583411664378e-07
1845,1.801297585757311e-06,8.677254186295613e-07
1846,1.931985437408912e-06,7.394235410629335e-07
1847,2.4393550432932898e-06,7.750062138711655e-07
1848,1.5060654448006972e-06,6.235046754454743e-07
1849,2.0655257628732215e-06,7.256573297809155e-07
1850,2.4087357957114364e-06,7.067344967026656e-07
1851,1.760696818564611e-06,8.648697544799688e-07
1852,2.864639910171718e-06,7.981928575873098e-07
1853,2.1725887791035348e-06,7.566437432160456e-07
1854,1.9348654092254947e-06,6.671233094834861e-07
1855,1.7889684613692225e-06,8.379653877454984e-07
1856,1.7835417054357094e-06,8.381869562867905e-07
1857,2.1952146340709078e-06,7.18558112566825e-07
1858,3.655576080063838e-06,9.498625388459914e-07
1859,2.0653854875263278e-06,6.497613043165984e-07
1860,2.2762334594972344e-06,8.444904153748212e-07
1861,1.8321519092978633e-06,7.111673241411154e-07
1862,2.006437711088438e-06,1.0585641732063777e-06
1863,1.4774088299418509e-06,9.709542609925848e-07
1864,2.1235849629874792e-06,8.385979270997268e-07
1865,2.1910359748744668e-06,6.683719178113279e-07
1866,2.700415166145831e-06,8.193692337954417e-07
1867,2.155133543624288e-06,1.1132349868603342e-06
1868,2.987141925814285e-06,1.1628464022805929e-06
1869,2.5716611276038748e-06,8.282448362706418e-07
1870,2.3475196115896324e-06,1.1175661143170146e-06
1871,2.0063404235770577e-06,9.728998122682242e-07
1872,2.7890328055946156e-06,7.420085097464835e-07
1873,2.7248291871728725e-06,9.344152900325753e-07
1874,2.8391342539180187e-06,8.42419908053671e-07
1875,2.069476366273193e-06,1.2421435116038992e-06
1876,2.273301532795813e-06,9.85500420824792e-07
1877,2.3582703221336487e-06,1.055748086287167e-06
1878,2.4591170131316176e-06,1.1806418456217216e-06
1879,2.118103083148526e-06,8.363666523791835e-07
1880,2.182709437192898e-06,7.964547279470935e-07
1881,2.6460666049388237e-06,1.0110135946206356e-06
1882,2.415904816643888e-06,9.590410030568819e-07
1883,2.4487437713105464e-06,1.023100963948309e-06
1884,3.0480034070023976e-06,9.308392776574692e-07
1885,2.4783469143585535e-06,1.2124240384991936e-06
1886,2.2219275876977918e-06,1.167431619819581e-06
1887,2.331479009853865e-06,9.316775333445548e-07
1888,2.439234577877869e-06,1.0049874106243806e-06
1889,2.394535329131031e-06,9.566863496957012e-07
1890,1.8227748768140373e-06,1.0447692062598435e-06
1891,2.18763227621821e-06,9.363729560618594e-07
1892,2.0259832211877438e-06,9.584555584751797e-07
1893,2.2231883178847056e-06,8.837327598598677e-07
1894,1.9005442339903311e-06,1.0870155051634356e-06
1895,1.5070611283363178e-06,9.762192689777294e-07
1896,1.7472896871595367e-06,8.609662387470962e-07
1897,2.2450328174272727e-06,1.010934781220385e-06
1898,1.8361361924235098e-06,1.036044764646249e-06
1899,1.70138858379687e-06,1.117123645144602e-06
1900,1.69020694329447e-06,1.246891017103735e-06
1901,1.6140278233933714e-06,1.1591044284386953e-06
1902,3.637047200300003e-06,2.2243585249270836e-06
1903,1.4337585128032515e-06,1.2199097341181186e-06
1904,1.7644894398927136e-06,1.0147292357487459e-06
1905,1.5554528260963707e-06,1.114723957584829e-06
1906,1.4311121105947677e-06,1.0468415609921067e-06
1907,1.4096533931251543e-06,1.2630823533754665e-06
1908,1.4837306849813103e-06,1.26370041186874e-06
1909,1.4896663032004653e-06,1.025383355113263e-06
1910,1.5583543415687018e-06,1.1420450221066858e-06
1911,1.5019415968708927e-06,1.133239706518907e-06
1912,1.4727033601502626e-06,1.084080579971669e-06
1913,1.7340775855245738e-06,1.199536256990541e-06
1914,1.493373844141388e-06,1.3152404392258177e-06
