year,avions_VERB assez_ADV,avions_VERB passé_VERB
1800,8.174827570428533e-08,3.3328143445032765e-07
1801,7.381665767525192e-08,2.6669243879950955e-07
1802,7.384872446891677e-08,3.60292261802897e-07
1803,7.801356893821776e-09,1.326230716358623e-07
1804,3.213406074564773e-08,1.9527622896475805e-07
1805,2.2743021688143017e-08,2.8144489760961733e-07
1806,6.051504897186533e-08,3.2851028208824573e-07
1807,2.8469550272802735e-08,3.1316506010625744e-07
1808,6.798222074166915e-08,1.0877155176558517e-07
1809,2.9367397402779716e-08,2.620475356707175e-07
1810,2.574139479349924e-08,3.416585059312638e-07
1811,7.521229861140455e-09,1.504246114336638e-07
1812,2.6672083208723052e-08,1.7336853375127248e-07
1813,3.738464116054274e-08,4.1410680751141626e-07
1814,8.810695817373926e-08,2.7061423679697327e-07
1815,1.3486118000116676e-08,1.4295284245235962e-07
1816,4.6352077731626196e-09,2.6652443807506643e-07
1817,3.113746771532533e-08,1.6502858102285245e-07
1818,5.841376804482934e-08,2.4319200520039885e-07
1819,4.5544620519422097e-08,1.7182742340082768e-07
1820,2.4919611263385377e-08,1.5189095847745193e-07
1821,7.297501269931672e-08,2.98803087162014e-07
1822,7.017931125119503e-08,2.556532194830652e-07
1823,6.028439258898288e-08,3.063632902922109e-07
1824,6.400046004273463e-08,2.2821215850399312e-07
1825,1.937197424695114e-08,2.0164463876426453e-07
1826,4.051672775062798e-08,2.1491482016244845e-07
1827,4.147772969531616e-08,1.9909309401100472e-07
1828,4.769596628761974e-08,2.1738354405442806e-07
1829,4.6295149047637096e-08,2.563379553066625e-07
1830,6.366470017837855e-08,3.350224346831965e-07
1831,5.76874619184764e-08,3.663933512143558e-07
1832,5.141388470519814e-08,2.8683535902018775e-07
1833,8.108539617524002e-08,6.104572207732417e-07
1834,5.3206825612051034e-08,3.472445371244248e-07
1835,1.0361430469174593e-07,4.09919380217616e-07
1836,5.9142600150607905e-08,2.130477838591105e-07
1837,2.852735292435682e-08,2.0456199933960306e-07
1838,2.7142295522253335e-08,1.559103992576638e-07
1839,3.0063343814390464e-08,1.6919369727474987e-07
1840,4.968357103507515e-08,1.4650284185790952e-07
1841,4.55858959469424e-08,2.3820234673621599e-07
1842,3.957876515414682e-08,1.583150606165873e-07
1843,2.3627643841450663e-08,1.7543526098506845e-07
1844,4.006649589882727e-08,1.6136370106778486e-07
1845,3.4039391749729475e-08,1.2109094882362115e-07
1846,3.454155717008689e-08,1.4577707929674943e-07
1847,2.3190860787281053e-08,8.790954808546303e-08
1848,2.815827571112095e-08,1.0458788324285706e-07
1849,4.273501730267526e-08,1.5585712276333652e-07
1850,4.616517301769818e-08,1.8737628693088482e-07
1851,3.740674614505224e-08,1.7735956703290867e-07
1852,3.5156944022674e-08,1.0481978307552708e-07
1853,5.3747385209135246e-08,1.6661689983266115e-07
1854,6.078927583530458e-08,1.1690244861028987e-07
1855,4.776243400783642e-08,1.4647146429069835e-07
1856,5.5913645269356493e-08,9.318940641378504e-08
1857,6.443592326377257e-08,1.6645945777327142e-07
1858,3.6213201326518174e-08,1.6344877451501816e-07
1859,5.754155907311542e-08,1.4614538201840332e-07
1860,2.9751696217772405e-08,1.2724571263333928e-07
1861,4.715963797252698e-08,1.815646015757011e-07
1862,4.382446761042047e-08,1.6038850958466355e-07
1863,3.49623441309177e-08,1.3185798763970524e-07
1864,3.5001512799226475e-08,1.6302074357099627e-07
1865,2.447559133145205e-08,1.5061901592616778e-07
1866,5.011581194480641e-08,1.5180712864548696e-07
1867,3.154327288257264e-08,1.237466875636528e-07
1868,4.989272639477349e-08,1.4276236015575705e-07
1869,6.495080384638641e-08,1.5480755166663585e-07
1870,3.383088653663435e-08,1.3360333639411692e-07
1871,9.45284810427438e-08,2.2516896081015148e-07
1872,3.265563108811875e-08,1.7839650467976753e-07
1873,4.2500630570430076e-08,1.3288929778809688e-07
1874,7.766991672042423e-08,1.3383125008203933e-07
